payout_batch_id,sender_batch_id,status,amount_value,currency_code,recipient_email,create_time
PAYOUT-BATCH-001,Payouts_2026_05_01,SUCCESS,500.00,USD,partner@orbit-labs.com,2026-05-01T12:00:00Z
PAYOUT-BATCH-002,Payouts_2026_05_15,PENDING,275.50,USD,affiliate@orbit-labs.com,2026-05-15T12:00:00Z
PAYOUT-BATCH-001-e001,Payouts_2026_05_01-e001,SUCCESS,500.00,USD,partner@orbit-labs.com,2026-05-01T12:00:00Z
PAYOUT-BATCH-002-e001,Payouts_2026_05_15-e001,PENDING,275.50,USD,affiliate@orbit-labs.com,2026-05-15T12:00:00Z
PAYOUT-BATCH-001-e002,Payouts_2026_05_01-e002,SUCCESS,500.00,USD,partner@orbit-labs.com,2026-05-01T12:00:00Z
PAYOUT-BATCH-002-e002,Payouts_2026_05_15-e002,PENDING,275.50,USD,affiliate@orbit-labs.com,2026-05-15T12:00:00Z
PAYOUT-BATCH-001-e003,Payouts_2026_05_01-e003,SUCCESS,500.00,USD,partner@orbit-labs.com,2026-05-01T12:00:00Z
PAYOUT-BATCH-002-e003,Payouts_2026_05_15-e003,PENDING,275.50,USD,affiliate@orbit-labs.com,2026-05-15T12:00:00Z
PAYOUT-BATCH-001-e004,Payouts_2026_05_01-e004,SUCCESS,500.00,USD,partner@orbit-labs.com,2026-05-01T12:00:00Z
PAYOUT-BATCH-002-e004,Payouts_2026_05_15-e004,PENDING,275.50,USD,affiliate@orbit-labs.com,2026-05-15T12:00:00Z
PAYOUT-BATCH-001-e005,Payouts_2026_05_01-e005,SUCCESS,500.00,USD,partner@orbit-labs.com,2026-05-01T12:00:00Z
PAYOUT-BATCH-002-e005,Payouts_2026_05_15-e005,PENDING,275.50,USD,affiliate@orbit-labs.com,2026-05-15T12:00:00Z
PAYOUT-BATCH-001-e006,Payouts_2026_05_01-e006,SUCCESS,500.00,USD,partner@orbit-labs.com,2026-05-01T12:00:00Z
PAYOUT-BATCH-002-e006,Payouts_2026_05_15-e006,PENDING,275.50,USD,affiliate@orbit-labs.com,2026-05-15T12:00:00Z
PAYOUT-BATCH-001-e007,Payouts_2026_05_01-e007,SUCCESS,500.00,USD,partner@orbit-labs.com,2026-05-01T12:00:00Z
PAYOUT-BATCH-002-e007,Payouts_2026_05_15-e007,PENDING,275.50,USD,affiliate@orbit-labs.com,2026-05-15T12:00:00Z
PAYOUT-BATCH-001-e008,Payouts_2026_05_01-e008,SUCCESS,500.00,USD,partner@orbit-labs.com,2026-05-01T12:00:00Z
PAYOUT-BATCH-002-e008,Payouts_2026_05_15-e008,PENDING,275.50,USD,affiliate@orbit-labs.com,2026-05-15T12:00:00Z
PAYOUT-BATCH-001-e009,Payouts_2026_05_01-e009,SUCCESS,500.00,USD,partner@orbit-labs.com,2026-05-01T12:00:00Z
PAYOUT-BATCH-002-e009,Payouts_2026_05_15-e009,PENDING,275.50,USD,affiliate@orbit-labs.com,2026-05-15T12:00:00Z
PAYOUT-BATCH-001-e010,Payouts_2026_05_01-e010,SUCCESS,500.00,USD,partner@orbit-labs.com,2026-05-01T12:00:00Z
PAYOUT-BATCH-002-e010,Payouts_2026_05_15-e010,PENDING,275.50,USD,affiliate@orbit-labs.com,2026-05-15T12:00:00Z
PAYOUT-BATCH-001-e011,Payouts_2026_05_01-e011,SUCCESS,500.00,USD,partner@orbit-labs.com,2026-05-01T12:00:00Z
PAYOUT-BATCH-002-e011,Payouts_2026_05_15-e011,PENDING,275.50,USD,affiliate@orbit-labs.com,2026-05-15T12:00:00Z
PAYOUT-BATCH-001-e012,Payouts_2026_05_01-e012,SUCCESS,500.00,USD,partner@orbit-labs.com,2026-05-01T12:00:00Z
PAYOUT-BATCH-002-e012,Payouts_2026_05_15-e012,PENDING,275.50,USD,affiliate@orbit-labs.com,2026-05-15T12:00:00Z
PAYOUT-BATCH-001-e013,Payouts_2026_05_01-e013,SUCCESS,500.00,USD,partner@orbit-labs.com,2026-05-01T12:00:00Z
PAYOUT-BATCH-002-e013,Payouts_2026_05_15-e013,PENDING,275.50,USD,affiliate@orbit-labs.com,2026-05-15T12:00:00Z
PAYOUT-BATCH-001-e014,Payouts_2026_05_01-e014,SUCCESS,500.00,USD,partner@orbit-labs.com,2026-05-01T12:00:00Z
PAYOUT-BATCH-002-e014,Payouts_2026_05_15-e014,PENDING,275.50,USD,affiliate@orbit-labs.com,2026-05-15T12:00:00Z
PAYOUT-BATCH-001-e015,Payouts_2026_05_01-e015,SUCCESS,500.00,USD,partner@orbit-labs.com,2026-05-01T12:00:00Z
PAYOUT-BATCH-002-e015,Payouts_2026_05_15-e015,PENDING,275.50,USD,affiliate@orbit-labs.com,2026-05-15T12:00:00Z
PAYOUT-BATCH-001-e016,Payouts_2026_05_01-e016,SUCCESS,500.00,USD,partner@orbit-labs.com,2026-05-01T12:00:00Z
PAYOUT-BATCH-002-e016,Payouts_2026_05_15-e016,PENDING,275.50,USD,affiliate@orbit-labs.com,2026-05-15T12:00:00Z
PAYOUT-BATCH-001-e017,Payouts_2026_05_01-e017,SUCCESS,500.00,USD,partner@orbit-labs.com,2026-05-01T12:00:00Z
PAYOUT-BATCH-002-e017,Payouts_2026_05_15-e017,PENDING,275.50,USD,affiliate@orbit-labs.com,2026-05-15T12:00:00Z
PAYOUT-BATCH-001-e018,Payouts_2026_05_01-e018,SUCCESS,500.00,USD,partner@orbit-labs.com,2026-05-01T12:00:00Z
PAYOUT-BATCH-002-e018,Payouts_2026_05_15-e018,PENDING,275.50,USD,affiliate@orbit-labs.com,2026-05-15T12:00:00Z
PAYOUT-BATCH-001-e019,Payouts_2026_05_01-e019,SUCCESS,500.00,USD,partner@orbit-labs.com,2026-05-01T12:00:00Z
PAYOUT-BATCH-002-e019,Payouts_2026_05_15-e019,PENDING,275.50,USD,affiliate@orbit-labs.com,2026-05-15T12:00:00Z
PAYOUT-BATCH-001-e020,Payouts_2026_05_01-e020,SUCCESS,500.00,USD,partner@orbit-labs.com,2026-05-01T12:00:00Z
PAYOUT-BATCH-002-e020,Payouts_2026_05_15-e020,PENDING,275.50,USD,affiliate@orbit-labs.com,2026-05-15T12:00:00Z
PAYOUT-BATCH-001-e021,Payouts_2026_05_01-e021,SUCCESS,500.00,USD,partner@orbit-labs.com,2026-05-01T12:00:00Z
PAYOUT-BATCH-002-e021,Payouts_2026_05_15-e021,PENDING,275.50,USD,affiliate@orbit-labs.com,2026-05-15T12:00:00Z
PAYOUT-BATCH-001-e022,Payouts_2026_05_01-e022,SUCCESS,500.00,USD,partner@orbit-labs.com,2026-05-01T12:00:00Z
PAYOUT-BATCH-002-e022,Payouts_2026_05_15-e022,PENDING,275.50,USD,affiliate@orbit-labs.com,2026-05-15T12:00:00Z
PAYOUT-BATCH-001-e023,Payouts_2026_05_01-e023,SUCCESS,500.00,USD,partner@orbit-labs.com,2026-05-01T12:00:00Z
PAYOUT-BATCH-002-e023,Payouts_2026_05_15-e023,PENDING,275.50,USD,affiliate@orbit-labs.com,2026-05-15T12:00:00Z
PAYOUT-BATCH-001-e024,Payouts_2026_05_01-e024,SUCCESS,500.00,USD,partner@orbit-labs.com,2026-05-01T12:00:00Z
PAYOUT-BATCH-002-e024,Payouts_2026_05_15-e024,PENDING,275.50,USD,affiliate@orbit-labs.com,2026-05-15T12:00:00Z
PAYOUT-BATCH-001-e025,Payouts_2026_05_01-e025,SUCCESS,500.00,USD,partner@orbit-labs.com,2026-05-01T12:00:00Z
PAYOUT-BATCH-002-e025,Payouts_2026_05_15-e025,PENDING,275.50,USD,affiliate@orbit-labs.com,2026-05-15T12:00:00Z
PAYOUT-BATCH-001-e026,Payouts_2026_05_01-e026,SUCCESS,500.00,USD,partner@orbit-labs.com,2026-05-01T12:00:00Z
PAYOUT-BATCH-002-e026,Payouts_2026_05_15-e026,PENDING,275.50,USD,affiliate@orbit-labs.com,2026-05-15T12:00:00Z
PAYOUT-BATCH-001-e027,Payouts_2026_05_01-e027,SUCCESS,500.00,USD,partner@orbit-labs.com,2026-05-01T12:00:00Z
PAYOUT-BATCH-002-e027,Payouts_2026_05_15-e027,PENDING,275.50,USD,affiliate@orbit-labs.com,2026-05-15T12:00:00Z
PAYOUT-BATCH-001-e028,Payouts_2026_05_01-e028,SUCCESS,500.00,USD,partner@orbit-labs.com,2026-05-01T12:00:00Z
PAYOUT-BATCH-002-e028,Payouts_2026_05_15-e028,PENDING,275.50,USD,affiliate@orbit-labs.com,2026-05-15T12:00:00Z
