id,subject,from_name,from_address,to_name,to_address,body_preview,content_type,is_read,importance,received_date
oum_001,Re: Harborview Condos final inspection - Oct 5 window,Dan Mitchell,d.mitchell@milwaukee.gov,Jae Chandler,jae.chandler@Finthesiss.ai,"Heads up. The walk on Oct 5 needs to push. Moving Harborview to October 8, 2026, 8:00 AM at the building.",Text,False,high,2026-09-28T14:12:00-05:00
oum_002,COA Amendment - 2247 S Kinnickinnic Ave - Permit BV-2026-0438,City of Milwaukee HPC,hpc@milwaukee.gov,Jae Chandler,jae.chandler@Finthesiss.ai,"Per HPC review 09/23/2026, CoA for BV-2026-0438 is amended.",HTML,True,high,2026-09-24T16:55:00-05:00
oum_003,Walker's Point - October punch list sign-off,Tyler Brown,tyler.brown@harborview-walker.com,Jae Chandler,jae.chandler@Finthesiss.ai,Need your electrical sign-off on the punch list before Friday so we can close out the GC sheet.,HTML,True,normal,2026-09-29T09:18:00-05:00
oum_004,Bay View Historic Home - access plan while we're away,Helen Bjornson,h.bjornson1924@gmail.com,Jae Chandler,jae.chandler@Finthesiss.ai,Out Nov 2-20. Key with neighbor Mr. Krebs at 2245. No work in upstairs sunroom until I return.,Text,True,normal,2026-09-11T10:08:00-05:00
oum_005,Maria Suarez - Unit 14 owner question,Maria Suarez,maria@harborview-walker.com,Jae Chandler,jae.chandler@Finthesiss.ai,Owner asking why the island GFCI is on a separate breaker. Want an answer before the final walk.,Text,True,normal,2026-09-18T13:22:00-05:00
om_he03ca,RE: 8srglrqf,czc2t jtlc55,chris.971i@chandlerelectric.com,55v6a 7tpkyg,john.hd2i@hotmail.com,preview 5320ynvwpk7ft6ev3yxgl5ewhbvawn,text,true,normal,2026-06-30T06:08:00
om_e1ki7y,RE: 1qtt33hv,h2xl5 jypeb9,dan.4yll@outlook.com,06pyh g9zu8j,pat.cllj@chandlerelectric.com,preview fzxkj31jksvfahx6gqohuiqyj4016y,text,true,high,2025-07-15T03:31:00
om_z44ool,RE: 0vp2z129,ipze1 2aon1m,dan.xsmw@chandlerelectric.com,tqmmy 9b2xt0,ann.5p7k@outlook.com,preview hee4ln97508m6qoikh30w6o4gmbwe5,text,true,normal,2025-01-11T16:11:00
om_np0f7r,RE: kjre9cs1,kpldj kr9pyj,john.2ecr@gmail.com,kdjfr 0xxxqm,pat.vpme@gmail.com,preview duyaxlpuaz2h6qgsamhamj7q76nswt,text,false,high,2025-07-21T01:12:00
om_h0r08d,RE: sbqtwicj,supo6 iey6la,john.vw7s@outlook.com,p7sce gkgdhm,ann.45oc@outlook.com,preview fme9eo8nihnjvw4tc9i3u7915wgjjg,text,true,normal,2026-06-07T07:18:00
om_of6f39,RE: fpz6yth6,l8hxt 4l3dez,ann.bywq@yahoo.com,bsqul ikp88y,mark.otuv@contractor.net,preview nbzrm1v9qxzqoyrz2p302j2gjwbfzw,text,false,normal,2025-10-12T05:49:00
om_yuk9sl,RE: op2oqh6k,jv8xu bzy0a6,tom.mdhj@yahoo.com,wmkxz m29otn,mike.2e6c@hotmail.com,preview ubddeew46uo7pmfgkgjaqb4wfuowhs,text,false,normal,2025-05-26T19:59:00
om_7thc22,RE: 548hcznv,qzrmn 7utf6i,sue.oudy@gmail.com,92rvh 73xtis,lisa.24y9@yahoo.com,preview 8v2n7ggay1ioa3582881rlv4mva7as,text,true,high,2026-04-15T23:14:00
om_vdx51c,RE: 34i554e2,x4xzv tphfc4,amy.fopr@chandlerelectric.com,a7s0p 5t7klx,chris.gaiq@outlook.com,preview 2qn3kv0shh6oogdxa86ifxgjbwg3ps,text,false,high,2025-12-29T12:13:00
om_qjga14,RE: kq9suaho,x66m1 dudsoj,mike.2425@gmail.com,m4s0i agiz72,mark.1ilc@chandlerelectric.com,preview 8ti4xg2gi8w4fvwyrv6xh9y6h77vp2,text,true,high,2025-06-29T07:18:00
om_vicuc2,RE: gsmlxrvo,mj8o4 5zv76k,ann.b4z1@hotmail.com,1u3r5 6xljhd,john.350b@chandlerelectric.com,preview 4ltxqvnb92ciopzzonf4sba1xbtvg8,text,false,high,2025-11-24T06:56:00
om_9b0af9,RE: xp5hb4rg,3tl7c gw05ft,ann.ko6u@gmail.com,y2hsb 3hhrjd,mike.sbta@yahoo.com,preview vgzwafp1lta6bfpn9ncz72htf66shm,text,false,normal,2025-11-14T12:29:00
om_hhg08k,RE: zzx9saq6,k4klr zta7bi,tom.2ccy@outlook.com,gkr58 shlqv0,lisa.ugf0@contractor.net,preview 8720yrh9wb8vrvg654xjhrebrd5avz,text,true,high,2025-10-15T04:15:00
om_d0i6mt,RE: duurpolc,ak3ws 243gsd,mark.8bhv@hotmail.com,v2q1n 0pex7c,mark.oqpk@yahoo.com,preview 9nxvgder8az938wlxz48i1k7spn8g1,text,false,normal,2026-01-28T23:53:00
om_8anqtt,RE: xvgkdb17,9mwmb 5m2is8,lisa.1jd5@hotmail.com,vplok tpfi5w,dan.iahv@contractor.net,preview lgdzqhkup0t1gsy9o0zx1k0q9w77hb,text,false,high,2026-02-03T05:31:00
om_io9a7f,RE: q4mg0gql,stenk ux6w8q,sue.rasp@contractor.net,05yw8 ylus41,jane.qp18@yahoo.com,preview apa3565vbnjdxbm2zuuflmgqyubh2d,text,false,normal,2025-12-19T19:56:00
om_lbjxg6,RE: ed01lz36,vem3f mdk5v9,bob.r25e@yahoo.com,d1eje xeqat4,sue.2r36@hotmail.com,preview r4pzd78gkd694om9v8yb7kkejb6oyp,text,false,normal,2026-01-27T18:48:00
om_nqz5o4,RE: a7e6vy2e,fuymr z5h67p,joe.w1ho@chandlerelectric.com,yv78c yo66yr,mark.v8n7@chandlerelectric.com,preview zefsd0egraz1ngmtum70l1x9za6mf6,text,false,high,2025-02-19T17:23:00
om_zsbta5,RE: uh8osnrb,u50ha ezzbyw,pat.s0da@contractor.net,867j3 hyv7js,pat.it6a@gmail.com,preview vam33warfsnl7j41zl6ax24b3cqrn4,text,true,high,2026-08-25T09:00:00
om_1qu271,RE: ykfocx1p,g71sg 3r1os0,lisa.m2fz@yahoo.com,hml4f sz431r,sue.dy02@hotmail.com,preview gzly6m7vw3z0ff7nfmpqdptla3xh4x,text,true,high,2025-09-17T20:53:00
om_m9tqmc,RE: 0npqjto4,oeky3 uxmu2t,tom.yw2a@contractor.net,g1o6u n7scl0,jane.ut4r@yahoo.com,preview 7cq50bkua7ez8ppb3rtyuzlrfmz62c,text,true,normal,2026-08-06T10:45:00
om_phwbif,RE: cpuy3i29,4hvyn o664s1,lisa.rj13@contractor.net,lyvsa m9x2w2,john.o9rx@chandlerelectric.com,preview lyuyftu1esilguiepnkdujqu88yv08,text,false,high,2026-04-19T00:27:00
om_pqbobp,RE: f1zngafj,ud3dw roe16s,ann.5rti@gmail.com,8dhb1 e4l48o,sue.c5c2@hotmail.com,preview 716v9v09wtnirt9v7x2l2aef748gye,text,true,high,2025-10-09T07:10:00
