message_id,to_email,from_email,subject,template_id,status,opens,clicks,sent_at
sgmsg_001,amelia.akpan@waita.org,layla.mcbride@nnu.edu.ng,WAITA Y2 extension cover,n_a_placeholder,delivered,3,1,2026-09-24T15:00:00Z
sgmsg_002,a.bello@eacri.ac.ke,layla.mcbride@nnu.edu.ng,Re: WAITA Y2 deliverables,n_a_placeholder,delivered,5,0,2026-09-30T17:00:00Z
sgmsg_003,farmer.001@village.ng,esfes@nnu.edu.ng,Workshop invite,tpl_esfes_workshop,delivered,1,0,2026-09-15T08:00:00Z
sgmsg_004,alumna.001@crop-sci.ng,esfes@nnu.edu.ng,Y2 review heads-up,tpl_y2_review,delivered,2,1,2026-09-25T08:00:00Z
sgmsg_005,diaspora.test@example.com,esfes@nnu.edu.ng,Diaspora pilot launch,tpl_diaspora_launch,bounced,0,0,2026-07-22T08:00:00Z
sgmsg_006,farmer.002@village.ng,esfes@nnu.edu.ng,Workshop invite,tpl_esfes_workshop,delivered,1,0,2026-09-15T08:00:00Z
sg-snt-0005006,henry.yoon119@yahoo.com,sg-tpl-00201,2026-02-07T08:23:00-07:00,clicked,sent,detail_504,detail_125,2026-09-01T20:09:00-07:00
sg-snt-0005007,ava.ito487@yahoo.com,sg-tpl-00185,2025-10-28T11:20:00-07:00,deferred,delivered,detail_713,detail_846,2026-07-14T09:15:00-07:00
sg-snt-0005008,yuma.kobayashi184@hotmail.com,sg-tpl-00114,2025-04-03T19:56:00-07:00,deferred,delivered,detail_261,detail_164,2026-08-05T11:56:00-07:00
sg-snt-0005009,cora.yamada955@icloud.com,sg-tpl-00133,2024-07-12T17:09:00-07:00,bounced,pending,detail_596,detail_614,2026-08-22T14:11:00-07:00
sg-snt-0005010,rhys.nguyen693@icloud.com,sg-tpl-00110,2025-04-09T20:50:00-07:00,deferred,delivered,detail_547,detail_534,2026-10-10T15:21:00-07:00
sg-snt-0005011,lien.hall791@outlook.com,sg-tpl-00103,2024-04-01T14:42:00-07:00,opened,completed,detail_348,detail_203,2026-03-11T13:31:00-07:00
sg-snt-0005012,yumi.allen57@hotmail.com,sg-tpl-00184,2024-02-14T11:03:00-07:00,delivered,pending,detail_202,detail_329,2026-09-13T17:58:00-07:00
sg-snt-0005013,iris.sharma737@hotmail.com,sg-tpl-00171,2025-07-06T19:32:00-07:00,dropped,closed,detail_853,detail_713,2026-09-01T20:03:00-07:00
sg-snt-0005014,ella.garcia733@hotmail.com,sg-tpl-00125,2024-07-19T10:08:00-07:00,bounced,sent,detail_382,detail_213,2026-02-10T19:34:00-07:00
sg-snt-0005015,rohan.song18@protonmail.com,sg-tpl-00163,2025-06-15T18:43:00-07:00,dropped,closed,detail_421,detail_603,2026-08-11T14:36:00-07:00
sg-snt-0005016,hiro.jackson369@yahoo.com,sg-tpl-00109,2025-11-12T20:54:00-07:00,dropped,delivered,detail_528,detail_381,2026-02-10T12:23:00-07:00
sg-snt-0005017,meera.suzuki366@protonmail.com,sg-tpl-00129,2026-01-05T18:44:00-07:00,bounced,delivered,detail_762,detail_613,2026-09-23T08:49:00-07:00
sg-snt-0005018,cyrus.walker788@yahoo.com,sg-tpl-00166,2026-10-05T18:23:00-07:00,bounced,open,detail_996,detail_594,2026-09-01T15:46:00-07:00
