envelope_id,status,email_subject,sender_name,sender_email,created_time,sent_time,completed_time,template_id
ENV-00001,completed,Turquoise Trail Gallery Santa Fe - 2024 spring consignment addendum,Sam Osborne,sam.osborne@Finthesiss.ai,2024-09-30T09:00:00Z,2024-09-30T09:05:00Z,2024-09-30T14:00:00Z,tpl_gallery_addendum
ENV-00002,completed,Turquoise Trail Gallery Santa Fe - 2024 holiday consignment addendum,Sam Osborne,sam.osborne@Finthesiss.ai,2026-01-13T09:00:00Z,2026-01-13T09:05:00Z,2026-01-13T14:00:00Z,tpl_gallery_addendum
ENV-00003,completed,Turquoise Trail Gallery Santa Fe - 2025 spring consignment addendum,Sam Osborne,sam.osborne@Finthesiss.ai,2025-02-23T09:00:00Z,2025-02-23T09:05:00Z,2025-02-23T14:00:00Z,tpl_gallery_addendum
ENV-00004,completed,Turquoise Trail Gallery Santa Fe - 2025 summer consignment addendum,Sam Osborne,sam.osborne@Finthesiss.ai,2025-02-25T09:00:00Z,2025-02-25T09:05:00Z,2025-02-25T14:00:00Z,tpl_gallery_addendum
ENV-00005,completed,Turquoise Trail Gallery Santa Fe - 2025 holiday consignment addendum,Sam Osborne,sam.osborne@Finthesiss.ai,2026-04-03T09:00:00Z,2026-04-03T09:05:00Z,2026-04-03T14:00:00Z,tpl_gallery_addendum
ENV-00006,completed,Turquoise Trail Gallery Santa Fe - 2026 spring consignment addendum,Sam Osborne,sam.osborne@Finthesiss.ai,2025-03-14T09:00:00Z,2025-03-14T09:05:00Z,2025-03-14T14:00:00Z,tpl_gallery_addendum
ENV-00007,completed,Turquoise Trail Gallery Santa Fe - 2026 summer consignment addendum,Sam Osborne,sam.osborne@Finthesiss.ai,2025-06-05T09:00:00Z,2025-06-05T09:05:00Z,2025-06-05T14:00:00Z,tpl_gallery_addendum
ENV-00008,completed,Red Earth Gallery Sedona - 2024 spring consignment addendum,Sam Osborne,sam.osborne@Finthesiss.ai,2024-07-25T09:00:00Z,2024-07-25T09:05:00Z,2024-07-25T14:00:00Z,tpl_gallery_addendum
ENV-00009,completed,Red Earth Gallery Sedona - 2024 holiday consignment addendum,Sam Osborne,sam.osborne@Finthesiss.ai,2024-11-09T09:00:00Z,2024-11-09T09:05:00Z,2024-11-09T14:00:00Z,tpl_gallery_addendum
ENV-00010,completed,Red Earth Gallery Sedona - 2025 spring consignment addendum,Sam Osborne,sam.osborne@Finthesiss.ai,2024-10-06T09:00:00Z,2024-10-06T09:05:00Z,2024-10-06T14:00:00Z,tpl_gallery_addendum
ENV-00011,completed,Red Earth Gallery Sedona - 2025 summer consignment addendum,Sam Osborne,sam.osborne@Finthesiss.ai,2025-08-07T09:00:00Z,2025-08-07T09:05:00Z,2025-08-07T14:00:00Z,tpl_gallery_addendum
ENV-00012,completed,Red Earth Gallery Sedona - 2025 holiday consignment addendum,Sam Osborne,sam.osborne@Finthesiss.ai,2026-01-18T09:00:00Z,2026-01-18T09:05:00Z,2026-01-18T14:00:00Z,tpl_gallery_addendum
ENV-00013,completed,Red Earth Gallery Sedona - 2026 spring consignment addendum,Sam Osborne,sam.osborne@Finthesiss.ai,2025-01-01T09:00:00Z,2025-01-01T09:05:00Z,2025-01-01T14:00:00Z,tpl_gallery_addendum
ENV-00014,completed,Red Earth Gallery Sedona - 2026 summer consignment addendum,Sam Osborne,sam.osborne@Finthesiss.ai,2024-09-29T09:00:00Z,2024-09-29T09:05:00Z,2024-09-29T14:00:00Z,tpl_gallery_addendum
