id,invoice_number,status,recipient_email,amount_value,currency_code,due_date,note
INV2-CHM00-9608-3048,INV-CHM-3000,DRAFT,donor.0@cornerstonefriends.org,417.89,USD,2026-10-22,Education program invoice
INV2-CHM01-9571-8753,INV-CHM-3001,PAID,donor.1@cornerstonefriends.org,1439.91,USD,2026-08-28,Annual membership
INV2-CHM02-3092-5959,INV-CHM-3002,PAID,donor.2@cornerstonefriends.org,1156.89,USD,2026-08-15,Program sponsorship
INV2-CHM03-3092-7745,INV-CHM-3003,DRAFT,donor.3@cornerstonefriends.org,1013.79,USD,2026-07-18,Education program invoice
INV2-CHM04-2502-9343,INV-CHM-3004,DRAFT,donor.4@cornerstonefriends.org,759.15,USD,2026-07-24,Annual membership
INV2-CHM05-6075-7025,INV-CHM-3005,PAID,donor.5@cornerstonefriends.org,868.73,USD,2026-10-28,Program sponsorship
INV2-CHM06-9631-2394,INV-CHM-3006,SENT,donor.6@cornerstonefriends.org,900.87,USD,2026-10-18,Education program invoice
INV2-CHM07-2185-6736,INV-CHM-3007,DRAFT,donor.7@cornerstonefriends.org,1257.48,USD,2026-09-10,Program sponsorship
INV2-CHM08-3849-5305,INV-CHM-3008,SENT,donor.8@cornerstonefriends.org,927.28,USD,2026-09-07,Program sponsorship
INV2-CHM09-7258-4435,INV-CHM-3009,DRAFT,donor.9@cornerstonefriends.org,408.72,USD,2026-08-22,Program sponsorship
INV2-CHM10-8386-3044,INV-CHM-3010,PAID,donor.10@cornerstonefriends.org,823.18,USD,2026-08-15,Annual membership
INV2-CHM11-8252-8492,INV-CHM-3011,PAID,donor.11@cornerstonefriends.org,665.01,USD,2026-09-16,Education program invoice
INV2-CHM12-5809-7120,INV-CHM-3012,DRAFT,donor.12@cornerstonefriends.org,458.2,USD,2026-07-02,Program sponsorship
INV2-CHM13-5223-4551,INV-CHM-3013,PAID,donor.13@cornerstonefriends.org,101.54,USD,2026-10-14,Education program invoice
INV2-CHM14-6601-5710,INV-CHM-3014,DRAFT,donor.14@cornerstonefriends.org,1180.93,USD,2026-07-02,Education program invoice
