Name	Relationship	Phone	Email	City	Notes
Tyler Fields	Son	(614) 555-0217		Westerville	Age 16, texts and calls
Connor Fields	Son	(614) 555-0218		Westerville	Age 13, mostly texts
Megan Fields	Ex wife, co parent	(614) 555-0153	megan.fields.cbus@gmail.com	Westerville	Text for logistics
Kevin Fields	Brother	(614) 555-4006	kevin.fields.cbus@gmail.com	Grove City	Closest, Saturday hangouts
Patricia Fields	Mother	(614) 555-8062		Westerville	Sunday lunches, call midweek
Scott Mitchell	Best friend	(740) 555-0342	scott.mitchell.ohio@gmail.com	Dublin	Army buddy, fishing and ballgames
Dave Peterson	Tyler's coach	(614) 555-0411		Columbus	Ridgewood Academy basketball
Mike Sullivan	Coworker	(614) 555-0378		Columbus	Senior tech, work ally
Dr. Robert Hansen	Primary care	(614) 555-0492		Columbus	Riverside Community Health
Central Ohio Climate	Employer dispatch	(614) 555-0120	jfields@centralohioclimate.com	Worthington	Work line and email
Buckeye Federal CU	Bank	(614) 555-0707		Columbus	Member 0042-118337
Mohawk Street Properties	Landlord	(614) 555-0655		Columbus	Apartment, rent and repairs
