txn_id,created_iso,amount_usd,status,counterparty_email,memo,case_ref
PP-70001,2026-11-16T12:41:00-05:00,79.00,cleared,tanya.reyburn@gmail.com,KIT-SHOW-A,
PP-70002,2026-11-17T09:22:00-05:00,109.00,cleared,mbrightley74@yahoo.com,KIT-SHOW-B,
PP-70003,2026-11-18T14:03:00-05:00,65.00,cleared,leah.osgood@icloud.com,KIT-STARTER,
PP-70004,2026-11-19T11:12:00-05:00,79.00,cleared,rachaelquade@gmail.com,KIT-SHOW-A,
PP-70005,2026-11-20T13:44:00-05:00,109.00,cleared,pkendrick.oh@outlook.com,KIT-SHOW-B,
PP-70006,2026-11-21T09:58:00-05:00,79.00,cleared,dana.mcburney@gmail.com,KIT-SHOW-A,
PP-70007,2026-11-22T14:17:00-05:00,65.00,cleared,heather.linley@yahoo.com,KIT-STARTER,
PP-70008,2026-11-23T10:33:00-05:00,109.00,cleared,cardellinom@gmail.com,KIT-SHOW-B,
PP-70009,2026-11-24T12:04:00-05:00,79.00,cleared,vera.pettengill@icloud.com,KIT-SHOW-A,
PP-70010,2026-11-25T09:41:00-05:00,109.00,cleared,shelby.ramaley@gmail.com,KIT-SHOW-B,
PP-70011,2026-11-27T11:22:00-05:00,109.00,disputed,ellenwainscott@outlook.com,KIT-SHOW-B disputed by buyer,CB-2026-011
PP-70012,2026-11-27T14:08:00-05:00,79.00,cleared,mona.tibbets@yahoo.com,KIT-SHOW-A,
PP-70013,2026-11-28T10:19:00-05:00,65.00,cleared,jbraden.cbus@gmail.com,KIT-STARTER,
PP-70014,2026-11-29T15:47:00-05:00,109.00,cleared,celeste.woodring@icloud.com,KIT-SHOW-B,
PP-70015,2026-11-30T09:26:00-05:00,79.00,cleared,amberkilgore@gmail.com,KIT-SHOW-A,
PP-70016,2026-12-01T13:11:00-05:00,109.00,cleared,nrudicil.mkt@outlook.com,KIT-SHOW-B,
PP-70017,2026-12-02T10:44:00-05:00,65.00,cleared,cassandra.eberle@gmail.com,KIT-STARTER,
PP-70018,2026-12-03T14:03:00-05:00,79.00,cleared,lucinda.wray@yahoo.com,KIT-SHOW-A,
PP-70019,2026-12-05T09:18:00-05:00,109.00,pending,krisdelacroix@icloud.com,KIT-SHOW-B awaiting clearance,
PP-70020,2026-12-06T12:41:00-05:00,79.00,cleared,parisa.tolentino@gmail.com,KIT-SHOW-A,
