id,dealname,pipeline,dealstage,amount,closedate,dealtype,associated_company,associated_contact,createdate,lastmodifieddate
hd_0000,Deal 0,default,appointmentscheduled,1753,2026-09-14,newbusiness,hco_0029,hc_0001,2026-01-02,2026-02-16
hd_0001,Deal 1,default,appointmentscheduled,28809,2026-05-15,newbusiness,hco_0048,hc_0043,2026-04-27,2026-09-30
hd_0002,Deal 2,default,appointmentscheduled,47435,2026-06-06,newbusiness,hco_0015,hc_0012,2026-04-06,2026-06-10
hd_0003,Deal 3,default,appointmentscheduled,20670,2026-05-09,newbusiness,hco_0016,hc_0095,2026-04-03,2026-07-11
hd_0004,Deal 4,default,appointmentscheduled,9060,2026-07-20,newbusiness,hco_0021,hc_0009,2026-04-08,2026-09-19
hd_0005,Deal 5,default,appointmentscheduled,30408,2026-07-03,newbusiness,hco_0028,hc_0099,2026-01-02,2026-05-06
hd_0006,Deal 6,default,appointmentscheduled,844,2026-07-22,newbusiness,hco_0044,hc_0047,2026-03-22,2026-09-14
hd_0007,Deal 7,default,appointmentscheduled,12199,2026-07-20,newbusiness,hco_0039,hc_0012,2026-05-21,2026-08-29
hd_0008,Deal 8,default,appointmentscheduled,37209,2026-08-30,newbusiness,hco_0011,hc_0003,2026-07-30,2026-06-19
hd_0009,Deal 9,default,appointmentscheduled,13210,2026-08-16,newbusiness,hco_0019,hc_0007,2026-05-06,2026-06-12
hd_0010,Deal 10,default,appointmentscheduled,25202,2026-08-09,newbusiness,hco_0007,hc_0064,2026-04-15,2026-02-22
hd_0011,Deal 11,default,appointmentscheduled,11963,2026-02-23,newbusiness,hco_0032,hc_0012,2026-03-20,2026-05-30
hd_0012,Deal 12,default,appointmentscheduled,10638,2026-09-28,newbusiness,hco_0028,hc_0012,2026-04-19,2026-09-21
hd_0013,Deal 13,default,appointmentscheduled,47774,2026-08-28,newbusiness,hco_0009,hc_0024,2026-04-26,2026-09-19
hd_0014,Deal 14,default,appointmentscheduled,41519,2026-10-04,newbusiness,hco_0035,hc_0037,2026-08-15,2026-01-19
hd_0015,Deal 15,default,appointmentscheduled,15423,2026-01-21,newbusiness,hco_0048,hc_0049,2026-06-08,2026-09-17
hd_0016,Deal 16,default,appointmentscheduled,24467,2026-09-14,newbusiness,hco_0003,hc_0044,2026-05-24,2026-03-22
hd_0017,Deal 17,default,appointmentscheduled,38316,2026-06-24,newbusiness,hco_0008,hc_0000,2026-06-25,2026-04-28
hd_0018,Deal 18,default,appointmentscheduled,2037,2026-02-14,newbusiness,hco_0034,hc_0008,2026-08-27,2026-05-01
hd_0019,Deal 19,default,appointmentscheduled,5480,2026-04-15,newbusiness,hco_0028,hc_0071,2026-08-29,2026-03-06
hd_0020,Deal 20,default,appointmentscheduled,36392,2026-08-02,newbusiness,hco_0044,hc_0087,2026-05-01,2026-06-13
hd_0021,Deal 21,default,appointmentscheduled,22898,2026-03-28,newbusiness,hco_0029,hc_0090,2026-03-27,2026-02-16
hd_0022,Deal 22,default,appointmentscheduled,17731,2026-06-20,newbusiness,hco_0041,hc_0023,2026-09-28,2026-01-14
hd_0023,Deal 23,default,appointmentscheduled,49674,2026-01-25,newbusiness,hco_0046,hc_0044,2026-07-08,2026-01-23
hd_0024,Deal 24,default,appointmentscheduled,24922,2026-07-09,newbusiness,hco_0036,hc_0055,2026-01-23,2026-04-15
hd_0025,Deal 25,default,appointmentscheduled,870,2026-04-28,newbusiness,hco_0001,hc_0033,2026-04-18,2026-01-13
hd_0026,Deal 26,default,appointmentscheduled,40432,2026-08-27,newbusiness,hco_0046,hc_0035,2026-03-02,2026-03-03
hd_0027,Deal 27,default,appointmentscheduled,1402,2026-06-23,newbusiness,hco_0022,hc_0013,2026-07-11,2026-04-24
hd_0028,Deal 28,default,appointmentscheduled,49820,2026-07-28,newbusiness,hco_0025,hc_0090,2026-05-12,2026-04-07
hd_0029,Deal 29,default,appointmentscheduled,31939,2026-04-22,newbusiness,hco_0041,hc_0100,2026-03-01,2026-05-29
hd_0030,Deal 30,default,appointmentscheduled,5954,2026-08-04,newbusiness,hco_0006,hc_0046,2026-02-28,2026-09-16
hd_0031,Deal 31,default,appointmentscheduled,14636,2026-01-19,newbusiness,hco_0037,hc_0066,2026-05-12,2026-01-08
hd_0032,Deal 32,default,appointmentscheduled,33751,2026-07-30,newbusiness,hco_0019,hc_0085,2026-10-13,2026-03-15
hd_0033,Deal 33,default,appointmentscheduled,43300,2026-05-16,newbusiness,hco_0048,hc_0082,2026-10-13,2026-05-06
hd_0034,Deal 34,default,appointmentscheduled,4651,2026-01-19,newbusiness,hco_0046,hc_0067,2026-01-20,2026-09-03
hd_0035,Deal 35,default,appointmentscheduled,49500,2026-06-27,newbusiness,hco_0045,hc_0079,2026-09-23,2026-05-06
hd_0036,Deal 36,default,appointmentscheduled,48207,2026-08-03,newbusiness,hco_0040,hc_0003,2026-05-01,2026-07-01
hd_0037,Deal 37,default,appointmentscheduled,5959,2026-08-09,newbusiness,hco_0017,hc_0030,2026-10-02,2026-07-28
hd_0038,Deal 38,default,appointmentscheduled,41214,2026-02-05,newbusiness,hco_0037,hc_0071,2026-07-04,2026-10-03
hd_0039,Deal 39,default,appointmentscheduled,15949,2026-01-17,newbusiness,hco_0027,hc_0095,2026-07-19,2026-08-23
hd_0040,Deal 40,default,appointmentscheduled,45081,2026-09-10,newbusiness,hco_0002,hc_0071,2026-01-09,2026-04-09
hd_0041,Deal 41,default,appointmentscheduled,7859,2026-03-07,newbusiness,hco_0015,hc_0025,2026-05-22,2026-04-14
hd_0042,Deal 42,default,appointmentscheduled,26996,2026-06-23,newbusiness,hco_0045,hc_0005,2026-08-01,2026-05-02
hd_0043,Deal 43,default,appointmentscheduled,984,2026-06-09,newbusiness,hco_0000,hc_0034,2026-09-17,2026-06-17
hd_0044,Deal 44,default,appointmentscheduled,28497,2026-03-03,newbusiness,hco_0046,hc_0035,2026-04-14,2026-09-02
hd_0045,Deal 45,default,appointmentscheduled,21072,2026-10-09,newbusiness,hco_0021,hc_0024,2026-10-09,2026-09-03
hd_0046,Deal 46,default,appointmentscheduled,29197,2026-03-26,newbusiness,hco_0044,hc_0006,2026-02-06,2026-04-09
hd_0047,Deal 47,default,appointmentscheduled,17828,2026-06-22,newbusiness,hco_0042,hc_0038,2026-09-29,2026-06-29
hd_0048,Deal 48,default,appointmentscheduled,22166,2026-02-16,newbusiness,hco_0028,hc_0068,2026-05-28,2026-05-24
hd_0049,Deal 49,default,appointmentscheduled,19134,2026-08-07,newbusiness,hco_0032,hc_0098,2026-07-31,2026-08-06
hd_0050,Deal 50,default,appointmentscheduled,29223,2026-10-09,newbusiness,hco_0020,hc_0071,2026-07-03,2026-09-15
