id,name,domain,industry,city,state,numberofemployees,annualrevenue,createdate
hco_mykonos,Mykonos Taverna LLC,mykonostaverna.com,Restaurants,Tarpon Springs,FL,28,1800000,2026-02-15
hco_0000,Company 0,,,Tarpon Springs,FL,20,199269,2026-07-13
hco_0001,Company 1,,,Tarpon Springs,FL,27,311321,2026-09-14
hco_0002,Company 2,,,Tarpon Springs,FL,47,86779,2026-02-21
hco_0003,Company 3,,,Tarpon Springs,FL,23,315991,2026-10-14
hco_0004,Company 4,,,Tarpon Springs,FL,32,345997,2026-02-05
hco_0005,Company 5,,,Tarpon Springs,FL,18,495373,2026-07-25
hco_0006,Company 6,,,Tarpon Springs,FL,13,388325,2026-01-11
hco_0007,Company 7,,,Tarpon Springs,FL,20,447030,2026-07-12
hco_0008,Company 8,,,Tarpon Springs,FL,7,425001,2026-04-29
hco_0009,Company 9,,,Tarpon Springs,FL,16,72249,2026-05-29
hco_0010,Company 10,,,Tarpon Springs,FL,49,327416,2026-08-06
hco_0011,Company 11,,,Tarpon Springs,FL,3,75234,2026-07-03
hco_0012,Company 12,,,Tarpon Springs,FL,9,366240,2026-05-10
hco_0013,Company 13,,,Tarpon Springs,FL,4,415802,2026-09-11
hco_0014,Company 14,,,Tarpon Springs,FL,4,326800,2026-09-05
hco_0015,Company 15,,,Tarpon Springs,FL,43,438333,2026-07-07
hco_0016,Company 16,,,Tarpon Springs,FL,9,370650,2026-05-23
hco_0017,Company 17,,,Tarpon Springs,FL,42,250626,2026-08-05
hco_0018,Company 18,,,Tarpon Springs,FL,39,474935,2026-07-30
hco_0019,Company 19,,,Tarpon Springs,FL,18,466759,2026-05-24
hco_0020,Company 20,,,Tarpon Springs,FL,3,296640,2026-02-08
hco_0021,Company 21,,,Tarpon Springs,FL,45,496075,2026-05-26
hco_0022,Company 22,,,Tarpon Springs,FL,30,72290,2026-05-30
hco_0023,Company 23,,,Tarpon Springs,FL,50,263152,2026-06-18
hco_0024,Company 24,,,Tarpon Springs,FL,27,213903,2026-08-06
hco_0025,Company 25,,,Tarpon Springs,FL,19,56629,2026-01-11
hco_0026,Company 26,,,Tarpon Springs,FL,12,137909,2026-09-03
hco_0027,Company 27,,,Tarpon Springs,FL,41,255908,2026-07-03
hco_0028,Company 28,,,Tarpon Springs,FL,33,463635,2026-05-25
hco_0029,Company 29,,,Tarpon Springs,FL,29,68036,2026-07-21
hco_0030,Company 30,,,Tarpon Springs,FL,40,148015,2026-04-25
hco_0031,Company 31,,,Tarpon Springs,FL,25,217461,2026-09-28
hco_0032,Company 32,,,Tarpon Springs,FL,34,443303,2026-01-11
hco_0033,Company 33,,,Tarpon Springs,FL,29,220530,2026-03-15
hco_0034,Company 34,,,Tarpon Springs,FL,22,408167,2026-05-14
hco_0035,Company 35,,,Tarpon Springs,FL,38,157052,2026-01-03
hco_0036,Company 36,,,Tarpon Springs,FL,26,224502,2026-09-01
hco_0037,Company 37,,,Tarpon Springs,FL,50,275757,2026-07-06
hco_0038,Company 38,,,Tarpon Springs,FL,13,354751,2026-01-24
hco_0039,Company 39,,,Tarpon Springs,FL,3,260540,2026-02-13
hco_0040,Company 40,,,Tarpon Springs,FL,18,258816,2026-04-01
hco_0041,Company 41,,,Tarpon Springs,FL,15,94925,2026-04-19
hco_0042,Company 42,,,Tarpon Springs,FL,11,155547,2026-09-27
hco_0043,Company 43,,,Tarpon Springs,FL,49,192980,2026-05-17
hco_0044,Company 44,,,Tarpon Springs,FL,25,126239,2026-03-13
hco_0045,Company 45,,,Tarpon Springs,FL,43,109738,2026-02-25
hco_0046,Company 46,,,Tarpon Springs,FL,40,109903,2026-08-29
hco_0047,Company 47,,,Tarpon Springs,FL,46,434608,2026-04-25
hco_0048,Company 48,,,Tarpon Springs,FL,49,355112,2026-02-10
hco_0049,Company 49,,,Tarpon Springs,FL,24,77270,2026-08-23
hco_0050,Company 50,,,Tarpon Springs,FL,7,417218,2026-03-24
hco_0051,Company 51,,,Tarpon Springs,FL,42,245807,2026-02-20
hco_0052,Company 52,,,Tarpon Springs,FL,14,305905,2026-06-19
hco_0053,Company 53,,,Tarpon Springs,FL,7,113814,2026-05-09
hco_0054,Company 54,,,Tarpon Springs,FL,20,154916,2026-03-07
hco_0055,Company 55,,,Tarpon Springs,FL,37,475141,2026-06-23
hco_0056,Company 56,,,Tarpon Springs,FL,3,190835,2026-04-19
hco_0057,Company 57,,,Tarpon Springs,FL,24,326042,2026-02-19
hco_0058,Company 58,,,Tarpon Springs,FL,47,101770,2026-07-02
hco_0059,Company 59,,,Tarpon Springs,FL,8,429872,2026-01-06
hco_0060,Company 60,,,Tarpon Springs,FL,46,285299,2026-10-14
