id,name,displayName,email,avatarUrl,active,admin,teamId,createdAt,updatedAt
lu-1000,Mary Vasquez,Mary,mary.vasquez@Finthesiss.ai,,true,true,team-transition,2023-09-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
lu-1001,Hassan Costa,Hassan,hassan.costa1001@ridgewoodcollegiate.ca,,true,false,team-transition,2023-09-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
lu-1002,Sofia Chen,Sofia,sofia.chen1002@ridgewoodcollegiate.ca,,true,false,team-transition,2023-09-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
lu-1003,Carlos Mensah,Carlos,carlos.mensah1003@ridgewoodcollegiate.ca,,true,false,team-transition,2023-09-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
lu-1004,Nina Dupont,Nina,nina.dupont1004@ridgewoodcollegiate.ca,,true,false,team-transition,2023-09-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
lu-1005,Ravi Vasquez,Ravi,ravi.vasquez1005@ridgewoodcollegiate.ca,,true,false,team-transition,2023-09-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
lu-1006,Diego Novak,Diego,diego.novak1006@ridgewoodcollegiate.ca,,true,false,team-transition,2023-09-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
lu-ext-7,Lucia Sharma,Lucia,linear.user7@ridgewoodcollegiate.ca,,true,false,team-transition,2023-09-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
lu-ext-8,Talia Mensah,Talia,linear.user8@ridgewoodcollegiate.ca,,true,false,team-transition,2023-09-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
lu-ext-9,Maya Bauer,Maya,linear.user9@ridgewoodcollegiate.ca,,true,false,team-transition,2023-09-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
lu-ext-10,Lucia Dupont,Lucia,linear.user10@ridgewoodcollegiate.ca,,true,false,team-transition,2023-09-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
lu-ext-11,Hiro Petrov,Hiro,linear.user11@ridgewoodcollegiate.ca,,true,false,team-transition,2023-09-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
lu-ext-12,Yuki Hernandez,Yuki,linear.user12@ridgewoodcollegiate.ca,,true,false,team-transition,2023-09-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
lu-ext-13,Leah Bello,Leah,linear.user13@ridgewoodcollegiate.ca,,true,false,team-transition,2023-09-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
lu-ext-14,Wei Dupont,Wei,linear.user14@ridgewoodcollegiate.ca,,true,false,team-transition,2023-09-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
lu-ext-15,Lucia Patel,Lucia,linear.user15@ridgewoodcollegiate.ca,,true,false,team-transition,2023-09-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
lu-ext-16,Olivia Rivera,Olivia,linear.user16@ridgewoodcollegiate.ca,,true,false,team-transition,2023-09-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
lu-ext-17,Liam Vasquez,Liam,linear.user17@ridgewoodcollegiate.ca,,true,false,team-transition,2023-09-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
lu-ext-18,Bruno Park,Bruno,linear.user18@ridgewoodcollegiate.ca,,true,false,team-transition,2023-09-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
lu-ext-19,Owen Costa,Owen,linear.user19@ridgewoodcollegiate.ca,,true,false,team-transition,2023-09-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
lu-ext-20,Eduardo Santos,Eduardo,linear.user20@ridgewoodcollegiate.ca,,true,false,team-transition,2023-09-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
lu-ext-21,Lucas Adeyemi,Lucas,linear.user21@ridgewoodcollegiate.ca,,true,false,team-transition,2023-09-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
lu-ext-22,Hassan Thompson,Hassan,linear.user22@ridgewoodcollegiate.ca,,true,false,team-transition,2023-09-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
lu-ext-23,Diego Wallace,Diego,linear.user23@ridgewoodcollegiate.ca,,true,false,team-transition,2023-09-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
lu-ext-24,Emma Petrov,Emma,linear.user24@ridgewoodcollegiate.ca,,true,false,team-transition,2023-09-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
lu-ext-25,Talia Chen,Talia,linear.user25@ridgewoodcollegiate.ca,,true,false,team-transition,2023-09-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
lu-ext-26,Lucia Serrano,Lucia,linear.user26@ridgewoodcollegiate.ca,,true,false,team-transition,2023-09-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
