date	amount_isk	method	recipient	purpose	notes
2025-01-06	40000	Bank transfer	Craig Glass	Toward Harold's care	Shared with Craig, monthly
2025-02-05	40000	Bank transfer	Craig Glass	Toward Harold's care	
2025-04-07	40000	Bank transfer	Craig Glass	Toward Harold's care	Extra for winter heating, see below
2025-04-07	25000	Bank transfer	Craig Glass	Heating top up	Cold spell in Akureyri
2025-05-06	40000	Bank transfer	Craig Glass	Toward Harold's care	
2025-10-06	40000	Bank transfer	Craig Glass	Toward Harold's care	
2025-11-05	40000	Bank transfer	Craig Glass	Toward Harold's care	Arthritis aids, part covered
2025-12-04	55000	Bank transfer	Craig Glass	Care plus birthday	Harold's care and Christmas
2026-01-06	40000	Bank transfer	Craig Glass	Toward Harold's care	
2026-02-05	40000	Bank transfer	Craig Glass	Toward Harold's care	Kept quiet, not a project
