student_name,week,site,hours,preceptor_score,clinical_gap,eval_date
Ella Bishop,Week 1,Turkey Creek Medical,10,4,no gap,2026-10-16
Ella Bishop,Week 2,Turkey Creek Medical,10,4,no gap,2026-10-23
Ella Bishop,Week 3,Turkey Creek Medical,12,4,no gap,2026-10-30
Ella Bishop,Week 4,Turkey Creek Medical,12,4,no gap,2026-11-06
Ella Bishop,Week 5,Turkey Creek Medical,12,4,no gap,2026-11-13
Ella Bishop,Week 6,Turkey Creek Medical,12,4,no gap,2026-11-20
Ella Bishop,Week 7,Turkey Creek Medical,10,4,no gap,2026-11-27
Ella Bishop,Week 8,Turkey Creek Medical,14,4,no gap,2026-12-04
Marcus Turner,Week 1,Fort Sanders Regional,14,3,documentation lag,2026-10-16
Marcus Turner,Week 2,Fort Sanders Regional,12,3,documentation lag,2026-10-23
Marcus Turner,Week 3,Fort Sanders Regional,10,2,documentation lag,2026-10-30
Marcus Turner,Week 4,Fort Sanders Regional,10,2,clinical skills below rubric,2026-11-06
Marcus Turner,Week 5,Fort Sanders Regional,10,2,clinical skills below rubric,2026-11-13
Marcus Turner,Week 6,Fort Sanders Regional,12,2,clinical skills below rubric,2026-11-20
Marcus Turner,Week 7,Fort Sanders Regional,12,2,gap: needs one-on-one before final,2026-11-27
Marcus Turner,Week 8,Fort Sanders Regional,14,2,gap: needs one-on-one before final,2026-12-04
Grace Nolan,Week 1,Parkwest Hospital,10,4,no gap,2026-10-16
Grace Nolan,Week 2,Parkwest Hospital,14,4,no gap,2026-10-23
Grace Nolan,Week 3,Parkwest Hospital,12,4,no gap,2026-10-30
Grace Nolan,Week 4,Parkwest Hospital,14,4,no gap,2026-11-06
Grace Nolan,Week 5,Parkwest Hospital,12,4,no gap,2026-11-13
Grace Nolan,Week 6,Parkwest Hospital,12,4,no gap,2026-11-20
Grace Nolan,Week 7,Parkwest Hospital,12,4,no gap,2026-11-27
Grace Nolan,Week 8,Parkwest Hospital,14,4,no gap,2026-12-04
Jaden Patel,Week 1,Blount Memorial,12,3,gap: minor documentation,2026-10-16
Jaden Patel,Week 2,Blount Memorial,12,4,no gap,2026-10-23
Jaden Patel,Week 3,Blount Memorial,12,4,no gap,2026-10-30
Jaden Patel,Week 4,Blount Memorial,12,3,gap: minor documentation,2026-11-06
Jaden Patel,Week 5,Blount Memorial,10,4,no gap,2026-11-13
Jaden Patel,Week 6,Blount Memorial,12,3,gap: minor documentation,2026-11-20
Jaden Patel,Week 7,Blount Memorial,12,3,gap: minor documentation,2026-11-27
Jaden Patel,Week 8,Blount Memorial,14,4,no gap,2026-12-04
Cody Sherman,Week 1,Blount Memorial,12,3,gap: minor documentation,2026-10-16
Cody Sherman,Week 2,Blount Memorial,10,4,no gap,2026-10-23
Cody Sherman,Week 3,Blount Memorial,10,4,no gap,2026-10-30
Cody Sherman,Week 4,Blount Memorial,12,4,no gap,2026-11-06
Cody Sherman,Week 5,Blount Memorial,14,4,no gap,2026-11-13
Cody Sherman,Week 6,Blount Memorial,14,4,no gap,2026-11-20
Cody Sherman,Week 7,Blount Memorial,10,3,gap: minor documentation,2026-11-27
Cody Sherman,Week 8,Blount Memorial,12,3,gap: minor documentation,2026-12-04
Molly Hartwell,Week 1,Roane State Community Clinic,10,4,no gap,2026-10-16
Molly Hartwell,Week 2,Roane State Community Clinic,10,3,gap: minor documentation,2026-10-23
Molly Hartwell,Week 3,Roane State Community Clinic,12,4,no gap,2026-10-30
Molly Hartwell,Week 4,Roane State Community Clinic,12,4,no gap,2026-11-06
Molly Hartwell,Week 5,Roane State Community Clinic,12,3,gap: minor documentation,2026-11-13
Molly Hartwell,Week 6,Roane State Community Clinic,12,4,no gap,2026-11-20
Molly Hartwell,Week 7,Roane State Community Clinic,12,4,no gap,2026-11-27
Molly Hartwell,Week 8,Roane State Community Clinic,10,4,no gap,2026-12-04
Ryan Kelso,Week 1,Parkwest Hospital,12,4,no gap,2026-10-16
Ryan Kelso,Week 2,Parkwest Hospital,12,4,no gap,2026-10-23
Ryan Kelso,Week 3,Parkwest Hospital,12,3,gap: minor documentation,2026-10-30
Ryan Kelso,Week 4,Parkwest Hospital,12,4,no gap,2026-11-06
Ryan Kelso,Week 5,Parkwest Hospital,14,4,no gap,2026-11-13
Ryan Kelso,Week 6,Parkwest Hospital,12,3,gap: minor documentation,2026-11-20
Ryan Kelso,Week 7,Parkwest Hospital,12,3,gap: minor documentation,2026-11-27
Ryan Kelso,Week 8,Parkwest Hospital,12,3,gap: minor documentation,2026-12-04
Amy Rowan,Week 1,Cumberland Medical,12,4,no gap,2026-10-16
Amy Rowan,Week 2,Cumberland Medical,10,4,no gap,2026-10-23
Amy Rowan,Week 3,Cumberland Medical,12,4,no gap,2026-10-30
Amy Rowan,Week 4,Cumberland Medical,14,4,no gap,2026-11-06
Amy Rowan,Week 5,Cumberland Medical,12,4,no gap,2026-11-13
Amy Rowan,Week 6,Cumberland Medical,12,4,no gap,2026-11-20
Amy Rowan,Week 7,Cumberland Medical,12,4,no gap,2026-11-27
Amy Rowan,Week 8,Cumberland Medical,12,4,no gap,2026-12-04
Kate Fielder,Week 1,Turkey Creek Medical,12,4,no gap,2026-10-16
Kate Fielder,Week 2,Turkey Creek Medical,12,4,no gap,2026-10-23
Kate Fielder,Week 3,Turkey Creek Medical,14,3,gap: minor documentation,2026-10-30
Kate Fielder,Week 4,Turkey Creek Medical,12,4,no gap,2026-11-06
Kate Fielder,Week 5,Turkey Creek Medical,14,4,no gap,2026-11-13
Kate Fielder,Week 6,Turkey Creek Medical,14,4,no gap,2026-11-20
Kate Fielder,Week 7,Turkey Creek Medical,12,4,no gap,2026-11-27
Kate Fielder,Week 8,Turkey Creek Medical,12,3,gap: minor documentation,2026-12-04
Zachary Cross,Week 1,Parkwest Hospital,10,4,no gap,2026-10-16
Zachary Cross,Week 2,Parkwest Hospital,10,3,gap: minor documentation,2026-10-23
Zachary Cross,Week 3,Parkwest Hospital,12,3,gap: minor documentation,2026-10-30
Zachary Cross,Week 4,Parkwest Hospital,12,4,no gap,2026-11-06
Zachary Cross,Week 5,Parkwest Hospital,10,4,no gap,2026-11-13
Zachary Cross,Week 6,Parkwest Hospital,12,4,no gap,2026-11-20
Zachary Cross,Week 7,Parkwest Hospital,12,4,no gap,2026-11-27
Zachary Cross,Week 8,Parkwest Hospital,12,4,no gap,2026-12-04
Emma Whitmire,Week 1,Parkwest Hospital,10,4,no gap,2026-10-16
Emma Whitmire,Week 2,Parkwest Hospital,10,4,no gap,2026-10-23
Emma Whitmire,Week 3,Parkwest Hospital,14,4,no gap,2026-10-30
Emma Whitmire,Week 4,Parkwest Hospital,12,4,no gap,2026-11-06
Emma Whitmire,Week 5,Parkwest Hospital,12,4,no gap,2026-11-13
Emma Whitmire,Week 6,Parkwest Hospital,10,4,no gap,2026-11-20
Emma Whitmire,Week 7,Parkwest Hospital,12,4,no gap,2026-11-27
Emma Whitmire,Week 8,Parkwest Hospital,12,4,no gap,2026-12-04
Aidan McCabe,Week 1,UT Medical Center,12,4,no gap,2026-10-16
Aidan McCabe,Week 2,UT Medical Center,10,4,no gap,2026-10-23
Aidan McCabe,Week 3,UT Medical Center,12,4,no gap,2026-10-30
Aidan McCabe,Week 4,UT Medical Center,14,4,no gap,2026-11-06
Aidan McCabe,Week 5,UT Medical Center,12,4,no gap,2026-11-13
Aidan McCabe,Week 6,UT Medical Center,14,4,no gap,2026-11-20
Aidan McCabe,Week 7,UT Medical Center,10,4,no gap,2026-11-27
Aidan McCabe,Week 8,UT Medical Center,12,4,no gap,2026-12-04
Zoe Ashworth,Week 1,Roane State Community Clinic,14,4,no gap,2026-10-16
Zoe Ashworth,Week 2,Roane State Community Clinic,12,4,no gap,2026-10-23
Zoe Ashworth,Week 3,Roane State Community Clinic,12,3,gap: minor documentation,2026-10-30
Zoe Ashworth,Week 4,Roane State Community Clinic,14,3,gap: minor documentation,2026-11-06
Zoe Ashworth,Week 5,Roane State Community Clinic,10,4,no gap,2026-11-13
Zoe Ashworth,Week 6,Roane State Community Clinic,12,4,no gap,2026-11-20
Zoe Ashworth,Week 7,Roane State Community Clinic,10,4,no gap,2026-11-27
Zoe Ashworth,Week 8,Roane State Community Clinic,12,3,gap: minor documentation,2026-12-04
Trevor Bailey,Week 1,Roane State Community Clinic,12,3,documentation lag,2026-10-16
Trevor Bailey,Week 2,Roane State Community Clinic,12,3,documentation lag,2026-10-23
Trevor Bailey,Week 3,Roane State Community Clinic,10,2,documentation lag,2026-10-30
Trevor Bailey,Week 4,Roane State Community Clinic,12,2,clinical skills below rubric,2026-11-06
Trevor Bailey,Week 5,Roane State Community Clinic,14,2,clinical skills below rubric,2026-11-13
Trevor Bailey,Week 6,Roane State Community Clinic,10,2,clinical skills below rubric,2026-11-20
Trevor Bailey,Week 7,Roane State Community Clinic,10,2,gap: needs one-on-one before final,2026-11-27
Trevor Bailey,Week 8,Roane State Community Clinic,12,2,gap: needs one-on-one before final,2026-12-04
Sophie Randall,Week 1,Roane State Community Clinic,14,3,gap: minor documentation,2026-10-16
Sophie Randall,Week 2,Roane State Community Clinic,12,3,gap: minor documentation,2026-10-23
Sophie Randall,Week 3,Roane State Community Clinic,12,4,no gap,2026-10-30
Sophie Randall,Week 4,Roane State Community Clinic,12,4,no gap,2026-11-06
Sophie Randall,Week 5,Roane State Community Clinic,14,4,no gap,2026-11-13
Sophie Randall,Week 6,Roane State Community Clinic,12,4,no gap,2026-11-20
Sophie Randall,Week 7,Roane State Community Clinic,14,3,gap: minor documentation,2026-11-27
