student_id,student_name,didactic_current,midterm_score,final_projected,current_avg,status,notes
CU-94533,Ella Bishop,92,90,93,92,honors,on track
CU-13602,Marcus Turner,70,65,70,68,at-risk,final exam Dec 12 2026; clinical end Dec 4
CU-39440,Grace Nolan,92,90,93,92,honors,on track
CU-18531,Jaden Patel,79,79,80,78,passing,on track
CU-40545,Cody Sherman,83,77,80,78,passing,on track
CU-88382,Molly Hartwell,80,82,80,78,passing,on track
CU-70866,Ryan Kelso,84,78,80,78,passing,on track
CU-24184,Amy Rowan,92,90,93,92,honors,on track
CU-50079,Kate Fielder,87,83,80,78,passing,on track
CU-78550,Zachary Cross,78,82,80,78,passing,on track
CU-87343,Emma Whitmire,92,90,93,92,honors,on track
CU-74918,Aidan McCabe,92,90,93,92,honors,on track
CU-55388,Zoe Ashworth,86,80,80,78,passing,on track
CU-36067,Trevor Bailey,71,65,70,68,at-risk,final exam Dec 12 2026; clinical end Dec 4
CU-70569,Sophie Randall,87,77,80,78,passing,on track
CU-79515,Justin Miles,83,79,80,78,passing,on track
CU-76150,Anna Wexler,92,90,93,92,honors,on track
CU-45841,Peter Grady,79,77,80,78,passing,on track
CU-15771,Lucia Delatte,79,79,80,78,passing,on track
CU-98385,Ivan Marek,73,65,70,68,at-risk,final exam Dec 12 2026; clinical end Dec 4
CU-59693,Hannah Reeves,81,81,80,78,passing,on track
CU-87101,Sam Whitfield,69,65,70,68,at-risk,final exam Dec 12 2026; clinical end Dec 4
CU-26144,Rebecca Yost,82,76,80,78,passing,on track
CU-59363,Nick Palmer,69,65,70,68,at-risk,final exam Dec 12 2026; clinical end Dec 4
CU-49344,Callie Novak,82,76,80,78,passing,on track
CU-84058,Devin Ortega,86,78,80,78,passing,on track
CU-43543,Lily Ramsey,81,83,80,78,passing,on track
CU-93177,Colin Boone,85,77,80,78,passing,on track
