id,intent,status,amount_value,currency_code,payee_email,description,create_time
5FT88291AA000001,CAPTURE,COMPLETED,250.00,USD,office@gracechurchelpaso.org,Grace Church Holiday Celebration pledge PL-002 from Juan Hernandez,2026-10-06T10:14:00Z
5FT88291AA000002,CAPTURE,COMPLETED,200.00,USD,office@gracechurchelpaso.org,Grace Church Holiday Celebration pledge PL-006 from Patricia Lopez,2026-10-10T13:22:00Z
5FT88291AA000003,CAPTURE,COMPLETED,200.00,USD,office@gracechurchelpaso.org,Grace Church Holiday Celebration pledge PL-010 from Carlos Gonzalez,2026-10-15T11:44:00Z
5FT88291AA000004,CAPTURE,COMPLETED,150.00,USD,office@gracechurchelpaso.org,Grace Church Holiday Celebration pledge PL-014 from Ines Perez,2026-10-20T15:11:00Z
5FT88291AA000005,CAPTURE,COMPLETED,150.00,USD,office@gracechurchelpaso.org,Grace Church Holiday Celebration pledge PL-016 from Diego Rivera,2026-10-23T09:52:00Z
5FT88291AA000006,CAPTURE,COMPLETED,150.00,USD,office@gracechurchelpaso.org,Grace Church Holiday Celebration pledge PL-021 from Elena Vasquez,2026-10-30T14:18:00Z
5FT88291AA000007,CAPTURE,COMPLETED,150.00,USD,office@gracechurchelpaso.org,Grace Church Holiday Celebration pledge PL-025 from Miguel Diaz,2026-11-05T11:37:00Z
5FT88291AA000008,CAPTURE,COMPLETED,150.00,USD,office@gracechurchelpaso.org,Grace Church Holiday Celebration pledge PL-029 from Lucia Reyes,2026-11-10T17:24:00Z
5FT88291AA900100,CAPTURE,COMPLETED,200.00,USD,matt.coleman@Finthesiss.ai,Music Ministry - Miguel Robles,2024-06-01T00:00:00Z
5FT88291AA900101,CAPTURE,COMPLETED,125.00,USD,matt.coleman@Finthesiss.ai,Weekly Tithe - Miguel Ledesma,2024-06-05T00:00:00Z
5FT88291AA900102,CAPTURE,COMPLETED,125.00,USD,matt.coleman@Finthesiss.ai,Music Ministry - Miguel Vidal,2024-06-09T00:00:00Z
5FT88291AA900103,CAPTURE,COMPLETED,50.00,USD,matt.coleman@Finthesiss.ai,Widow Fellowship Contribution - Miguel Muniz,2024-06-13T00:00:00Z
5FT88291AA900104,CAPTURE,COMPLETED,50.00,USD,matt.coleman@Finthesiss.ai,Widow Fellowship Contribution - Miguel Fuentes,2024-06-17T00:00:00Z
5FT88291AA900105,CAPTURE,COMPLETED,100.00,USD,matt.coleman@Finthesiss.ai,VBS Fee - Miguel Navarette,2024-06-21T00:00:00Z
5FT88291AA900106,CAPTURE,COMPLETED,100.00,USD,matt.coleman@Finthesiss.ai,VBS Fee - Miguel Kroll,2024-06-25T00:00:00Z
