host_id,name,superhost,joined_year,response_rate,languages
abh_0000,Host 0,true,2020,91,"English,Greek"
abh_0001,Host 1,false,2022,92,"English,Greek"
abh_0002,Host 2,true,2018,83,English
abh_0003,Host 3,true,2019,81,"English,Greek"
abh_0004,Host 4,true,2018,87,"English,Greek"
abh_0005,Host 5,true,2017,75,English
abh_0006,Host 6,false,2017,98,"English,Greek"
abh_0007,Host 7,false,2021,71,"English,Greek"
abh_0008,Host 8,false,2023,96,English
abh_0009,Host 9,true,2021,96,English
abh_0010,Host 10,true,2017,82,English
abh_0011,Host 11,true,2021,75,"English,Greek"
abh_0012,Host 12,false,2019,96,English
abh_0013,Host 13,false,2023,82,English
abh_0014,Host 14,true,2020,97,"English,Greek"
abh_0015,Host 15,false,2022,71,"English,Greek"
abh_0016,Host 16,true,2025,74,"English,Greek"
abh_0017,Host 17,false,2016,81,English
abh_0018,Host 18,false,2023,89,English
abh_0019,Host 19,false,2025,97,"English,Greek"
abh_0020,Host 20,true,2025,92,"English,Greek"
abh_0021,Host 21,true,2021,71,English
abh_0022,Host 22,false,2015,88,English
abh_0023,Host 23,true,2017,89,"English,Greek"
abh_0024,Host 24,false,2016,78,"English,Greek"
abh_0025,Host 25,true,2021,82,"English,Greek"
abh_0026,Host 26,false,2024,74,"English,Greek"
abh_0027,Host 27,true,2018,99,English
abh_0028,Host 28,false,2015,80,English
abh_0029,Host 29,false,2022,85,English
abh_0030,Host 30,true,2016,94,"English,Greek"
abh_0031,Host 31,false,2021,98,"English,Greek"
abh_0032,Host 32,false,2024,95,"English,Greek"
abh_0033,Host 33,true,2017,83,"English,Greek"
abh_0034,Host 34,true,2018,99,"English,Greek"
abh_0035,Host 35,false,2022,83,"English,Greek"
abh_0036,Host 36,false,2022,78,"English,Greek"
abh_0037,Host 37,true,2019,73,English
abh_0038,Host 38,true,2024,93,English
abh_0039,Host 39,false,2024,76,English
abh_0040,Host 40,true,2015,86,"English,Greek"
abh_0041,Host 41,true,2025,89,English
abh_0042,Host 42,false,2023,83,"English,Greek"
abh_0043,Host 43,false,2017,84,"English,Greek"
abh_0044,Host 44,true,2015,72,"English,Greek"
abh_0045,Host 45,false,2020,83,"English,Greek"
abh_0046,Host 46,true,2022,97,"English,Greek"
abh_0047,Host 47,false,2025,87,English
abh_0048,Host 48,true,2017,88,English
abh_0049,Host 49,true,2016,98,English
abh_0050,Host 50,true,2015,84,"English,Greek"
abh_0051,Host 51,true,2018,85,English
abh_0052,Host 52,true,2025,93,English
abh_0053,Host 53,true,2018,95,"English,Greek"
abh_0054,Host 54,false,2024,93,English
abh_0055,Host 55,true,2015,89,"English,Greek"
abh_0056,Host 56,false,2018,91,"English,Greek"
abh_0057,Host 57,false,2019,86,English
abh_0058,Host 58,true,2022,94,"English,Greek"
abh_0059,Host 59,false,2015,97,"English,Greek"
abh_0060,Host 60,false,2022,71,"English,Greek"
abh_0061,Host 61,true,2018,89,English
abh_0062,Host 62,false,2018,76,English
abh_0063,Host 63,true,2018,73,"English,Greek"
abh_0064,Host 64,false,2018,70,"English,Greek"
abh_0065,Host 65,true,2017,78,English
abh_0066,Host 66,true,2018,71,"English,Greek"
abh_0067,Host 67,false,2022,83,English
abh_0068,Host 68,true,2019,84,"English,Greek"
abh_0069,Host 69,true,2018,77,"English,Greek"
abh_0070,Host 70,false,2016,89,English
abh_0071,Host 71,false,2023,79,English
abh_0072,Host 72,true,2023,97,English
abh_0073,Host 73,false,2017,73,English
abh_0074,Host 74,false,2023,90,English
abh_0075,Host 75,false,2021,83,"English,Greek"
abh_0076,Host 76,false,2019,89,"English,Greek"
abh_0077,Host 77,true,2023,76,"English,Greek"
abh_0078,Host 78,false,2016,75,English
abh_0079,Host 79,true,2018,85,"English,Greek"
abh_0080,Host 80,false,2019,72,English
abh_0081,Host 81,true,2023,77,"English,Greek"
abh_0082,Host 82,true,2015,88,English
abh_0083,Host 83,false,2025,80,"English,Greek"
abh_0084,Host 84,true,2023,99,English
abh_0085,Host 85,false,2015,78,"English,Greek"
abh_0086,Host 86,false,2016,82,English
abh_0087,Host 87,false,2016,86,English
abh_0088,Host 88,true,2021,78,English
abh_0089,Host 89,true,2025,80,"English,Greek"
abh_0090,Host 90,true,2023,99,"English,Greek"
abh_0091,Host 91,true,2015,92,"English,Greek"
abh_0092,Host 92,true,2015,81,English
abh_0093,Host 93,false,2025,96,English
abh_0094,Host 94,false,2015,79,English
abh_0095,Host 95,false,2016,90,"English,Greek"
abh_0096,Host 96,false,2018,79,"English,Greek"
abh_0097,Host 97,true,2018,75,English
abh_0098,Host 98,true,2019,80,English
abh_0099,Host 99,false,2022,86,"English,Greek"
abh_0100,Host 100,false,2021,84,"English,Greek"
abh_0101,Host 101,true,2018,72,English
abh_0102,Host 102,true,2025,98,English
abh_0103,Host 103,true,2017,92,English
abh_0104,Host 104,true,2024,92,"English,Greek"
abh_0105,Host 105,true,2025,91,"English,Greek"
abh_0106,Host 106,false,2017,78,English
abh_0107,Host 107,false,2016,71,English
abh_0108,Host 108,false,2024,91,English
abh_0109,Host 109,false,2022,72,"English,Greek"
abh_0110,Host 110,true,2019,90,"English,Greek"
abh_0111,Host 111,false,2023,95,English
abh_0112,Host 112,false,2024,70,English
abh_0113,Host 113,false,2017,90,English
abh_0114,Host 114,false,2016,94,English
abh_0115,Host 115,false,2024,86,"English,Greek"
abh_0116,Host 116,true,2016,80,English
abh_0117,Host 117,true,2025,100,"English,Greek"
abh_0118,Host 118,true,2025,79,English
abh_0119,Host 119,false,2019,84,"English,Greek"
abh_0120,Host 120,true,2016,87,English
abh_0121,Host 121,true,2021,86,"English,Greek"
abh_0122,Host 122,false,2021,72,"English,Greek"
abh_0123,Host 123,false,2021,85,"English,Greek"
abh_0124,Host 124,true,2016,80,"English,Greek"
abh_0125,Host 125,true,2021,81,"English,Greek"
abh_0126,Host 126,true,2017,83,"English,Greek"
abh_0127,Host 127,true,2024,74,"English,Greek"
abh_0128,Host 128,false,2024,83,"English,Greek"
abh_0129,Host 129,false,2019,99,"English,Greek"
abh_0130,Host 130,false,2016,96,English
abh_0131,Host 131,true,2016,84,English
abh_0132,Host 132,false,2016,90,English
abh_0133,Host 133,true,2020,85,English
abh_0134,Host 134,true,2017,88,"English,Greek"
abh_0135,Host 135,true,2024,79,"English,Greek"
abh_0136,Host 136,true,2020,81,"English,Greek"
abh_0137,Host 137,false,2023,74,English
abh_0138,Host 138,false,2020,89,English
abh_0139,Host 139,false,2023,94,English
abh_0140,Host 140,true,2017,99,"English,Greek"
abh_0141,Host 141,true,2015,100,"English,Greek"
abh_0142,Host 142,false,2023,75,"English,Greek"
abh_0143,Host 143,false,2018,84,"English,Greek"
abh_0144,Host 144,false,2021,83,"English,Greek"
abh_0145,Host 145,true,2025,97,"English,Greek"
abh_0146,Host 146,false,2025,93,"English,Greek"
abh_0147,Host 147,false,2023,87,"English,Greek"
abh_0148,Host 148,true,2025,86,English
abh_0149,Host 149,true,2016,87,English
