Date	Start_Odometer	End_Odometer	Miles	Purpose	Destination	Category
2026-01-06	89120	89138	18	Supply run	Cedarbrook Supply, Hatboro	Supply
2026-01-08	89138	89182	44	Job site	Hartwell, Doylestown	Job
2026-01-12	89182	89226	44	Job site	Hartwell, Doylestown	Job
2026-01-15	89226	89288	62	Job site	Whitmore, Lansdale	Job
2026-01-18	89288	89518	230	Family visit	Andriy and Mila, Baltimore	Family
2026-01-22	89518	89562	44	Job site	Hartwell, Doylestown	Job
2026-01-26	89562	89620	58	Job site	Okafor, Media	Job
2026-01-29	89620	89642	22	Supply run	Hardware and parts	Supply
2026-02-02	89642	89704	62	Job site	Whitmore, Lansdale	Job
2026-02-09	89704	89748	44	Job site	Hartwell, Doylestown	Job
2026-02-14	89748	89784	36	Guild meeting	SEPA Beekeepers Guild	Personal
2026-02-24	89784	89814	30	Job site	Delgado, Ardmore	Job
