name	role	method	phone	email
Claudette Ward	Daughter, fleet social media	iMessage	(305) 555-0287	claudette.ward@gmail.com
Jean-Pierre Ward	Son, fleet mechanic and driver	iMessage	(305) 555-0291	jp.ward@gmail.com
Dorothy Ward	Mother	Landline	(305) 555-0215	none
Reginald Ward	Brother, ICE and medical proxy	Phone	(305) 555-0334	reginald.ward@gmail.com
Frank Morrison	Fleet manager	Phone	(305) 555-0378	frank.morrison@gmail.com
Pastor David Reynolds	Senior pastor, Grace Community	Phone	(305) 555-0402	david.reynolds@gmail.com
Linda Charles	Church secretary	Text	(305) 555-0419	linda.charles@gmail.com
Max Delano	CPA	Email and phone	(305) 555-0456	max.delano@gmail.com
Dr. Frances Larson	Endocrinology	Office phone	(305) 555-0501	none
Dr. Ricardo Alvarez	Orthopedics	Office phone	(305) 555-0523	none
Dr. Harold Jensen	Primary care	Office phone	(305) 555-0539	none
Ashley Ward	Owner, Ward Taxi	Direct	(305) 555-0190	ashley.ward@Finthesiss.ai
