Name	Relationship	Phone	Email	Location	Last_Contact	Notes
Meredith Holloway	Daughter	415-555-0192	m.holloway@sfengineer.net	San Francisco CA	2026-01-14	Weekly Wednesday call; monthly dinner
Greg Okada	Best friend	916-555-0318	g.okada@folsomhome.net	Folsom CA	2026-01-17	Saturday ride; primary confidant
Nina Holloway	Sister	503-555-0401	n.holloway@pdxdesign.net	Portland OR	2025-12-20	Monthly calls
Chen Wei	Work colleague	916-555-0445	cwei@apexcloudservices.com	Sacramento CA	2026-01-08	On-call partner; weekly sync
Diane Holloway	Ex-wife	530-555-0234	via attorneys	Davis CA	2026-01-01	Financial via attorneys; texts re Meredith
Dr. Pradeep Singh	Primary care	916-555-0600	via Folsom Family Medical	Folsom CA	2026-02-20	A1C recheck Nov 2026
Dr. Alan Richter	Podiatrist	916-555-0615	via Folsom Foot and Ankle	Folsom CA	2025-11-10	Follow-up Oct 2026 needs scheduling
Dr. Katherine Huang	Dentist	916-555-0620	via Folsom Dental Group	Folsom CA	2025-05-19	Cleaning Nov 2026
Dr. Linda Park	Optometrist	916-555-0625	via Gold Country Optometry	Folsom CA	2025-12-09	Vision exam Dec 2026
Raj Mehta	VP Engineering	Slack only	rmehta@apexcloudservices.com	Sacramento CA	2026-01-10	Annual review June cycle
