user_id,name,email,role,time_zone,job_title
PU00001,Layla McBride,layla.mcbride@nnu-crop.edu.ng,responder,Africa/Lagos,Sysadmin
PU00002,Adaeze McBride,adaeze.mcbride@nnu-crop.edu.ng,responder,Africa/Lagos,SRE
PU00003,Ciaran McBride,ciaran.mcbride@nnu-crop.edu.ng,responder,Africa/Lagos,DBA
PU00004,Amina McBride,amina.mcbride@nnu-crop.edu.ng,manager,Africa/Lagos,Faculty
PU00005,Emeka McBride,emeka.mcbride@nnu-crop.edu.ng,observer,Africa/Lagos,Grad Student
PU00006,Ifeanyi McBride,ifeanyi.mcbride@nnu-crop.edu.ng,responder,Africa/Lagos,Extension Officer
PU00007,Nkechi McBride,nkechi.mcbride@nnu-crop.edu.ng,responder,Africa/Lagos,Sysadmin
PU00008,Otobong McBride,otobong.mcbride@nnu-crop.edu.ng,responder,Africa/Lagos,SRE
PU00009,Damola McBride,damola.mcbride@nnu-crop.edu.ng,responder,Africa/Lagos,DBA
PU00010,Uche McBride,uche.mcbride@nnu-crop.edu.ng,manager,Africa/Lagos,Faculty
PU00011,Chinelo McBride,chinelo.mcbride@nnu-crop.edu.ng,observer,Africa/Lagos,Grad Student
PU00012,Ngozi McBride,ngozi.mcbride@nnu-crop.edu.ng,responder,Africa/Lagos,Extension Officer
PU00013,Obinna McBride,obinna.mcbride@nnu-crop.edu.ng,responder,Africa/Lagos,Sysadmin
PU00014,Chidi McBride,chidi.mcbride@nnu-crop.edu.ng,responder,Africa/Lagos,SRE
PU00015,Ifeoma McBride,ifeoma.mcbride@nnu-crop.edu.ng,responder,Africa/Lagos,DBA
PU00016,Yetunde McBride,yetunde.mcbride@nnu-crop.edu.ng,manager,Africa/Lagos,Faculty
PU00017,Chukwuma McBride,chukwuma.mcbride@nnu-crop.edu.ng,observer,Africa/Lagos,Grad Student
PU00018,Amaka McBride,amaka.mcbride@nnu-crop.edu.ng,responder,Africa/Lagos,Extension Officer
PU00019,Tunde McBride,tunde.mcbride@nnu-crop.edu.ng,responder,Africa/Lagos,Sysadmin
PU00020,Bukola McBride,bukola.mcbride@nnu-crop.edu.ng,responder,Africa/Lagos,SRE
PU00021,Layla Akpan,layla.akpan@nnu-crop.edu.ng,responder,Africa/Lagos,DBA
PU00022,Adaeze Akpan,adaeze.akpan@nnu-crop.edu.ng,manager,Africa/Lagos,Faculty
PU00023,Ciaran Akpan,ciaran.akpan@nnu-crop.edu.ng,observer,Africa/Lagos,Grad Student
PU00024,Amina Akpan,amina.akpan@nnu-crop.edu.ng,responder,Africa/Lagos,Extension Officer
PU00025,Emeka Akpan,emeka.akpan@nnu-crop.edu.ng,responder,Africa/Lagos,Sysadmin
PU00026,Ifeanyi Akpan,ifeanyi.akpan@nnu-crop.edu.ng,responder,Africa/Lagos,SRE
PU00027,Nkechi Akpan,nkechi.akpan@nnu-crop.edu.ng,responder,Africa/Lagos,DBA
PU00028,Otobong Akpan,otobong.akpan@nnu-crop.edu.ng,manager,Africa/Lagos,Faculty
PU00029,Damola Akpan,damola.akpan@nnu-crop.edu.ng,observer,Africa/Lagos,Grad Student
PU00030,Uche Akpan,uche.akpan@nnu-crop.edu.ng,responder,Africa/Lagos,Extension Officer
PU00031,Chinelo Akpan,chinelo.akpan@nnu-crop.edu.ng,responder,Africa/Lagos,Sysadmin
PU00032,Ngozi Akpan,ngozi.akpan@nnu-crop.edu.ng,responder,Africa/Lagos,SRE
PU00033,Obinna Akpan,obinna.akpan@nnu-crop.edu.ng,responder,Africa/Lagos,DBA
PU00034,Chidi Akpan,chidi.akpan@nnu-crop.edu.ng,manager,Africa/Lagos,Faculty
PU00035,Ifeoma Akpan,ifeoma.akpan@nnu-crop.edu.ng,observer,Africa/Lagos,Grad Student
PU00036,Yetunde Akpan,yetunde.akpan@nnu-crop.edu.ng,responder,Africa/Lagos,Extension Officer
PU00037,Chukwuma Akpan,chukwuma.akpan@nnu-crop.edu.ng,responder,Africa/Lagos,Sysadmin
PU00038,Amaka Akpan,amaka.akpan@nnu-crop.edu.ng,responder,Africa/Lagos,SRE
PU00039,Tunde Akpan,tunde.akpan@nnu-crop.edu.ng,responder,Africa/Lagos,DBA
PU00040,Bukola Akpan,bukola.akpan@nnu-crop.edu.ng,manager,Africa/Lagos,Faculty
PU00041,Layla Walsh,layla.walsh@nnu-crop.edu.ng,observer,Africa/Lagos,Grad Student
PU00042,Adaeze Walsh,adaeze.walsh@nnu-crop.edu.ng,responder,Africa/Lagos,Extension Officer
PU00043,Ciaran Walsh,ciaran.walsh@nnu-crop.edu.ng,responder,Africa/Lagos,Sysadmin
PU00044,Amina Walsh,amina.walsh@nnu-crop.edu.ng,responder,Africa/Lagos,SRE
PU00045,Emeka Walsh,emeka.walsh@nnu-crop.edu.ng,responder,Africa/Lagos,DBA
PU00046,Ifeanyi Walsh,ifeanyi.walsh@nnu-crop.edu.ng,manager,Africa/Lagos,Faculty
