sys_id,user_name,name,email,title,department,active
sys-user-greg,greg,Greg Howard,greg.howard@gmail.com,Pediatric Physical Therapist,Pediatric Rehab,True
sys-user-0,priya0,Priya Diaz,priya@kestrelhealth.example.org,Physical Therapist,Pediatric Rehab,True
sys-user-1,marcus1,Marcus Diaz,marcus@kestrelhealth.example.org,Physical Therapist,Pediatric Rehab,True
sys-user-2,dana2,Dana Diaz,dana@kestrelhealth.example.org,Physical Therapist,Pediatric Rehab,True
sys-user-3,evan3,Evan Diaz,evan@kestrelhealth.example.org,Nurse,Pediatric Rehab,True
sys-user-4,grace4,Grace Diaz,grace@kestrelhealth.example.org,Physical Therapist,Pediatric Rehab,True
sys-user-5,nadia5,Nadia Diaz,nadia@kestrelhealth.example.org,Nurse,Pediatric Rehab,True
sys-user-6,sam6,Sam Diaz,sam@kestrelhealth.example.org,Admin,Pediatric Rehab,True
sys-user-7,tomas7,Tomas Diaz,tomas@kestrelhealth.example.org,Nurse,Pediatric Rehab,True
sys-user-8,wendy8,Wendy Diaz,wendy@kestrelhealth.example.org,Nurse,Pediatric Rehab,True
sys-user-9,leo9,Leo Diaz,leo@kestrelhealth.example.org,Admin,Pediatric Rehab,True
sys-user-10,aisha10,Aisha Diaz,aisha@kestrelhealth.example.org,Admin,Pediatric Rehab,True
sys-user-11,ravi11,Ravi Diaz,ravi@kestrelhealth.example.org,Admin,Pediatric Rehab,True
sys-user-12,mia12,Mia Diaz,mia@kestrelhealth.example.org,Admin,Pediatric Rehab,True
sys-user-13,owen13,Owen Diaz,owen@kestrelhealth.example.org,Nurse,Pediatric Rehab,True
sys-user-14,lena14,Lena Diaz,lena@kestrelhealth.example.org,Physical Therapist,Pediatric Rehab,True
sys-user-15,kai15,Kai Diaz,kai@kestrelhealth.example.org,Nurse,Pediatric Rehab,True
sys-user-16,nora16,Nora Diaz,nora@kestrelhealth.example.org,Admin,Pediatric Rehab,True
sys-user-17,ivan17,Ivan Diaz,ivan@kestrelhealth.example.org,Physical Therapist,Pediatric Rehab,True
sys-user-18,zoe18,Zoe Diaz,zoe@kestrelhealth.example.org,Admin,Pediatric Rehab,True
