id,name,type,distance,moving_time,elapsed_time,total_elevation_gain,average_speed,start_date,kudos_count,segment_id
800000,Kai training run #1,TrailRun,6319,4448,3958,305,3.12,2024-12-27T21:23:12Z,1,7
800001,Kai training run,TrailRun,8307,5727,3932,79,3.29,2025-03-22T01:23:05Z,9,22
800002,Kai training run #3,Hike,12872,2416,2082,141,2.38,2026-04-13T19:04:45Z,8,30
800003,Church Rock hike,Hike,5301,4820,2661,228,1.69,2024-11-22T03:45:59Z,5,19
800004,Copper trail #5,Hike,11644,5557,5542,264,1.89,2025-10-19T11:40:28Z,8,13
800005,Sunday morning walk,Walk,13551,5125,7300,276,3.22,2024-12-22T22:50:35Z,1,2
800006,Fort Wingate trail,Walk,13187,2945,5970,224,1.38,2025-05-30T10:38:59Z,3,30
800007,Copper trail,Walk,17946,6466,2389,314,2.36,2025-03-28T19:30:30Z,7,16
800008,El Malpais boundary hike,Hike,16500,6449,2084,270,2.07,2024-10-30T15:35:59Z,12,9
800009,Zuni Mountains ridge line #10,Walk,8670,3664,6469,247,2.26,2024-07-06T12:48:10Z,1,17
800010,Church Rock hike,Walk,14572,5738,5470,385,3.44,2025-07-18T08:42:53Z,7,15
800011,El Malpais boundary hike,TrailRun,6705,2542,6994,365,1.17,2025-04-19T19:05:57Z,1,20
800012,Bluewater Lake loop,Walk,12360,3795,6362,223,1.45,2025-02-04T03:36:55Z,10,7
800013,Sunday morning walk #14,Hike,3741,3950,6916,90,2.92,2025-09-23T08:04:50Z,5,23
800014,Kai training run,Walk,4860,1942,6946,333,2.71,2026-05-31T14:27:44Z,2,24
800015,Kai training run #16,Hike,12243,7028,4253,188,2.21,2025-01-24T07:53:41Z,10,20
800016,Church Rock hike,Hike,7683,3881,5205,187,2.28,2026-07-01T04:49:02Z,7,26
800017,Copper trail #18,Hike,4920,2735,5322,243,1.48,2025-05-25T12:00:25Z,12,16
800018,El Malpais boundary hike,Run,6839,2544,3013,83,3.27,2025-10-19T16:15:45Z,3,7
800019,Gallup dawn 5k,Hike,15573,1870,3450,212,3.59,2025-12-28T03:16:37Z,5,23
800020,Gallup dawn 5k,Hike,11893,3844,4669,228,2.32,2025-12-22T20:31:57Z,3,14
800021,Church Rock hike,Hike,12188,5425,5524,200,3.21,2026-06-04T13:04:24Z,11,23
800022,Fort Wingate trail #23,Hike,7071,5907,3054,338,1.68,2025-05-24T15:28:51Z,0,25
800023,Copper trail #24,Walk,11221,4166,5425,390,2.93,2025-11-28T06:32:05Z,0,11
800024,Red Rock loop #25,Walk,11077,5051,4591,269,1.34,2024-07-13T03:15:15Z,11,29
800025,Church Rock hike,Hike,9418,4618,4899,99,3.15,2025-02-28T14:28:48Z,11,6
800026,Church Rock hike,Run,14992,2320,2872,399,1.13,2026-03-26T01:19:15Z,5,25
800027,Copper trail #28,TrailRun,11446,6479,4366,210,1.25,2025-12-13T06:27:58Z,9,17
800028,El Malpais boundary hike,Run,9669,5348,7077,116,1.98,2024-11-21T01:08:00Z,1,6
800029,Kai training run #30,Walk,16288,3305,2782,231,2.87,2025-12-27T01:34:57Z,4,14
800030,Sunday morning walk #31,Hike,10688,6969,5187,54,2.34,2025-04-04T19:07:45Z,7,3
800031,Zuni Mountains ridge line,Walk,3739,4071,7149,89,2.29,2026-04-28T20:48:22Z,2,8
800032,Kai training run,Run,15930,4256,2414,81,1.58,2026-04-02T23:13:35Z,2,28
800033,El Malpais boundary hike,Hike,10223,4979,6549,395,2.37,2025-06-29T17:19:20Z,9,18
800034,Church Rock hike,TrailRun,14524,7041,4559,149,2.76,2025-01-20T06:08:55Z,7,22
800035,Bluewater Lake loop #36,TrailRun,12628,4644,7130,398,2.8,2026-03-02T18:26:07Z,9,15
800036,Kai training run,Hike,6483,4065,4517,56,1.28,2024-07-07T00:50:12Z,10,17
800037,Zuni Mountains ridge line #38,Hike,13147,3741,5874,128,2.89,2024-08-04T23:15:07Z,7,24
800038,Red Rock loop #39,TrailRun,10384,6895,6375,143,1.21,2025-07-27T05:24:09Z,1,16
800039,Bluewater Lake loop,Hike,8235,3662,2355,57,1.31,2025-04-21T21:19:34Z,6,2
800040,El Malpais boundary hike,Run,5261,4407,3664,139,3.37,2025-07-29T18:13:21Z,12,7
800041,Sunday morning walk,Walk,13001,5930,4626,303,3.16,2024-08-23T13:31:24Z,3,29
800042,Kai training run,Hike,5238,1894,7287,278,2.03,2025-05-06T07:30:28Z,0,5
800043,Gallup dawn 5k,Run,12608,4567,5734,133,2.43,2025-07-11T05:47:56Z,5,11
800044,El Malpais boundary hike,Walk,16419,6298,4429,175,1.16,2024-07-18T20:56:29Z,2,22
800045,Church Rock hike,TrailRun,16311,3224,3223,112,3.4,2025-08-27T20:54:40Z,7,11
800046,Fort Wingate trail,TrailRun,8036,3602,6659,377,2.17,2024-11-09T08:38:50Z,0,12
800047,Copper trail,Hike,17839,6868,7044,224,1.56,2025-11-12T09:28:50Z,3,28
800048,Zuni Mountains ridge line,Hike,11421,7047,5072,264,2.55,2026-05-29T08:04:03Z,3,10
