id,meeting_id,email,first_name,last_name,status,join_time,create_time
reg_001,mtg_council_mar,timothy.pratt@voissync.ai,Timothy,Pratt,approved,2027-03-04T10:00:00Z,2027-02-28T09:00:00Z
reg_002,mtg_council_mar,tom.clearsky@browningmt.gov,Tom,Clearsky,approved,2027-03-04T09:58:00Z,2027-02-27T14:00:00Z
reg_003,mtg_council_mar,janet.small@browningmt.gov,Janet,Small,approved,2027-03-04T10:02:00Z,2027-02-28T08:00:00Z
reg_004,mtg_extension_q1,timothy.pratt@voissync.ai,Timothy,Pratt,approved,2027-01-15T14:00:00Z,2027-01-10T09:00:00Z
reg_005,mtg_extension_q1,margaret.spencer@gmail.com,Margaret,Spencer,approved,2027-01-15T13:55:00Z,2027-01-08T10:00:00Z
reg_006,mtg_crawford_nov,timothy.pratt@voissync.ai,Timothy,Pratt,approved,2026-11-25T10:00:00Z,2026-11-20T09:00:00Z
reg_007,mtg_council_feb,timothy.pratt@voissync.ai,Timothy,Pratt,approved,2027-02-04T10:00:00Z,2027-01-30T09:00:00Z
reg_008,mtg_council_feb,tom.clearsky@browningmt.gov,Tom,Clearsky,approved,2027-02-04T09:55:00Z,2027-01-29T14:00:00Z
reg_009,mtg_christmas,timothy.pratt@voissync.ai,Timothy,Pratt,approved,2026-12-25T14:00:00Z,2026-12-20T08:00:00Z
reg_010,mtg_christmas,james.pratt@gmail.com,James,Pratt,approved,2026-12-25T14:00:00Z,2026-12-20T09:00:00Z
reg_011,mtg_christmas,sarah.pratt@gmail.com,Sarah,Pratt,approved,2026-12-25T14:05:00Z,2026-12-21T10:00:00Z
reg_012,mtg_council_jan,timothy.pratt@voissync.ai,Timothy,Pratt,approved,2027-01-07T10:00:00Z,2027-01-02T09:00:00Z
