Name	Relationship	Phone	Email	City	Notes
Mateo Rivera	Partner	(718) 555-0112	mateo.rivera.design@gmail.com	Brooklyn, NY	Graphic designer, lives with Jesse at 147 Wythe Ave
Jess Williams	Best friend	(347) 555-0167	jess.williams.style@gmail.com	Brooklyn, NY	Stylist, close friend since art school
Ana Moreira	Client and friend	(718) 555-0189	ana.moreira@gmail.com	Brooklyn, NY	Chef and owner of Estrela, 84 Berry St, Williamsburg NY 11211
Kevin Page	Brother	(408) 555-0156	kevin.page.dev@gmail.com	San Jose, CA	Software engineer at Ridgeview Analytics
Priya Page	Sister-in-law	(408) 555-0157	priya.page@gmail.com	San Jose, CA	Married to Kevin, sister-in-law
Linda Page	Mother	(718) 555-0134	linda.h.page@gmail.com	Flushing, NY	Retired accountant, lives in Flushing with Howard
Howard Page	Father	(718) 555-0135		Flushing, NY	Retired electrical engineer, lives in Flushing with Linda
Lily Page	Niece		 	San Jose, CA	Born October 5, 2025, Kevin and Priya's daughter
Tomas Herrera	Agent	(212) 555-0178	tomas@gmail.com	New York, NY	Herrera Creative Management, agent contract ref HCM-2024-JP-001
Ravi Krishnamurthy	CPA	(718) 555-0201	ravi.k.cpa@gmail.com	Brooklyn, NY	Greenpoint Tax and Advisory, handles freelance and self-employment taxes
Dr. Ellen Park	Doctor	(718) 555-0212		Brooklyn, NY	Williamsburg Health Partners, primary care
Williamsburg Dental Studio	Dentist	(718) 555-0245		Brooklyn, NY	312 Bedford Ave, Brooklyn, NY 11211
Robert DeLuca	Landlord contact	(718) 555-0320	rdeluca@wytheprop.com	Brooklyn, NY	Wythe Properties LLC, property manager for 147 Wythe Ave
Yuki Tanabe	Friend	 		New York, NY	Food content world, met through industry events, no phone or email recorded
