Workshop ID	Workshop Date	Workshop Title	Venue	Student Name	Email	Skill Level Reported	Fee Paid	Attended
WS-2024-01	April 12, 2024	Fingerstyle Fundamentals - Session 1	Dragonfly Music Center	Dara Osei	dara.osei@gmail.com	Beginner	85.00	Yes
WS-2024-01	April 12, 2024	Fingerstyle Fundamentals - Session 1	Dragonfly Music Center	Monika Zalewski	mzalewski22@gmail.com	Beginner	85.00	Yes
WS-2024-01	April 12, 2024	Fingerstyle Fundamentals - Session 1	Dragonfly Music Center	James Tran	jtran.music@gmail.com	Beginner	85.00	Yes
WS-2024-01	April 12, 2024	Fingerstyle Fundamentals - Session 1	Dragonfly Music Center	Celeste Hobbs	chobbs@hotmail.com	Beginner	85.00	Yes
WS-2024-01	April 12, 2024	Fingerstyle Fundamentals - Session 1	Dragonfly Music Center	Rasheed Barton	r.barton.guitar@gmail.com	Some experience	85.00	Yes
WS-2024-01	April 12, 2024	Fingerstyle Fundamentals - Session 1	Dragonfly Music Center	Patricia Nguyen	pat.nguyen.bmore@gmail.com	Beginner	85.00	Yes
WS-2024-01	April 12, 2024	Fingerstyle Fundamentals - Session 1	Dragonfly Music Center	Sasha Whitfield	sasha.w1990@gmail.com	Beginner	85.00	No - illness
WS-2024-01	April 12, 2024	Fingerstyle Fundamentals - Session 1	Dragonfly Music Center	Troy Maddox	troym.music@gmail.com	Some experience	85.00	Yes
WS-2024-02	October 5, 2024	Intermediate Fingerstyle - Fall Session	Dragonfly Music Center	Rasheed Barton	r.barton.guitar@gmail.com	Intermediate	95.00	Yes
WS-2024-02	October 5, 2024	Intermediate Fingerstyle - Fall Session	Dragonfly Music Center	Celeste Hobbs	chobbs@hotmail.com	Beginner-Intermediate	95.00	Yes
WS-2024-02	October 5, 2024	Intermediate Fingerstyle - Fall Session	Dragonfly Music Center	Anjali Mehta	anjalimehta.atl@gmail.com	Intermediate	95.00	Yes
WS-2024-02	October 5, 2024	Intermediate Fingerstyle - Fall Session	Dragonfly Music Center	Louis Ferrara	louferrara@gmail.com	Intermediate	95.00	Yes
WS-2024-02	October 5, 2024	Intermediate Fingerstyle - Fall Session	Dragonfly Music Center	Tomoko Ishida	t.ishida.md@gmail.com	Intermediate	95.00	Yes
WS-2024-02	October 5, 2024	Intermediate Fingerstyle - Fall Session	Dragonfly Music Center	David Kessler	dkessler.bwi@gmail.com	Some experience	95.00	Yes
WS-2025-01	February 8, 2025	Fingerstyle Fundamentals - Winter Session	Dragonfly Music Center	Patricia Nguyen	pat.nguyen.bmore@gmail.com	Beginner	85.00	Yes
WS-2025-01	February 8, 2025	Fingerstyle Fundamentals - Winter Session	Dragonfly Music Center	Omar Willis	o.willis.guitar@gmail.com	Beginner	85.00	Yes
WS-2025-01	February 8, 2025	Fingerstyle Fundamentals - Winter Session	Dragonfly Music Center	Heather Dunmore	hmdunmore@gmail.com	Beginner	85.00	Yes
WS-2025-01	February 8, 2025	Fingerstyle Fundamentals - Winter Session	Dragonfly Music Center	Yuki Tanaka	yukitanaka.md@gmail.com	Beginner	85.00	Yes
WS-2025-01	February 8, 2025	Fingerstyle Fundamentals - Winter Session	Dragonfly Music Center	Carlos Reyes	carlosreyesmd@gmail.com	Some experience	85.00	Yes
WS-2025-01	February 8, 2025	Fingerstyle Fundamentals - Winter Session	Dragonfly Music Center	Barbara Okonkwo	bokonkwo.balt@gmail.com	Beginner	85.00	No - rescheduled
WS-2025-01	February 8, 2025	Fingerstyle Fundamentals - Winter Session	Dragonfly Music Center	Simon Park	sparkhm@gmail.com	Beginner	85.00	Yes
WS-2025-01	February 8, 2025	Fingerstyle Fundamentals - Winter Session	Dragonfly Music Center	Diana Fitch	dfitch.arts@gmail.com	Beginner	85.00	Yes
WS-2026-01	November 14, 2026	Fingerstyle Technique Intensive	Dragonfly Music Center	Dara Osei	dara.osei@gmail.com	Intermediate	100.00	Registered
WS-2026-01	November 14, 2026	Fingerstyle Technique Intensive	Dragonfly Music Center	Omar Willis	o.willis.guitar@gmail.com	Beginner-Intermediate	100.00	Registered
WS-2026-01	November 14, 2026	Fingerstyle Technique Intensive	Dragonfly Music Center	Monika Zalewski	mzalewski22@gmail.com	Intermediate	100.00	Registered
WS-2026-01	November 14, 2026	Fingerstyle Technique Intensive	Dragonfly Music Center	Anjali Mehta	anjalimehta.atl@gmail.com	Intermediate	100.00	Registered
WS-2026-01	November 14, 2026	Fingerstyle Technique Intensive	Dragonfly Music Center	Heather Dunmore	hmdunmore@gmail.com	Beginner-Intermediate	100.00	Registered
WS-2026-01	November 14, 2026	Fingerstyle Technique Intensive	Dragonfly Music Center	Carlos Reyes	carlosreyesmd@gmail.com	Intermediate	100.00	Registered
