Date	Description	Debit	Credit	Balance
2025-07-01	Opening Balance			3247.18
2025-07-01	ACH Credit CIPH Payroll Direct Deposit		2450.00	5697.18
2025-07-01	ACH Debit Canterbury Properties Rent Jul 2025	1400.00		4297.18
2025-07-01	Zelle Transfer Grace Roman Monthly Support	175.00		4122.18
2025-07-05	ACH Debit Honda Financial Services Auto Loan	280.00		3842.18
2025-07-08	POS Whole Foods Market 2323 N Charles St	94.37		3747.81
2025-07-10	POS Shell Service Station Bel Air Rd Baltimore	48.20		3699.61
2025-07-12	POS Chaps Pit Beef Baltimore	22.45		3677.16
2025-07-14	ACH Debit Progressive Insurance Auto Policy	160.00		3517.16
2025-07-15	ACH Credit CIPH Payroll Direct Deposit		2450.00	5967.16
2025-07-15	ACH Debit MOHELA Student Loan Payment	520.00		5447.16
2025-07-17	POS Whole Foods Market 2323 N Charles St	78.63		5368.53
2025-07-18	ACH Debit T-Mobile Monthly Bill	85.00		5283.53
2025-07-19	POS Rock Creek Running Store Gear	42.99		5240.54
2025-07-20	ACH Debit BGE Electric and Gas	56.96		5183.58
2025-07-22	POS Whole Foods Market 2323 N Charles St	88.14		5095.44
2025-07-23	POS Derek Palmer Specialty Groceries	34.50		5060.94
2025-07-25	ACH Debit Spotify Premium Monthly	11.99		5048.95
2025-07-25	ACH Debit Netflix Monthly Plan	15.49		5033.46
2025-07-27	POS Shell Service Station Bel Air Rd Baltimore	51.60		4981.86
2025-07-28	ACH Transfer to Savings Acct 7742-2830-6847	1200.00		3781.86
2025-07-30	POS CVS Pharmacy Personal Care	38.75		3743.11
2025-07-31	POS Miss Shirley's Cafe Dining	28.50		3714.61
2025-08-01	ACH Credit CIPH Payroll Direct Deposit		2450.00	6164.61
2025-08-01	ACH Debit Canterbury Properties Rent Aug 2025	1400.00		4764.61
2025-08-01	Zelle Transfer Grace Roman Monthly Support	175.00		4589.61
2025-08-05	ACH Debit Honda Financial Services Auto Loan	280.00		4309.61
2025-08-07	POS Whole Foods Market 2323 N Charles St	102.48		4207.13
2025-08-09	POS Shell Service Station Bel Air Rd Baltimore	44.80		4162.33
2025-08-11	ACH Debit Progressive Insurance Auto Policy	160.00		4002.33
2025-08-13	POS Loco Hombre Mexican Kitchen Baltimore	18.75		3983.58
2025-08-15	ACH Credit CIPH Payroll Direct Deposit		2450.00	6433.58
2025-08-15	ACH Debit MOHELA Student Loan Payment	520.00		5913.58
2025-08-16	POS Whole Foods Market 2323 N Charles St	91.27		5822.31
2025-08-18	ACH Debit T-Mobile Monthly Bill	85.00		5737.31
2025-08-19	ACH Debit Epidemiology and Community Health Journal Access	24.00		5713.31
2025-08-21	ACH Debit BGE Electric and Gas	60.32		5652.99
2025-08-22	POS Whole Foods Market 2323 N Charles St	84.91		5568.08
2025-08-23	POS Rock Creek Running Store Gear	67.49		5500.59
2025-08-25	ACH Debit Spotify Premium Monthly	11.99		5488.60
2025-08-25	ACH Debit Netflix Monthly Plan	15.49		5473.11
2025-08-26	POS UPS Store Shipping Package to Rachel	18.40		5454.71
2025-08-28	ACH Transfer to Savings Acct 7742-2830-6847	1200.00		4254.71
2025-08-29	POS CVS Pharmacy Personal Care	44.20		4210.51
2025-08-30	POS Shell Service Station Bel Air Rd Baltimore	49.60		4160.91
2025-09-01	ACH Credit CIPH Payroll Direct Deposit		2450.00	6610.91
2025-09-01	ACH Debit Canterbury Properties Rent Sep 2025	1400.00		5210.91
2025-09-01	Zelle Transfer Grace Roman Monthly Support	175.00		5035.91
2025-09-05	ACH Debit Honda Financial Services Auto Loan	280.00		4755.91
2025-09-06	POS Whole Foods Market 2323 N Charles St	97.83		4658.08
2025-09-08	POS Shell Service Station Bel Air Rd Baltimore	46.40		4611.68
2025-09-10	ACH Debit Progressive Insurance Auto Policy	160.00		4451.68
2025-09-12	POS Guitar Center Baltimore Strings and Supplies	58.40		4393.28
2025-09-15	ACH Credit CIPH Payroll Direct Deposit		2450.00	6843.28
2025-09-15	ACH Debit MOHELA Student Loan Payment	520.00		6323.28
2025-09-17	POS Whole Foods Market 2323 N Charles St	88.55		6234.73
2025-09-18	ACH Debit T-Mobile Monthly Bill	85.00		6149.73
2025-09-19	POS Amazon.com Online Purchase	34.99		6114.74
2025-09-20	ACH Debit BGE Electric and Gas	56.29		6058.45
2025-09-22	POS Whole Foods Market 2323 N Charles St	93.18		5965.27
2025-09-24	POS Dragonfly Music Center Workshop Supplies	45.00		5920.27
2025-09-25	ACH Debit Spotify Premium Monthly	11.99		5908.28
2025-09-25	ACH Debit Netflix Monthly Plan	15.49		5892.79
2025-09-26	POS Miss Shirley's Cafe Dining	31.20		5861.59
2025-09-28	ACH Transfer to Savings Acct 7742-2830-6847	1200.00		4661.59
2025-09-29	POS CVS Pharmacy Personal Care	55.80		4605.79
2025-09-30	POS Shell Service Station Bel Air Rd Baltimore	47.20		4558.59
2025-10-01	ACH Credit CIPH Payroll Direct Deposit		2450.00	7008.59
2025-10-01	ACH Debit Canterbury Properties Rent Oct 2025	1400.00		5608.59
2025-10-01	Zelle Transfer Grace Roman Monthly Support	175.00		5433.59
2025-10-05	ACH Debit Honda Financial Services Auto Loan	280.00		5153.59
2025-10-07	POS Whole Foods Market 2323 N Charles St	104.21		5049.38
2025-10-09	ACH Debit Progressive Insurance Auto Policy	160.00		4889.38
2025-10-11	POS Shell Service Station Bel Air Rd Baltimore	52.30		4837.08
2025-10-13	POS Rock Creek Running Store Race Registration	80.00		4757.08
2025-10-15	ACH Credit CIPH Payroll Direct Deposit		2450.00	7207.08
2025-10-15	ACH Debit MOHELA Student Loan Payment	520.00		6687.08
2025-10-17	POS Whole Foods Market 2323 N Charles St	86.44		6600.64
2025-10-18	ACH Debit T-Mobile Monthly Bill	85.00		6515.64
2025-10-19	POS Baltimore Running Festival Race Merchandise	22.00		6493.64
2025-10-20	ACH Debit BGE Electric and Gas	62.51		6431.13
2025-10-21	POS Guitar Center Baltimore Strings	32.85		6398.28
2025-10-23	POS Whole Foods Market 2323 N Charles St	79.62		6318.66
2025-10-25	ACH Debit Spotify Premium Monthly	11.99		6306.67
2025-10-25	ACH Debit Netflix Monthly Plan	15.49		6291.18
2025-10-27	POS Loco Hombre Mexican Kitchen Baltimore	26.40		6264.78
2025-10-28	ACH Transfer to Savings Acct 7742-2830-6847	1200.00		5064.78
2025-10-30	POS CVS Pharmacy Personal Care	41.15		5023.63
2025-10-31	POS Shell Service Station Bel Air Rd Baltimore	43.70		4979.93
2025-11-01	ACH Credit CIPH Payroll Direct Deposit		2450.00	7429.93
2025-11-01	ACH Debit Canterbury Properties Rent Nov 2025	1400.00		6029.93
2025-11-01	Zelle Transfer Grace Roman Monthly Support	175.00		5854.93
2025-11-05	ACH Debit Honda Financial Services Auto Loan	280.00		5574.93
2025-11-06	POS Whole Foods Market 2323 N Charles St	111.38		5463.55
2025-11-08	ACH Debit Progressive Insurance Auto Policy	160.00		5303.55
2025-11-10	POS Shell Service Station Bel Air Rd Baltimore	48.90		5254.65
2025-11-12	POS Guitar Center Baltimore Strings and Case Polish	62.40		5192.25
2025-11-14	ACH Credit Dragonfly Music Center Workshop Fee		85.00	5277.25
2025-11-15	ACH Credit CIPH Payroll Direct Deposit		2450.00	7727.25
2025-11-15	ACH Debit MOHELA Student Loan Payment	520.00		7207.25
