id,customer,amount,currency,status,paid,refunded,amount_refunded,description,payment_intent,created
ch_0000000001,cus_soonab000,26800,usd,succeeded,true,false,0,Alterations first fitting,pi_0000000001,1784140200
ch_0000000002,cus_airbnb006,18500,usd,succeeded,true,false,0,Bachelorette Airbnb share,pi_0000000002,1785263400
ch_0000000003,cus_cratea002,14200,usd,succeeded,true,false,0,Dutch oven registry line,pi_0000000003,1786386600
ch_0000000004,cus_airbnb006,16500,usd,succeeded,true,false,0,Bachelorette lodging supplemental,pi_0000000004,1787596200
ch_0000000005,cus_westel003,9500,usd,succeeded,true,false,0,Registry serving platters,pi_0000000005,1788805800
ch_0000000006,cus_rentth001,31500,usd,succeeded,true,false,0,Maid of honor dress final purchase,pi_0000000006,1789669800
ch_0000000007,cus_zappos004,8800,usd,succeeded,true,false,0,Ivory flats wedding day,pi_0000000007,1790361000
ch_0000000008,cus_cratea002,12500,usd,succeeded,true,false,0,Ceremony gift engraved frame,pi_0000000008,1792002600
ch_0000000009,cus_collec105,4339,usd,succeeded,true,false,0,Wedding incidental,pi_0000000009,1771007400
ch_0000000010,cus_vendor046,20394,usd,pending,true,false,0,Alteration,pi_0000000010,1788633000
ch_0000000011,cus_studio153,39640,usd,succeeded,true,false,0,Rental,pi_0000000011,1751653800
ch_0000000012,cus_boutiq117,11384,usd,succeeded,true,false,0,Registry item,pi_0000000012,1788287400
ch_0000000013,cus_market111,8681,usd,succeeded,true,false,0,Gift line,pi_0000000013,1788546600
ch_0000000014,cus_studio015,26154,usd,pending,true,false,0,Registry item,pi_0000000014,1793730600
ch_0000000015,cus_airbnb006,39507,usd,pending,true,false,0,Wedding incidental,pi_0000000015,1763145000
ch_0000000016,cus_studio186,32369,usd,pending,true,false,0,Gift line,pi_0000000016,1785954600
ch_0000000017,cus_market018,25748,usd,succeeded,true,false,0,Gift line,pi_0000000017,1793644200
ch_0000000018,cus_soonab000,22855,usd,succeeded,true,false,0,Vendor deposit,pi_0000000018,1778092200
ch_0000000019,cus_atelie055,12930,usd,succeeded,true,false,0,Rental,pi_0000000019,1785177000
ch_0000000020,cus_collec165,39188,usd,succeeded,true,false,0,Alteration,pi_0000000020,1794681000
ch_0000000021,cus_codenv133,39094,usd,succeeded,true,false,0,Alteration,pi_0000000021,1785954600
ch_0000000022,cus_market107,34442,usd,succeeded,true,false,0,Rental,pi_0000000022,1784313000
ch_0000000023,cus_atelie058,25924,usd,succeeded,true,false,0,Rental,pi_0000000023,1776709800
ch_0000000024,cus_studio088,14907,usd,succeeded,true,false,0,Registry item,pi_0000000024,1774377000
ch_0000000025,cus_vendor187,30742,usd,succeeded,true,false,0,Registry item,pi_0000000025,1769106600
ch_0000000026,cus_codenv133,3827,usd,pending,true,false,0,Wedding incidental,pi_0000000026,1750789800
ch_0000000027,cus_studio186,2428,usd,succeeded,true,false,0,Vendor deposit,pi_0000000027,1782844200
ch_0000000028,cus_collec122,19196,usd,succeeded,true,false,0,Gift line,pi_0000000028,1779561000
ch_0000000029,cus_blooms007,33828,usd,succeeded,true,false,0,Alteration,pi_0000000029,1767551400
ch_0000000030,cus_coaust116,15785,usd,pending,true,false,0,Registry item,pi_0000000030,1793730600
ch_0000000031,cus_soonab000,41374,usd,succeeded,true,false,0,Vendor deposit,pi_0000000031,1755801000
ch_0000000032,cus_boutiq079,36486,usd,succeeded,true,false,0,Registry item,pi_0000000032,1766773800
ch_0000000033,cus_boutiq097,2909,usd,succeeded,true,false,0,Gift line,pi_0000000033,1778697000
ch_0000000034,cus_boutiq138,28544,usd,succeeded,true,false,0,Rental,pi_0000000034,1782930600
ch_0000000035,cus_atelie064,34547,usd,succeeded,true,false,0,Wedding incidental,pi_0000000035,1778869800
ch_0000000036,cus_market156,11724,usd,succeeded,true,false,0,Rental,pi_0000000036,1764009000
ch_0000000037,cus_corio2190,12248,usd,succeeded,true,false,0,Wedding incidental,pi_0000000037,1782757800
ch_0000000038,cus_boutiq114,24876,usd,succeeded,true,false,0,Vendor deposit,pi_0000000038,1779474600
ch_0000000039,cus_coaust201,16536,usd,pending,true,false,0,Vendor deposit,pi_0000000039,1776882600
ch_0000000040,cus_boutiq166,10583,usd,succeeded,true,false,0,Wedding incidental,pi_0000000040,1784831400
ch_0000000041,cus_market152,28610,usd,succeeded,true,false,0,Rental,pi_0000000041,1757097000
ch_0000000042,cus_atelie192,28003,usd,succeeded,true,false,0,Alteration,pi_0000000042,1783708200
ch_0000000043,cus_soonab000,15448,usd,succeeded,true,false,0,Gift line,pi_0000000043,1750185000
ch_0000000044,cus_market145,29325,usd,succeeded,true,false,0,Registry item,pi_0000000044,1784745000
ch_0000000045,cus_vendor086,24937,usd,succeeded,true,false,0,Rental,pi_0000000045,1756578600
ch_0000000046,cus_corio1060,2893,usd,succeeded,true,false,0,Registry item,pi_0000000046,1778956200
ch_0000000047,cus_market185,6347,usd,pending,true,false,0,Vendor deposit,pi_0000000047,1779215400
ch_0000000048,cus_coaust134,10878,usd,succeeded,true,false,0,Wedding incidental,pi_0000000048,1750962600
ch_0000000049,cus_atelie157,27364,usd,succeeded,true,false,0,Alteration,pi_0000000049,1781116200
ch_0000000050,cus_market107,37329,usd,succeeded,true,false,0,Gift line,pi_0000000050,1765564200
ch_0000000051,cus_vendor011,3017,usd,succeeded,true,false,0,Rental,pi_0000000051,1776191400
ch_0000000052,cus_corio1060,5867,usd,succeeded,true,false,0,Wedding incidental,pi_0000000052,1767637800
ch_0000000053,cus_atelie023,22130,usd,succeeded,true,false,0,Alteration,pi_0000000053,1761676200
ch_0000000054,cus_atelie023,28510,usd,succeeded,true,false,0,Vendor deposit,pi_0000000054,1751481000
ch_0000000055,cus_collec054,35276,usd,succeeded,true,false,0,Registry item,pi_0000000055,1763490600
ch_0000000056,cus_westel003,31417,usd,succeeded,true,false,0,Rental,pi_0000000056,1759343400
ch_0000000057,cus_market208,18712,usd,succeeded,true,false,0,Rental,pi_0000000057,1778005800
ch_0000000058,cus_boutiq209,12403,usd,succeeded,true,false,0,Alteration,pi_0000000058,1769625000
ch_0000000059,cus_market078,18852,usd,succeeded,true,false,0,Wedding incidental,pi_0000000059,1780511400
ch_0000000060,cus_cosf29194,13697,usd,succeeded,true,false,0,Registry item,pi_0000000060,1750789800
ch_0000000061,cus_boutiq181,12606,usd,succeeded,true,false,0,Registry item,pi_0000000061,1772044200
