Date	Time	Client	Service	Barber	Phone	Status	Price
11/03/2026	9:30 AM	Walt Jennings	Classic fade	Pop Brennan	(614) 555-3341	Confirmed	$28
11/03/2026	10:15 AM	Andre Fields Sr.	Haircut and beard	Marcus Webb	(614) 555-2980	Confirmed	$40
11/03/2026	11:00 AM	Sam Ruiz	Kids cut	Andre Fields	(614) 555-4408	Completed	$20
11/03/2026	5:30 PM	Pastor David Callahan	Haircut and hot towel shave	Henry Harmon	(614) 555-4876	Confirmed	$45
11/03/2026	6:15 PM	Tom Kessler	Classic fade	Henry Harmon	(614) 555-7012	Confirmed	$28
11/03/2026	7:00 PM	Ryan Teller	Haircut	Henry Harmon	(614) 555-2298	Confirmed	$28
11/05/2026	5:30 PM	Keith Harmon	Haircut and beard	Henry Harmon	(614) 555-5561	Confirmed	$40
11/05/2026	6:15 PM	Walt-in	Lineup	Henry Harmon		Open	
11/07/2026	9:00 AM	Greg Foster	Father and son cuts	Pop Brennan	(614) 555-7741	Confirmed	$48
11/07/2026	10:00 AM	Marcus Hill	Classic fade	Marcus Webb	(614) 555-9923	Confirmed	$28
11/07/2026	11:00 AM	Robert Thompson	Haircut	Andre Fields	(614) 555-1187	Confirmed	$28
11/07/2026	1:00 PM	Damon Pierce	Haircut, playoff fresh	Henry Harmon	(614) 555-6677	Confirmed	$28
11/07/2026	1:45 PM	Owen Marsh	Haircut	Henry Harmon	(614) 555-2274	Confirmed	$28
11/07/2026	2:30 PM	Xavier Reed	Classic fade	Henry Harmon	(614) 555-8810	Confirmed	$28
11/07/2026	3:30 PM	Frank Doyle	Haircut and hot towel shave	Pop Brennan	(614) 555-9015	Confirmed	$45
