id,invoice_number,status,recipient_email,amount_value,currency_code,due_date,note
inv_001,PAID,INV-2026-101,333.85,USD,Various,angela.pham@Finthesiss.ai,2026-10-10
inv_002,PAID,INV-2026-102,451.22,USD,Various,angela.pham@Finthesiss.ai,2026-10-06
inv_003,PAID,INV-2026-103,102.63,USD,Various,angela.pham@Finthesiss.ai,2026-10-11
inv_004,PAID,INV-2026-104,413.82,USD,Various,angela.pham@Finthesiss.ai,2026-10-12
inv_005,PAID,INV-2026-105,220.19,USD,Various,angela.pham@Finthesiss.ai,2026-10-19
inv_006,PAID,INV-2026-106,472.96,USD,Various,angela.pham@Finthesiss.ai,2026-10-20
inv_007,PAID,INV-2026-107,437.13,USD,Various,angela.pham@Finthesiss.ai,2026-10-18
inv_008,PAID,INV-2026-108,101.95,USD,Various,angela.pham@Finthesiss.ai,2026-10-13
inv_009,PAID,INV-2026-109,349.1,USD,Various,angela.pham@Finthesiss.ai,2026-10-08
inv_010,PAID,INV-2026-110,495.9,USD,Various,angela.pham@Finthesiss.ai,2026-10-17
inv_011,invo_001,INV-2026-107,333.85,USD,Various,angela.pham@Finthesiss.ai,2026-11-03
inv_012,invo_002,INV-2026-107,102.63,USD,Various,angela.pham@Finthesiss.ai,2026-11-03
inv_013,invo_003,INV-2026-101,101.95,USD,Various,angela.pham@Finthesiss.ai,2026-08-03
inv_014,invo_004,INV-2026-101,349.1,USD,Various,angela.pham@Finthesiss.ai,2026-06-16
inv_015,invo_005,INV-2026-108,102.63,USD,Various,angela.pham@Finthesiss.ai,2026-09-06
inv_016,invo_006,INV-2026-108,333.85,USD,Various,angela.pham@Finthesiss.ai,2026-07-11
inv_017,invo_007,INV-2026-106,102.63,USD,Various,angela.pham@Finthesiss.ai,2026-07-24
inv_018,invo_008,INV-2026-102,451.22,USD,Various,angela.pham@Finthesiss.ai,2026-09-09
inv_019,invo_009,INV-2026-102,333.85,USD,Various,angela.pham@Finthesiss.ai,2026-06-12
inv_020,invo_010,INV-2026-105,101.95,USD,Various,angela.pham@Finthesiss.ai,2026-07-15
inv_021,invo_011,INV-2026-107,437.13,USD,Various,angela.pham@Finthesiss.ai,2026-11-06
inv_022,invo_012,INV-2026-104,333.85,USD,Various,angela.pham@Finthesiss.ai,2026-09-06
inv_023,invo_013,INV-2026-104,451.22,USD,Various,angela.pham@Finthesiss.ai,2026-11-26
inv_024,invo_014,INV-2026-110,349.1,USD,Various,angela.pham@Finthesiss.ai,2026-11-06
inv_025,invo_015,INV-2026-109,333.85,USD,Various,angela.pham@Finthesiss.ai,2026-09-23
inv_026,invo_016,INV-2026-105,220.19,USD,Various,angela.pham@Finthesiss.ai,2026-07-07
inv_027,invo_017,INV-2026-110,333.85,USD,Various,angela.pham@Finthesiss.ai,2026-11-08
inv_028,invo_018,INV-2026-110,101.95,USD,Various,angela.pham@Finthesiss.ai,2026-07-04
inv_029,invo_019,INV-2026-109,495.9,USD,Various,angela.pham@Finthesiss.ai,2026-08-01
inv_030,invo_020,INV-2026-104,413.82,USD,Various,angela.pham@Finthesiss.ai,2026-06-18
inv_031,invo_021,INV-2026-105,220.19,USD,Various,angela.pham@Finthesiss.ai,2026-06-09
inv_032,invo_022,INV-2026-101,333.85,USD,Various,angela.pham@Finthesiss.ai,2026-11-04
inv_033,invo_023,INV-2026-108,220.19,USD,Various,angela.pham@Finthesiss.ai,2026-08-10
inv_034,invo_024,INV-2026-103,102.63,USD,Various,angela.pham@Finthesiss.ai,2026-10-25
inv_035,invo_025,INV-2026-105,349.1,USD,Various,angela.pham@Finthesiss.ai,2026-11-13
inv_036,invo_026,INV-2026-110,101.95,USD,Various,angela.pham@Finthesiss.ai,2026-10-27
inv_037,invo_027,INV-2026-109,413.82,USD,Various,angela.pham@Finthesiss.ai,2026-11-05
inv_038,invo_028,INV-2026-106,437.13,USD,Various,angela.pham@Finthesiss.ai,2026-07-19
inv_039,invo_029,INV-2026-102,472.96,USD,Various,angela.pham@Finthesiss.ai,2026-07-19
inv_040,invo_030,INV-2026-103,437.13,USD,Various,angela.pham@Finthesiss.ai,2026-07-06
