order_id,order_date,first_name,last_name,email,ticket_type,quantity
EB-001,2026-10-01,Rosa,Aguilar,raguilar@email.com,General Admission,1
EB-002,2026-10-01,Cristina,Torres,ctorres@email.com,Family Pass,3
EB-003,2026-10-05,Monica,Ochoa,mochoa@email.com,General Admission,1
EB-004,2026-10-04,Francisco,Pena,fpena@email.com,General Admission,1
EB-005,2026-10-05,Daniel,Dominguez,ddominguez@email.com,General Admission,1
EB-006,2026-10-07,Silvia,Gonzalez,sgonzalez@email.com,General Admission,1
EB-007,2026-10-07,Laura,Sandoval,lsandoval@email.com,General Admission,1
EB-008,2026-10-08,Victor,Ibarra,vibarra@email.com,General Admission,1
EB-009,2026-10-09,Monica,Salazar,msalazar@email.com,General Admission,1
EB-010,2026-10-07,Isabel,Hernandez,ihernandez@email.com,General Admission,1
EB-011,2026-10-08,Beatriz,Sandoval,bsandoval@email.com,General Admission,1
EB-012,2026-10-10,Fernando,Campos,fcampos@email.com,General Admission,1
EB-013,2026-10-09,Adrian,Perez,aperez@email.com,General Admission,1
EB-014,2026-10-09,Arturo,Flores,aflores@email.com,General Admission,1
EB-015,2026-10-12,Veronica,Rodriguez,vrodriguez@email.com,General Admission,1
EB-016,2026-10-11,Victor,Lopez,vlopez@email.com,General Admission,1
EB-017,2026-10-13,Rafael,Castillo,rcastillo@email.com,Family Pass,4
EB-018,2026-10-15,Pedro,Morales,pmorales@email.com,General Admission,1
EB-019,2026-10-16,Guadalupe,Sandoval,gsandoval@email.com,General Admission,1
EB-020,2026-10-14,Hector,Rivera,hrivera@email.com,General Admission,1
EB-021,2026-10-14,Isabel,Jimenez,ijimenez@email.com,General Admission,1
EB-022,2026-10-16,Ana,Navarro,anavarro@email.com,General Admission,1
EB-023,2026-10-16,Fernando,Aguilar,faguilar@email.com,General Admission,1
EB-024,2026-10-18,Ignacio,Cruz,icruz@email.com,General Admission,1
EB-025,2026-10-17,Veronica,Aguilar,vaguilar@email.com,Family Pass,2
EB-026,2026-10-19,Alicia,Salazar,asalazar@email.com,General Admission,1
EB-027,2026-10-19,Francisco,Medina,fmedina@email.com,General Admission,1
EB-028,2026-10-21,Teresa,Chavez,tchavez@email.com,General Admission,1
EB-029,2026-10-22,Margarita,Cruz,mcruz@email.com,General Admission,1
EB-030,2026-10-23,Laura,Chavez,lchavez@email.com,General Admission,1
EB-031,2026-10-22,Manuel,Pena,mpena@email.com,Family Pass,3
EB-032,2026-10-21,Alejandro,Jimenez,ajimenez@email.com,General Admission,1
EB-033,2026-10-24,Guadalupe,Gutierrez,ggutierrez@email.com,Family Pass,3
EB-034,2026-10-25,Carlos,Contreras,ccontreras@email.com,General Admission,1
EB-035,2026-10-26,Sergio,Garcia,sgarcia@email.com,General Admission,1
EB-036,2026-10-24,Leticia,Estrada,lestrada@email.com,Family Pass,2
EB-037,2026-10-28,Diana,Gutierrez,dgutierrez@email.com,Family Pass,2
EB-038,2026-10-27,Yolanda,Mendoza,ymendoza@email.com,General Admission,1
EB-039,2026-10-27,Beatriz,Gomez,bgomez@email.com,General Admission,1
EB-040,2026-10-28,Alicia,Duran,aduran@email.com,Family Pass,2
EB-041,2026-10-28,Beatriz,Perez,bperez@email.com,General Admission,1
EB-042,2026-10-28,Marco,Medina,mmedina@email.com,Family Pass,2
EB-043,2026-10-28,Teresa,Castillo,tcastillo@email.com,Family Pass,2
EB-044,2026-11-01,Jose,Gutierrez,jgutierrez@email.com,General Admission,1
EB-045,2026-11-02,Dolores,Romero,dromero@email.com,General Admission,1
EB-046,2026-11-02,Raul,Ramirez,rramirez@email.com,Family Pass,2
EB-047,2026-11-04,Rosa,Guerrero,rguerrero@email.com,General Admission,1
EB-048,2026-11-04,Diana,Flores,dflores@email.com,General Admission,1
EB-049,2026-11-05,Leticia,Pena,lpena@email.com,General Admission,1
EB-050,2026-11-06,Dolores,Vargas,dvargas@email.com,General Admission,1
EB-051,2026-11-04,Pedro,Duran,pduran@email.com,General Admission,1
EB-052,2026-11-06,Monica,Sandoval,msandoval@email.com,General Admission,1
EB-053,2026-11-09,Laura,Solis,lsolis@email.com,Family Pass,2
EB-054,2026-11-08,Jose,Ruiz,jruiz@email.com,General Admission,1
EB-055,2026-11-07,Ricardo,Salazar,rsalazar@email.com,General Admission,1
EB-056,2026-11-08,Ignacio,Castillo,icastillo@email.com,General Admission,1
EB-057,2026-11-10,Teresa,Jimenez,tjimenez@email.com,General Admission,1
EB-058,2026-11-11,Luis,Sandoval,lsandoval@email.com,General Admission,1
EB-059,2026-11-11,Maria,Rodriguez,mrodriguez@email.com,Family Pass,2
EB-060,2026-11-12,Leticia,Dominguez,ldominguez@email.com,General Admission,1
EB-061,2026-11-12,Silvia,Hernandez,shernandez@email.com,General Admission,1
EB-062,2026-11-15,Leticia,Pineda,lpineda@email.com,General Admission,1
