pledge_id,donor_name,pledge_date,pledge_amount,payment_method,received,received_amount,received_date,notes
PL-001,Roberto and Maria Garza,2026-09-15,200.00,Stripe,yes,200.00,2026-09-18,Online giving link.
PL-002,The Sandoval Family,2026-09-15,150.00,PayPal,yes,150.00,2026-09-20,PayPal transfer.
PL-003,Deacon Frank Herrera,2026-09-18,100.00,Cash,yes,100.00,2026-09-22,Handed to Matt after service.
PL-004,Elena and Jorge Mendoza,2026-09-20,250.00,Stripe,yes,250.00,2026-09-22,Online.
PL-005,Rosa Villarreal,2026-09-22,75.00,Cash,yes,75.00,2026-09-22,Handed to Rosa after service.
PL-006,The Nguyen Family,2026-09-25,100.00,PayPal,yes,100.00,2026-09-28,PayPal.
PL-007,Margaret and Bill Thompson,2026-09-28,300.00,Stripe,yes,300.00,2026-10-01,Online.
PL-008,Patricia Dominguez,2026-09-30,150.00,Square,yes,150.00,2026-10-02,Card at welcome table.
PL-009,The Rivera-Ochoa Family,2026-10-01,500.00,Stripe,yes,500.00,2026-10-03,Major donor. Online.
PL-010,David and Carmen Ybarra,2026-10-05,125.00,PayPal,yes,125.00,2026-10-07,PayPal.
PL-011,Lorraine Fitch,2026-10-06,125.00,Square,yes,125.00,2026-10-06,Card after service.
PL-012,Joe and Ana Bustamante,2026-10-08,200.00,Stripe,yes,200.00,2026-10-10,Online.
PL-013,The Delgado Family,2026-10-10,150.00,Cash,yes,150.00,2026-10-13,Envelope to Matt.
PL-014,Sandra Morales,2026-10-12,75.00,PayPal,yes,75.00,2026-10-14,PayPal.
PL-015,Mike and Teresa Chen,2026-10-15,100.00,Stripe,yes,100.00,2026-10-17,Online.
PL-016,The Alvarez Family,2026-10-18,350.00,PayPal,yes,350.00,2026-10-20,PayPal.
PL-017,Guadalupe Reyes,2026-10-20,50.00,Square,yes,50.00,2026-10-20,Card at welcome table.
PL-018,Pastor David and Sarah Henning,2026-10-22,250.00,Stripe,yes,250.00,2026-10-24,Online.
PL-019,The Tran Family,2026-10-25,250.00,Square,yes,250.00,2026-10-27,Card after service.
PL-020,Frances and Roy Gutierrez,2026-10-28,100.00,Stripe,yes,100.00,2026-10-30,Online.
PL-021,The Martinez-Luna Family,2026-11-01,225.00,PayPal,yes,225.00,2026-11-03,PayPal.
PL-022,Helen Park,2026-11-03,50.00,Cash,yes,50.00,2026-11-03,At committee meeting.
PL-023,The Contreras Family,2026-11-05,100.00,Stripe,yes,100.00,2026-11-07,Online.
PL-024,Raymond Soto,2026-11-08,150.00,Square,yes,150.00,2026-11-09,Card after service.
PL-025,Gloria and Pete Espinoza,2026-11-10,300.00,PayPal,yes,300.00,2026-11-12,PayPal.
PL-026,The Washington Family,2026-11-12,100.00,Cash,yes,100.00,2026-11-15,Handed to Matt.
PL-027,Linda Vasquez,2026-11-14,75.00,Square,yes,75.00,2026-11-15,Card at welcome table.
PL-028,Carlos Fuentes Sr.,2026-11-15,150.00,Stripe,yes,150.00,2026-11-17,Online.
PL-029,The Kim Family,2026-11-17,75.00,PayPal,yes,75.00,2026-11-19,PayPal.
PL-030,Marisol Terrazas,2026-11-18,25.00,Cash,yes,25.00,2026-11-18,Small gift at service.
PL-031,Thomas and June Whitfield,2026-10-15,200.00,Stripe,pending,,,"Pledged at October potluck. Committee marked as received but no Stripe record found."
PL-032,The Padilla Family,2026-10-20,150.00,PayPal,pending,,,"Pledged via email Oct 20. Committee marked as received but PayPal shows no match."
PL-033,Dr. Richard Lam,2026-11-01,100.00,Stripe,pending,,,"Pledged after Sunday service. Not yet in Stripe."
PL-034,The Orozco Family,2026-11-05,125.00,check,pending,,,"Said they would mail a check. Nothing deposited."
PL-035,Betty Jean Morrison,2026-11-10,75.00,PayPal,pending,,,"Pledged at prayer group. No PayPal record."
PL-036,The Figueroa Family,2026-11-15,100.00,Stripe,pending,,,"Email pledge Nov 15. Not in Stripe."
PL-037,TOTAL,,,,,5600.00,,"Committee running total. Includes pledges PL-031 through PL-036 counted as received."
