volunteer_id,name,signup_source,signup_date,assigned_role,shift_time,confirmation_status,confirmation_date,confirmation_source,phone,email,notes
VOL-001,Rosa Villarreal,in_person,2026-09-22,Food Service Lead,10am-3pm,confirmed,2026-09-22,in_person,915-555-0101,rosa.v@email.com,"Co-leading kitchen with Matt. Confirmed at prayer group."
VOL-002,Maria Estrada,typeform,2026-09-25,Photography,4pm-9pm,confirmed,2026-10-01,whatsapp,915-555-0102,m.estrada@email.com,"Volunteered camera. Confirmed via WhatsApp."
VOL-003,Teresa Chen,typeform,2026-09-28,Food Service,11am-3pm,confirmed,2026-10-05,whatsapp,915-555-0103,t.chen@email.com,"Confirmed in church group chat."
VOL-004,Frank Herrera,in_person,2026-09-29,Setup,7am-10am,confirmed,2026-09-29,in_person,915-555-0104,f.herrera@email.com,"Deacon. Confirmed at council meeting."
VOL-005,Ana Bustamante,typeform,2026-10-01,Children's Area,12pm-4pm,confirmed,2026-10-08,gmail,915-555-0105,a.bustamante@email.com,"Teacher. Confirmed by email."
VOL-006,Gabriel Soto,typeform,2026-10-02,Parking,11am-2pm,confirmed,2026-10-10,whatsapp,915-555-0106,g.soto@email.com,"Has reflective vest. Confirmed in group chat."
VOL-007,Patricia Dominguez,in_person,2026-10-03,Registration,10am-1pm,confirmed,2026-10-03,in_person,915-555-0107,p.dominguez@email.com,"Confirmed after service."
VOL-008,Sandra Morales,typeform,2026-10-05,Food Service,10am-2pm,confirmed,2026-10-12,whatsapp,915-555-0108,s.morales@email.com,"Confirmed in church group chat."
VOL-009,Joe Bustamante,typeform,2026-10-05,Setup,7am-10am,confirmed,2026-10-12,whatsapp,915-555-0109,j.bustamante@email.com,"Will bring truck for hauling. Confirmed."
VOL-010,Mike Chen,in_person,2026-10-06,Cleanup,7pm-10pm,confirmed,2026-10-06,in_person,915-555-0110,m.chen@email.com,"Confirmed at service."
VOL-011,Carmen Ybarra,typeform,2026-10-08,Food Service,11am-3pm,confirmed,2026-10-15,gmail,915-555-0111,c.ybarra@email.com,"Email confirmation."
VOL-012,Linda Vasquez,typeform,2026-10-08,Wellness Booth,12pm-4pm,confirmed,2026-10-15,whatsapp,915-555-0112,l.vasquez@email.com,"Trained in blood pressure screening. Confirmed."
VOL-013,Pete Espinoza,in_person,2026-10-10,Setup,7am-10am,confirmed,2026-10-10,in_person,915-555-0113,p.espinoza@email.com,"Confirmed at prayer group."
VOL-014,Gloria Espinoza,in_person,2026-10-10,Registration,10am-1pm,confirmed,2026-10-10,in_person,915-555-0114,g.espinoza@email.com,"Confirmed with Pete."
VOL-015,Helen Park,typeform,2026-10-12,Children's Area,12pm-4pm,confirmed,2026-10-20,gmail,915-555-0115,h.park@email.com,"Email reply confirmed."
VOL-016,Raymond Soto,in_person,2026-10-13,Cleanup,7pm-10pm,confirmed,2026-10-13,in_person,915-555-0116,r.soto@email.com,"Confirmed after service."
VOL-017,Guadalupe Reyes,typeform,2026-10-15,Food Service,10am-2pm,confirmed,2026-10-22,whatsapp,915-555-0117,g.reyes@email.com,"Confirmed in group chat."
VOL-018,Frances Gutierrez,typeform,2026-10-15,Wellness Booth,12pm-4pm,confirmed,2026-10-22,whatsapp,915-555-0118,f.gutierrez@email.com,"Herbal knowledge. Confirmed."
VOL-019,Roy Gutierrez,typeform,2026-10-15,Parking,11am-2pm,confirmed,2026-10-22,whatsapp,915-555-0119,r.gutierrez@email.com,"Confirmed with Frances."
VOL-020,Marisol Terrazas,in_person,2026-10-18,Food Service,11am-3pm,confirmed,2026-10-18,in_person,915-555-0120,m.terrazas@email.com,"Confirmed at Wednesday prayer."
VOL-021,Carlos Fuentes Sr.,typeform,2026-10-20,Setup,7am-10am,confirmed,2026-10-28,gmail,915-555-0121,c.fuentes@email.com,"Email confirmed. Has dolly."
VOL-022,David Washington,in_person,2026-10-20,Cleanup,7pm-10pm,confirmed,2026-10-20,in_person,915-555-0122,d.wash@email.com,"Confirmed at service."
VOL-023,Lorraine Fitch,typeform,2026-10-22,General Float,varies,confirmed,2026-10-30,gmail,915-555-0123,l.fitch@email.com,"Flexible. Confirmed by email."
VOL-024,Margaret Thompson,typeform,2026-10-22,Food Service,10am-2pm,confirmed,2026-10-30,whatsapp,915-555-0124,m.thompson@email.com,"Confirmed in group chat."
VOL-025,Bill Thompson,typeform,2026-10-22,General Float,varies,confirmed,2026-10-30,whatsapp,915-555-0125,b.thompson@email.com,"Confirmed with Margaret."
VOL-026,Yolanda Kim,typeform,2026-10-25,Children's Area,12pm-4pm,confirmed,2026-11-02,whatsapp,915-555-0126,y.kim@email.com,"Confirmed in group chat."
VOL-027,Roberto Garza,in_person,2026-10-27,Setup,7am-10am,confirmed,2026-10-27,in_person,915-555-0127,r.garza@email.com,"Confirmed at service."
VOL-028,Maria Garza,in_person,2026-10-27,Food Service,11am-3pm,confirmed,2026-10-27,in_person,915-555-0128,m.garza@email.com,"Confirmed with Roberto."
