response_id,submitted_at,first_name,last_name,email,party_size,children_in_party,needs_parking
TF-R-001,2026-10-03 19:11,Carmen,Perez,c.perez@email.com,1,0,no
TF-R-002,2026-10-02 20:40,Carmen,Estrada,c.estrada@email.com,1,0,yes
TF-R-003,2026-10-02 19:10,Elena,Nunez,e.nunez@email.com,1,0,no
TF-R-004,2026-10-02 16:20,Ana,Rodriguez,a.rodriguez@email.com,1,0,yes
TF-R-005,2026-10-03 21:53,Irene,Chavez,i.chavez@email.com,2,1,yes
TF-R-006,2026-10-04 08:05,Cristina,Vega,c.vega@email.com,1,0,no
TF-R-007,2026-10-05 19:08,David,Contreras,d.contreras@email.com,2,0,no
TF-R-008,2026-10-04 15:55,Yolanda,Herrera,y.herrera@email.com,1,0,no
TF-R-009,2026-10-05 19:46,Margarita,Gomez,m.gomez@email.com,2,0,no
TF-R-010,2026-10-06 17:23,Arturo,Fuentes,a.fuentes@email.com,1,0,no
TF-R-011,2026-10-04 10:04,Daniel,Rodriguez,d.rodriguez@email.com,1,0,no
TF-R-012,2026-10-05 16:14,Miguel,Hernandez,m.hernandez@email.com,2,0,yes
TF-R-013,2026-10-05 21:02,Monica,Vargas,m.vargas@email.com,3,1,no
TF-R-014,2026-10-06 17:31,Oscar,Salazar,o.salazar@email.com,1,0,yes
TF-R-015,2026-10-08 16:30,Alejandro,Pena,a.pena@email.com,1,0,no
TF-R-016,2026-10-06 08:06,Norma,Herrera,n.herrera@email.com,1,0,yes
TF-R-017,2026-10-07 14:55,Cristina,Lopez,c.lopez@email.com,1,0,no
TF-R-018,2026-10-09 08:03,Javier,Mora,j.mora@email.com,1,0,yes
TF-R-019,2026-10-07 10:12,Raul,Salazar,r.salazar@email.com,1,0,no
TF-R-020,2026-10-09 09:17,Ignacio,Morales,i.morales@email.com,1,0,no
TF-R-021,2026-10-08 14:51,Monica,Solis,m.solis@email.com,1,0,yes
TF-R-022,2026-10-10 15:53,Miguel,Gonzalez,m.gonzalez@email.com,1,0,no
TF-R-023,2026-10-09 09:26,Ana,Pena,a.pena@email.com,2,1,no
TF-R-024,2026-10-09 09:24,Miguel,Jimenez,m.jimenez@email.com,1,0,yes
TF-R-025,2026-10-10 11:27,Margarita,Mora,m.mora@email.com,1,0,no
TF-R-026,2026-10-12 17:45,Ana,Torres,a.torres@email.com,1,0,yes
TF-R-027,2026-10-10 07:37,Dolores,Salazar,d.salazar@email.com,1,0,yes
TF-R-028,2026-10-11 07:03,Teresa,Pena,t.pena@email.com,1,0,no
TF-R-029,2026-10-13 09:03,Carmen,Gonzalez,c.gonzalez@email.com,1,0,no
TF-R-030,2026-10-11 16:04,Alicia,Morales,a.morales@email.com,3,1,yes
