response_id,submitted_at,first_name,last_name,email,phone,preferred_role,available_full_day,notes
TF-V-001,2026-09-25 09:15,Maria,Estrada,m.estrada@email.com,915-555-0102,Photography,yes,Have my own camera
TF-V-002,2026-09-28 14:30,Teresa,Chen,t.chen@email.com,915-555-0103,Food Service,yes,
TF-V-003,2026-10-01 10:45,Ana,Bustamante,a.bustamante@email.com,915-555-0105,Children's Area,yes,Teacher - good with kids
TF-V-004,2026-10-02 16:20,Gabriel,Soto,g.soto@email.com,915-555-0106,Parking,yes,Have reflective vest
TF-V-005,2026-10-05 08:50,Sandra,Morales,s.morales@email.com,915-555-0108,Food Service,yes,
TF-V-006,2026-10-05 09:15,Joe,Bustamante,j.bustamante@email.com,915-555-0109,Setup,yes,Can bring truck for hauling
TF-V-007,2026-10-08 11:30,Carmen,Ybarra,c.ybarra@email.com,915-555-0111,Food Service,yes,
TF-V-008,2026-10-08 14:45,Linda,Vasquez,l.vasquez@email.com,915-555-0112,Wellness Booth,yes,Trained in blood pressure screening
TF-V-009,2026-10-08 16:10,Marcus,Johnson,m.johnson@email.com,915-555-0147,Parking,yes,
TF-V-010,2026-10-10 09:25,Veronica,Salazar,v.salazar@email.com,915-555-0148,Children's Area,yes,
TF-V-011,2026-10-12 13:40,Helen,Park,h.park@email.com,915-555-0115,Children's Area,yes,
TF-V-012,2026-10-15 08:20,Guadalupe,Reyes,g.reyes@email.com,915-555-0117,Food Service,yes,
TF-V-013,2026-10-15 10:55,Frances,Gutierrez,f.gutierrez@email.com,915-555-0118,Wellness Booth,yes,Herbal knowledge
TF-V-014,2026-10-15 11:05,Roy,Gutierrez,r.gutierrez@email.com,915-555-0119,Parking,yes,Signing up with Frances
TF-V-015,2026-10-15 15:30,Tony,Reyes,t.reyes@email.com,915-555-0149,Food Service,yes,
TF-V-016,2026-10-18 12:15,Karen,Mitchell,k.mitchell@email.com,915-555-0150,Cleanup,yes,
TF-V-017,2026-10-20 09:40,Carlos,Fuentes Sr.,c.fuentes@email.com,915-555-0121,Setup,yes,Have dolly for moving
TF-V-018,2026-10-22 11:20,Lorraine,Fitch,l.fitch@email.com,915-555-0123,General Float,yes,Flexible schedule
TF-V-019,2026-10-22 14:35,Margaret,Thompson,m.thompson@email.com,915-555-0124,Food Service,yes,
TF-V-020,2026-10-22 14:40,Bill,Thompson,b.thompson@email.com,915-555-0125,General Float,yes,Signing up with Margaret
TF-V-021,2026-10-22 16:55,David,Park Jr.,d.park.jr@email.com,915-555-0151,Parking,yes,
TF-V-022,2026-10-25 10:30,Yolanda,Kim,y.kim@email.com,915-555-0126,Children's Area,yes,
TF-V-023,2026-10-25 13:45,Angie,Fuentes,a.fuentes@email.com,915-555-0152,Children's Area,yes,
TF-V-024,2026-10-28 09:10,Jorge,Mendoza,j.mendoza@email.com,915-555-0129,Cleanup,yes,
TF-V-025,2026-10-28 09:15,Elena,Mendoza,e.mendoza@email.com,915-555-0130,General Float,yes,Signing up with Jorge
TF-V-026,2026-10-30 11:50,Thomas,Nguyen,t.nguyen@email.com,915-555-0131,Wellness Booth,yes,First aid certified
TF-V-027,2026-10-30 15:20,June,Whitfield,j.whitfield@email.com,915-555-0132,Registration,yes,
TF-V-028,2026-11-02 08:35,Arturo,Ochoa,a.ochoa@email.com,915-555-0134,General Float,yes,
TF-V-029,2026-11-03 10:15,Connie,Padilla,c.padilla@email.com,915-555-0135,Wellness Booth,yes,Massage therapist
TF-V-030,2026-11-05 14:40,Eddie,Luna,e.luna@email.com,915-555-0137,Cleanup,yes,
TF-V-031,2026-11-05 16:25,Rachel,Kim,r.kim@email.com,915-555-0154,Registration,yes,
TF-V-032,2026-11-08 09:50,Isabel,Contreras,i.contreras@email.com,915-555-0138,General Float,yes,
TF-V-033,2026-11-08 13:30,Danny,Alvarez,d.alvarez@email.com,915-555-0139,General Float,no,Depends on work schedule
TF-V-034,2026-11-10 10:05,Norma,Figueroa,n.figueroa@email.com,915-555-0140,Food Service,yes,
TF-V-035,2026-11-12 11:45,Brenda,Orozco,b.orozco@email.com,915-555-0142,Children's Area,yes,
TF-V-036,2026-11-12 15:20,Richard,Lam,r.lam@email.com,915-555-0143,Setup,yes,
TF-V-037,2026-11-14 08:55,Cristina,Tran,c.tran@email.com,915-555-0144,Cleanup,no,Need to check with husband
TF-V-038,2026-11-15 12:40,Angela,Sandoval,a.sandoval@email.com,915-555-0146,Food Service,yes,
