conversation_id,wa_id,started_at,last_message_at,origin,within_24h_window
conv_reed_family_group,13015550188,2024-01-05T10:00:00Z,2026-12-19T19:02:00Z,user_initiated,true
conv_emma_carlos,15015550142,2023-04-11T08:00:00Z,2026-12-19T22:14:00Z,user_initiated,true
conv_monica_carlos,17035550311,2025-06-11T12:00:00Z,2026-12-19T13:10:00Z,business_initiated,true
conv_jason_carlos,17035550301,2023-02-15T08:00:00Z,2026-12-19T17:30:00Z,user_initiated,true
conv_bb58b302d781,13282179544,2026-09-28T14:40:00Z,2027-01-18T14:40:00Z,service,true
conv_1bacac2af282,18957898930,2026-09-14T06:10:00Z,2027-08-25T06:10:00Z,service,true
conv_6009dbaff2b1,19768608753,2025-03-05T15:58:00Z,2026-02-21T15:58:00Z,marketing,true
conv_cdb1bd49ceb2,10551425843,2025-06-10T08:14:00Z,2025-12-25T08:14:00Z,user_initiated,true
conv_a8682fc96eee,11659457253,2025-12-28T07:13:00Z,2026-04-16T07:13:00Z,marketing,false
conv_31865cced029,15944579947,2025-11-14T22:26:00Z,2026-05-24T22:26:00Z,marketing,false
conv_49af925ac08c,13150191969,2025-01-07T21:16:00Z,2025-01-25T21:16:00Z,service,true
conv_44bc1d870f5b,10413346212,2026-06-11T08:35:00Z,2027-06-06T08:35:00Z,user_initiated,false
conv_999440256c54,15712183308,2025-08-16T12:13:00Z,2026-02-08T12:13:00Z,marketing,false
conv_b015594e0057,18813514137,2026-05-06T08:06:00Z,2027-05-16T08:06:00Z,service,true
conv_c17692728161,19768608753,2025-03-27T21:24:00Z,2025-04-24T21:24:00Z,marketing,true
conv_df8802a4bb48,16075995326,2025-10-22T21:25:00Z,2026-10-10T21:25:00Z,marketing,false
conv_f5bf7154bffb,13507365546,2025-07-05T18:21:00Z,2025-10-14T18:21:00Z,marketing,false
conv_c3be8f106557,19989956803,2025-08-05T13:33:00Z,2026-05-20T13:33:00Z,business_initiated,true
conv_7165e73a90aa,12894711082,2026-08-15T10:06:00Z,2027-08-10T10:06:00Z,marketing,true
conv_7018591c37ce,13919926639,2025-12-25T15:24:00Z,2026-08-27T15:24:00Z,marketing,false
conv_a679aa4de78e,18702535743,2025-07-22T14:21:00Z,2025-09-23T14:21:00Z,user_initiated,false
