Id,DisplayName,GivenName,FamilyName,CompanyName,PrimaryEmailAddr,PrimaryPhone,BillAddr_Line1,BillAddr_City,BillAddr_CountrySubDivisionCode,BillAddr_PostalCode,Balance,Active,Job,Notes
QB-0001,Joseph Smith,Joseph,Smith,,joseph.smith@example.com,,78937 Morales Drive Apt. 964,Batesshire,OR,92690,0.0,True,False,Segment direct-etsy
QB-0002,Tracy Smith,Tracy,Smith,,tracy.smith@example.com,,932 Jill Plains,East Jessica,DC,14257,0.0,True,False,Segment gallery-consigned
QB-0003,Tami Moore,Tami,Moore,,tami.moore@example.com,,882 Cheryl Course,Fisherside,OH,85230,0.0,True,False,Segment gallery-consigned
QB-0004,Adriana Harris,Adriana,Harris,,adriana.harris@example.com,,52811 Kirsten Point,West Stephanie,NE,58834,0.0,True,False,Segment direct-etsy
QB-0005,Ernest Guerrero,Ernest,Guerrero,,ernest.guerrero@example.com,,2919 Cory Road,Durhamland,MS,75922,0.0,True,False,Segment gallery-consigned
QB-0006,Seth Escobar,Seth,Escobar,,seth.escobar@example.com,,60336 White Court,Angelaland,IN,06382,0.0,True,False,Segment fair-square
QB-0007,Monique Hamilton,Monique,Hamilton,,monique.hamilton@example.com,,981 Evans Roads Suite 338,Santosfort,WV,62700,0.0,True,False,Segment gallery-consigned
QB-0008,Andrew Brady,Andrew,Brady,,andrew.brady@example.com,,046 Henry Groves,Josephfort,NY,65522,0.0,True,False,Segment direct-instagram
QB-0009,Anthony Rivera,Anthony,Rivera,,anthony.rivera@example.com,,085 Alison Light Apt. 240,West Susan,WY,39326,0.0,True,False,Segment direct-etsy
QB-0010,Peter Chapman,Peter,Chapman,,peter.chapman@example.com,,113 Lindsay Pines Suite 656,Robinmouth,AS,72468,0.0,True,False,Segment fair-square
QB-0011,Diana Collins,Diana,Collins,,diana.collins@example.com,,9253 Deborah Union,Ellisburgh,MI,85664,0.0,True,False,Segment gallery-consigned
QB-0012,Dana Smith,Dana,Smith,,dana.smith@example.com,,20691 Amy Point,Port Carlosfurt,VA,75406,0.0,True,False,Segment direct-etsy
QB-0013,Karen Duke,Karen,Duke,,karen.duke@example.com,,23418 Victoria Crest,Kylemouth,NE,04593,0.0,True,False,Segment direct-etsy
QB-0014,Brandon Richards,Brandon,Richards,,brandon.richards@example.com,,83110 Martin Isle,New Lesliemouth,MA,62422,0.0,True,False,Segment direct-instagram
QB-0015,Raymond Merritt,Raymond,Merritt,,raymond.merritt@example.com,,5715 Livingston Creek Apt. 421,Ashleytown,ME,96055,0.0,True,False,Segment gallery-consigned
QB-0016,Gloria Sawyer,Gloria,Sawyer,,gloria.sawyer@example.com,,68159 Brandi Springs,New Laura,AL,90474,0.0,True,False,Segment direct-etsy
QB-0017,Christopher Smith,Christopher,Smith,,christopher.smith@example.com,,535 Blake Key,West Kenneth,HI,39876,0.0,True,False,Segment direct-etsy
QB-0018,Jill Perry,Jill,Perry,,jill.perry@example.com,,3895 Pollard Prairie,West Richardton,ND,40139,0.0,True,False,Segment direct-instagram
QB-0019,Joseph Jordan,Joseph,Jordan,,joseph.jordan@example.com,,89440 Harrison Drive,West Alanfurt,MD,95417,0.0,True,False,Segment direct-instagram
QB-0020,Jennifer Davila,Jennifer,Davila,,jennifer.davila@example.com,,931 Jon Falls,South Jasonfurt,PW,64784,0.0,True,False,Segment gallery-consigned
QB-0021,Eileen Smith,Eileen,Smith,,eileen.smith@example.com,,48162 Thomas Street,Port Valerie,MH,11369,0.0,True,False,Segment fair-square
QB-0022,Nathan Simmons,Nathan,Simmons,,nathan.simmons@example.com,,70109 Smith Meadow,South Lisamouth,MP,73448,0.0,True,False,Segment fair-square
QB-0023,Gregory Harris,Gregory,Harris,,gregory.harris@example.com,,6952 Willis Brook Apt. 891,North Kathleen,MS,22159,0.0,True,False,Segment direct-instagram
QB-0024,Amanda Smith,Amanda,Smith,,amanda.smith@example.com,,59441 Scott Green Suite 136,North Nathanielchester,SC,60378,0.0,True,False,Segment direct-instagram
QB-0025,Christopher Ellison,Christopher,Ellison,,christopher.ellison@example.com,,4389 Mora Shoal,Lake Lorishire,HI,10608,0.0,True,False,Segment fair-square
QB-0026,Karen Smith,Karen,Smith,,karen.smith@example.com,,442 Bailey Harbors Suite 192,Marcshire,AK,46885,0.0,True,False,Segment fair-square
QB-0027,Chad Miller,Chad,Miller,,chad.miller@example.com,,6278 Snyder Mountains Suite 155,South Denisechester,MO,20947,0.0,True,False,Segment direct-etsy
QB-0028,Kathleen Norris,Kathleen,Norris,,kathleen.norris@example.com,,18906 Hall Greens Suite 513,West Samantha,VT,37062,0.0,True,False,Segment direct-instagram
QB-0029,Kelly Campbell,Kelly,Campbell,,kelly.campbell@example.com,,25702 Jeffrey Cove,New Jennifer,VA,28112,0.0,True,False,Segment gallery-consigned
QB-0030,Sandra Roberts,Sandra,Roberts,,sandra.roberts@example.com,,60807 Sheppard Hollow,North Marie,SC,58085,0.0,True,False,Segment direct-instagram
QB-0031,Michael Hogan,Michael,Hogan,,michael.hogan@example.com,,926 Sydney Plain,East Taraland,RI,58363,0.0,True,False,Segment direct-instagram
QB-0032,Kara Shannon MD,Kara,Shannon MD,,kara.shannon.md@example.com,,28075 Chris Hollow,Flowersshire,MO,05946,0.0,True,False,Segment gallery-consigned
QB-0033,Louis Chavez,Louis,Chavez,,louis.chavez@example.com,,247 Debra Terrace Apt. 326,Adamburgh,CA,47959,0.0,True,False,Segment direct-instagram
QB-0034,Jason Mcclain,Jason,Mcclain,,jason.mcclain@example.com,,641 Debbie Via Apt. 835,Maryshire,SC,60626,0.0,True,False,Segment direct-etsy
