txn_id,date,class,account,description,party,amount,method,reference,link_id,tax_line,reconciled
qb0001,2026-04-06,charter,Charter Income,Halligan party charter deposit,Halligan party,400.00,paypal,INV-5000,BK2026-01,Sch C line 1,Y
qb0002,2026-04-13,charter,Charter Income,Okafor group charter final,Okafor group,900.00,check,INV-5001,BK2026-02,Sch C line 1,Y
qb0003,2026-04-20,charter,Charter Income,GreenTech corp charter tip,GreenTech corp,120.00,square,INV-5002,BK2026-03,Sch C line 1,Y
qb0004,2026-04-27,charter,Charter Income,Reyes family charter deposit,Reyes family,400.00,paypal,INV-5003,BK2026-04,Sch C line 1,Y
qb0005,2026-05-04,charter,Charter Income,Danvers charter charter final,Danvers charter,900.00,check,INV-5004,BK2026-05,Sch C line 1,Y
qb0006,2026-05-11,charter,Charter Income,Whitfield group charter tip,Whitfield group,120.00,square,INV-5005,BK2026-06,Sch C line 1,Y
qb0007,2026-05-18,charter,Charter Income,Sunbelt Realty outing charter deposit,Sunbelt Realty outing,400.00,paypal,INV-5006,BK2026-07,Sch C line 1,Y
qb0008,2026-05-25,charter,Charter Income,Kessler party charter final,Kessler party,900.00,check,INV-5007,BK2026-08,Sch C line 1,Y
qb0009,2026-06-01,charter,Charter Income,Abrego family charter tip,Abrego family,120.00,square,INV-5008,BK2026-09,Sch C line 1,Y
qb0010,2026-06-08,charter,Charter Income,Nolan referral charter deposit,Nolan referral,400.00,paypal,INV-5009,BK2026-10,Sch C line 1,Y
qb0011,2026-06-15,charter,Charter Income,Bayport Rotary charter final,Bayport Rotary,900.00,check,INV-5010,BK2026-11,Sch C line 1,Y
qb0012,2026-06-22,charter,Charter Income,Tidewater LLC charter tip,Tidewater LLC,120.00,square,INV-5011,BK2026-12,Sch C line 1,Y
qb0013,2026-06-29,charter,Charter Income,Marsh brothers charter deposit,Marsh brothers,400.00,paypal,INV-5012,BK2026-13,Sch C line 1,Y
qb0014,2026-07-06,charter,Charter Income,Vaughn bachelor party charter final,Vaughn bachelor party,900.00,check,INV-5013,BK2026-14,Sch C line 1,Y
qb0015,2026-07-13,charter,Charter Income,Delacroix group charter tip,Delacroix group,120.00,square,INV-5014,BK2026-15,Sch C line 1,Y
qb0016,2026-07-20,charter,Charter Income,Halligan party charter deposit,Halligan party,400.00,paypal,INV-5015,BK2026-16,Sch C line 1,Y
qb0017,2026-07-27,charter,Charter Income,Okafor group charter final,Okafor group,900.00,check,INV-5016,BK2026-17,Sch C line 1,Y
qb0018,2026-08-03,charter,Charter Income,GreenTech corp charter tip,GreenTech corp,120.00,square,INV-5017,BK2026-18,Sch C line 1,Y
qb0019,2026-08-10,charter,Charter Income,Reyes family charter deposit,Reyes family,400.00,paypal,INV-5018,BK2026-19,Sch C line 1,Y
qb0020,2026-08-17,charter,Charter Income,Danvers charter charter final,Danvers charter,900.00,check,INV-5019,BK2026-20,Sch C line 1,Y
qb0021,2026-08-24,charter,Charter Income,Whitfield group charter tip,Whitfield group,120.00,square,INV-5020,BK2026-01,Sch C line 1,Y
qb0022,2026-08-31,charter,Charter Income,Sunbelt Realty outing charter deposit,Sunbelt Realty outing,400.00,paypal,INV-5021,BK2026-02,Sch C line 1,Y
qb0023,2026-09-07,charter,Charter Income,Kessler party charter final,Kessler party,900.00,check,INV-5022,BK2026-03,Sch C line 1,Y
qb0024,2026-09-14,charter,Charter Income,Abrego family charter tip,Abrego family,120.00,square,INV-5023,BK2026-04,Sch C line 1,Y
qb0025,2026-09-21,charter,Charter Income,Nolan referral charter deposit,Nolan referral,400.00,paypal,INV-5024,BK2026-05,Sch C line 1,Y
qb0026,2026-09-28,charter,Charter Income,Bayport Rotary charter final,Bayport Rotary,900.00,check,INV-5025,BK2026-06,Sch C line 1,Y
qb0027,2026-11-02,charter,Charter Income,Tidewater LLC charter tip,Tidewater LLC,120.00,square,INV-5026,BK2026-07,Sch C line 1,Y
qb0028,2026-11-09,charter,Charter Income,Marsh brothers charter deposit,Marsh brothers,400.00,paypal,INV-5027,BK2026-08,Sch C line 1,Y
