id,company_id,first_name,last_name,business_name,type,email,hourly_rate,wage_type,start_date
gcon-501,comp-001,Sam,Whitaker,,Individual,sam.whitaker@example.com,85.00,Hourly,2025-02-01
gcon-502,comp-001,,,Brightline Design LLC,Business,billing@brightlinedesign.com,0.00,Fixed,2025-06-15
gcon-503,comp-001,Ingrid,Solberg,,Individual,ingrid.solberg@example.com,95.00,Hourly,2025-09-10
gcon-504,comp-001,,,Northgate Consulting Group,Business,accounts@northgate.example.com,0.00,Fixed,2026-01-20
gcon-505,comp-001,Mary,DeLuca,Rhody Rentals,Business,joseph.oleary@cox.net,72.44,Fixed,2026-08-04
gcon-506,comp-001,Anthony,Coletti,Ocean State Fixtures,Individual,paul.kowalski@yahoo.com,78.03,Fixed,2025-06-16
gcon-507,comp-001,Karen,Romano,Apex Mechanical,Business,gina.lin@cox.net,87.66,Hourly,2026-02-12
gcon-508,comp-001,Nancy,Kapoor,Coastline Insurance,Business,angela.marino@cox.net,6.36,Fixed,2025-12-22
gcon-509,comp-001,Vincent,Greco,Slater Mill Restoration,Individual,anthony.deluca@verizon.net,39.00,Hourly,2025-04-15
gcon-510,comp-001,Frank,Botelho,Rhody Rentals,Individual,mary.gallo@yahoo.com,53.09,Fixed,2025-10-16
gcon-511,comp-001,Sandra,Patel,Rhody Rentals,Individual,karen.lin@comcast.net,65.23,Fixed,2024-06-29
gcon-512,comp-001,Angela,Gallo,East Bay Tile,Business,sandra.esposito@cox.net,24.22,Hourly,2024-07-26
gcon-513,comp-001,Nancy,Horvath,Slater Mill Restoration,Business,ronald.gallo@verizon.net,43.75,Fixed,2026-04-14
gcon-514,comp-001,Jennifer,Volpicelli,Ocean State Fixtures,Business,john.novak@gmail.com,16.88,Fixed,2025-03-14
gcon-515,comp-001,Karen,Volpicelli,Ocean State Fixtures,Individual,carol.novak@verizon.net,41.62,Hourly,2026-09-22
gcon-516,comp-001,Sandra,Ferreira,Bay State Plumbing Supply,Individual,david.kapoor@cox.net,76.99,Fixed,2026-08-02
gcon-517,comp-001,Barbara,Almeida,Rhody Rentals,Business,betty.murphy@cox.net,54.43,Hourly,2026-09-19
gcon-518,comp-001,Lisa,Hayashi,Ferguson Waterworks,Business,donna.cabral@yahoo.com,66.02,Fixed,2026-06-19
gcon-519,comp-001,David,Esposito,Rhody Rentals,Business,maria.flynn@cox.net,80.84,Hourly,2026-06-21
gcon-520,comp-001,Mary,Flynn,Ocean State Fixtures,Business,rocco.botelho@cox.net,60.90,Hourly,2024-07-10
gcon-521,comp-001,Thomas,Reilly,East Bay Tile,Business,patricia.bianchi@yahoo.com,53.87,Fixed,2025-08-06
gcon-522,comp-001,Susan,Conti,Bay State Plumbing Supply,Business,ronald.nash@yahoo.com,36.88,Fixed,2024-08-19
gcon-523,comp-001,Maria,Flynn,Rhody Rentals,Business,nancy.cabral@gmail.com,73.45,Hourly,2026-06-24
gcon-524,comp-001,Michelle,Bianchi,Blackstone Valley Builders,Business,maria.donovan@comcast.net,7.84,Hourly,2025-07-25
