account_id,name,official_name,mask,type,subtype,available,current,limit,iso_currency_code
acc_firm_op,Firm Operating,Delaney Defense Group Operating,1101,depository,checking,12340.55,12340.55,,USD
acc_household,Household Checking,Delaney Household Checking,2202,depository,checking,9420.18,9420.18,,USD
acc_savings,Household Savings,Delaney Household Savings,3303,depository,savings,95110.00,95110.00,,USD
acc_803,Savings,Delaney Savings Account,1003,depository,savings,11500.00,12000.00,,USD
acc_804,Firm Operating,Delaney Operating Account,1004,depository,checking,12000.00,12500.00,,USD
acc_805,Firm Trust,Delaney Trust Account,1005,depository,checking,12500.00,13000.00,,USD
acc_806,Household Checking,Delaney Household Account,1006,depository,checking,13000.00,13500.00,,USD
acc_807,Savings,Delaney Savings Account,1007,depository,savings,13500.00,14000.00,,USD
acc_808,Firm Operating,Delaney Operating Account,1008,depository,checking,14000.00,14500.00,,USD
acc_809,Firm Trust,Delaney Trust Account,1009,depository,checking,14500.00,15000.00,,USD
acc_810,Household Checking,Delaney Household Account,1010,depository,checking,15000.00,15500.00,,USD
acc_811,Savings,Delaney Savings Account,1011,depository,savings,15500.00,16000.00,,USD
acc_812,Firm Operating,Delaney Operating Account,1012,depository,checking,16000.00,16500.00,,USD
acc_813,Firm Trust,Delaney Trust Account,1013,depository,checking,16500.00,17000.00,,USD
acc_814,Household Checking,Delaney Household Account,1014,depository,checking,17000.00,17500.00,,USD
acc_815,Savings,Delaney Savings Account,1015,depository,savings,17500.00,18000.00,,USD
