sid,from_number,to_number,status,direction,duration,price,price_unit,answered_by,start_time,end_time,date_created
CA_bg_000,+17325550147,+17325552167,completed,inbound,388,0.0841,USD,human,2026-09-21T09:00:00-04:00,2026-09-21T09:00:00-04:00,2026-09-21T09:00:00-04:00
CA_bg_001,+17325550147,+17325556171,completed,inbound,256,0.0555,USD,human,2026-06-28T15:00:00-04:00,2026-06-28T15:00:00-04:00,2026-06-28T15:00:00-04:00
CA_bg_002,+17325550147,+17325557421,completed,outbound-api,504,0.1092,USD,human,2026-09-13T12:00:00-04:00,2026-09-13T12:00:00-04:00,2026-09-13T12:00:00-04:00
CA_bg_003,+17325550147,+17325555702,completed,outbound-api,367,0.0795,USD,human,2026-09-17T13:00:00-04:00,2026-09-17T13:00:00-04:00,2026-09-17T13:00:00-04:00
CA_bg_004,+17325550147,+17325557657,completed,inbound,381,0.0825,USD,human,2026-06-11T17:00:00-04:00,2026-06-11T17:00:00-04:00,2026-06-11T17:00:00-04:00
CA_bg_005,+17325550147,+17325558803,completed,outbound-api,96,0.0208,USD,human,2026-09-20T18:00:00-04:00,2026-09-20T18:00:00-04:00,2026-09-20T18:00:00-04:00
CA_bg_006,+17325550147,+17325558867,completed,outbound-api,180,0.039,USD,human,2026-08-04T14:00:00-04:00,2026-08-04T14:00:00-04:00,2026-08-04T14:00:00-04:00
CA_bg_007,+17325550147,+17325556384,completed,inbound,527,0.1142,USD,human,2026-09-26T14:00:00-04:00,2026-09-26T14:00:00-04:00,2026-09-26T14:00:00-04:00
CA_bg_008,+17325550147,+17325551540,completed,outbound-api,568,0.1231,USD,human,2026-08-24T18:00:00-04:00,2026-08-24T18:00:00-04:00,2026-08-24T18:00:00-04:00
CA_bg_009,+17325550147,+17325558624,completed,outbound-api,484,0.1049,USD,human,2026-09-25T08:00:00-04:00,2026-09-25T08:00:00-04:00,2026-09-25T08:00:00-04:00
CA_bg_010,+17325550147,+17325556185,completed,inbound,50,0.0108,USD,human,2026-09-08T09:00:00-04:00,2026-09-08T09:00:00-04:00,2026-09-08T09:00:00-04:00
CA_bg_011,+17325550147,+17325554266,completed,outbound-api,105,0.0227,USD,human,2026-06-10T15:00:00-04:00,2026-06-10T15:00:00-04:00,2026-06-10T15:00:00-04:00
CA_bg_012,+17325550147,+17325551569,completed,inbound,462,0.1001,USD,human,2026-06-05T18:00:00-04:00,2026-06-05T18:00:00-04:00,2026-06-05T18:00:00-04:00
CA_bg_013,+17325550147,+17325551638,completed,outbound-api,266,0.0576,USD,human,2026-09-19T12:00:00-04:00,2026-09-19T12:00:00-04:00,2026-09-19T12:00:00-04:00
CA_bg_014,+17325550147,+17325558280,completed,outbound-api,266,0.0576,USD,human,2026-09-05T18:00:00-04:00,2026-09-05T18:00:00-04:00,2026-09-05T18:00:00-04:00
CA_bg_015,+17325550147,+17325557640,completed,inbound,331,0.0717,USD,human,2026-09-19T18:00:00-04:00,2026-09-19T18:00:00-04:00,2026-09-19T18:00:00-04:00
CA_bg_016,+17325550147,+17325554087,completed,outbound-api,110,0.0238,USD,human,2026-09-28T10:00:00-04:00,2026-09-28T10:00:00-04:00,2026-09-28T10:00:00-04:00
CA_bg_017,+17325550147,+17325552817,completed,inbound,358,0.0776,USD,human,2026-06-12T13:00:00-04:00,2026-06-12T13:00:00-04:00,2026-06-12T13:00:00-04:00
CA_bg_018,+17325550147,+17325559345,completed,inbound,505,0.1094,USD,human,2026-08-06T15:00:00-04:00,2026-08-06T15:00:00-04:00,2026-08-06T15:00:00-04:00
CA_bg_019,+17325550147,+17325554211,completed,inbound,558,0.1209,USD,human,2026-08-23T11:00:00-04:00,2026-08-23T11:00:00-04:00,2026-08-23T11:00:00-04:00
CA_bg_020,+17325550147,+17325553205,completed,outbound-api,44,0.0095,USD,human,2026-06-21T14:00:00-04:00,2026-06-21T14:00:00-04:00,2026-06-21T14:00:00-04:00
CA_bg_021,+17325550147,+17325557473,completed,inbound,112,0.0243,USD,human,2026-06-04T08:00:00-04:00,2026-06-04T08:00:00-04:00,2026-06-04T08:00:00-04:00
CA_bg_022,+17325550147,+17325555220,completed,outbound-api,127,0.0275,USD,human,2026-09-03T08:00:00-04:00,2026-09-03T08:00:00-04:00,2026-09-03T08:00:00-04:00
CA_bg_023,+17325550147,+17325558536,completed,outbound-api,216,0.0468,USD,human,2026-07-06T12:00:00-04:00,2026-07-06T12:00:00-04:00,2026-07-06T12:00:00-04:00
CA_bg_024,+17325550147,+17325554959,completed,outbound-api,275,0.0596,USD,human,2026-07-07T17:00:00-04:00,2026-07-07T17:00:00-04:00,2026-07-07T17:00:00-04:00
CA_bg_025,+17325550147,+17325558712,completed,inbound,548,0.1187,USD,human,2026-06-16T11:00:00-04:00,2026-06-16T11:00:00-04:00,2026-06-16T11:00:00-04:00
CA_bg_026,+17325550147,+17325554676,completed,inbound,154,0.0334,USD,human,2026-06-15T14:00:00-04:00,2026-06-15T14:00:00-04:00,2026-06-15T14:00:00-04:00
