Id,FirstName,LastName,Email,Phone,Title,AccountId,MailingCity
003Ax01THORNTONAA1,Maria,Thornton,maria.thornton@sterlingpm.com,+1-215-557-0202,Accounts Payable Lead,001Ax01STRLNGAAAA1,Philadelphia
003Ax02REILLYAAAA1,Doug,Reilly,doug.reilly@sterlingpm.com,+1-215-557-0203,Operations Manager,001Ax01STRLNGAAAA1,Philadelphia
003Ax03PETRUZZIAA1,Sandra,Petruzzi,sandra.petruzzi@sterlingpm.com,+1-215-557-0204,AP Specialist,001Ax01STRLNGAAAA1,Philadelphia
003Ax04ROMANOAAAA1,Felix,Romano,felix.romano@sterlingpm.com,+1-215-557-0205,Maintenance Coordinator,001Ax01STRLNGAAAA1,Philadelphia
003Ax05GREENEAAAA1,David,Greene,david.greene@greenerestaurants.com,+1-215-324-0713,Owner,001Ax02GREENEAAAA2,Philadelphia
003Ax06VARGASAAAA1,Linda,Vargas,linda.vargas@fishtownbrewhouse.com,+1-267-405-0989,General Manager,001Ax03BREWHSAAAA3,Philadelphia
003Ax07HARKNESSAA1,Paula,Harkness,paula.harkness@riverwardsrealty.com,+1-267-618-0891,Principal Broker,001Ax04RIVRWDAAAA4,Philadelphia
003Ax08BELLAFONT01,Anthony,Bellafonte,anthony.bellafonte@phlrealtypartners.com,+1-215-998-0441,Property Mgmt Director,001Ax05PHLRPTAAAA5,Philadelphia
003Ax09LIUHANNAH01,Hannah,Liu,hannah.liu@phlrealtypartners.com,+1-215-998-0442,Senior Property Manager,001Ax05PHLRPTAAAA5,Philadelphia
003Ax10MENDEZAAA01,Carlos,Mendez,carlos.mendez@kensingtoncdc.org,+1-215-555-0534,Garden Program Director,001Ax06KENSCDAAAA6,Philadelphia
003Ax11OWENSRACH01,Rachel,Owens,rachel.owens@greensgrowfarms.com,+1-267-993-1078,Programs Coordinator,001Ax07GREENGAAAA7,Philadelphia
003Ax12BRENNANNL01,Michael,Brennan,michael.brennan@nlrealtybrokers.com,+1-267-449-0722,Listing Agent,001Ax08NORLBRAAAA8,Philadelphia
003Ax13GARRETSON01,Joseph,Garretson,joseph.garretson@frkfrdfamily.com,+1-215-744-0119,Owner,001Ax09FRKFRDAAAA9,Philadelphia
003Ax14TRENTKMBL01,Kimberly,Trent,kim.trent@portrichmonddiner.com,+1-215-426-0993,Manager,001Ax10PORTRCAAAA0,Philadelphia
003Ax15OKONKWOST01,Janet,Okonkwo,janet.okonkwo@sterlingpm.com,+1-215-557-0206,Tenant Relations,001Ax01STRLNGAAAA1,Philadelphia
003Ax16MANCINI16,Theo,Mancini,ops@goldfinchcoffee.example.com,+1-484-565-4264,Owner,001Ax11GOLDFINAAAA1,Philadelphia
003Ax17HWANG17,Olivia,Hwang,shop@berksbakery.example.com,+1-484-743-9209,Owner,001Ax12BERKSBKAAAA2,Philadelphia
003Ax18SULLIVAN18,Patrick,Sullivan,office@hancockheritage.example.com,+1-215-724-2414,Operations Manager,001Ax13HANCKHRAAAA3,Philadelphia
003Ax19ARAGON19,Ines,Aragon,leasing@marlboroughct.example.com,+1-215-848-2207,Leasing Manager,001Ax14MARLBORAAAA4,Philadelphia
003Ax20PARK20,Wendy,Park,front@westmorelandwalk.example.com,+1-484-795-9888,Property Coordinator,001Ax15WSTMRLNAAAA5,Philadelphia
003Ax21HOLCOMB21,Ramon,Holcomb,office@cumberlandcourt.example.com,+1-215-410-8472,Building Manager,001Ax16CUMBRLNAAAA6,Philadelphia
003Ax22PETROVA22,Linda,Petrova,front@edgemonteatery.example.com,+1-267-878-9928,Owner,001Ax17EDGMONTAAAA7,Philadelphia
003Ax23CONTI23,Maria,Conti,manager@letterlylofts.example.com,+1-215-620-2956,Manager,001Ax18LETTERLAAAA8,Philadelphia
003Ax24DEMATTEO24,Frank,DeMatteo,frontdesk@tiogatavern.example.com,+1-484-514-9230,Owner,001Ax04PHILLYBROK04,Philadelphia
003Ax25TRAN25,Bao,Tran,kitchen@diamonddiner.example.com,+1-484-450-5814,Head of Operations,001Ax04PHILLYBROK04,Philadelphia
003Ax26MCKAY26,Joelle,McKay,mews@memphismews.example.com,+1-484-667-9727,Resident Manager,001Ax04PHILLYBROK04,Philadelphia
003Ax27BASHIR27,Yusuf,Bashir,front@almondlofts.example.com,+1-267-804-3037,Owner,001Ax04PHILLYBROK04,Philadelphia
003Ax28LEWIS28,Calvin,Lewis,rx@aramingoplazarx.example.com,+1-267-730-3592,Pharmacy Owner,001Ax04PHILLYBROK04,Philadelphia
