date	category	description	amount_usd	account
2026-11-01	Housing	Rent, Cedar Ridge	-1650.00	Checking 4218
2026-11-03	Phone	T-Mobile, Yves and Luc	-85.00	Checking 4218
2026-11-05	Income	Square payout	612.40	Checking 4218
2026-11-12	Income	Hawthorne Grand payroll	1924.37	Checking 4218
2026-11-14	Insurance	Geico auto	-116.67	Checking 4218
2026-11-15	Family	Wise to Nathalie	-300.00	Checking 4218
2026-11-18	Groceries	Costco household	-211.90	Checking 4218
2026-11-20	Health	Cedar Hills Fitness	-45.00	Checking 4218
2026-11-22	Income	Market day payout	388.15	Checking 4218
2026-11-25	Utilities	PGE and NW Natural	-218.40	Checking 4218
2026-11-26	Savings	Food Truck Fund transfer	-400.00	Savings 9043
2026-11-28	Parish	Monthly donation, Luc	-100.00	Checking 4218
