Id,FirstName,LastName,Company,Email,Phone,Status,LeadSource,Industry,Rating
L001,M,Osei-Kwakye,UNC Division of Pediatric ID,osei-kwakye@unc.edu,+1-919-555-1010,Networking,IDWeek Faculty Target,Academic Medicine,Warm
L002,R,Adamson,Vanderbilt Institute for Global Health,adamson@vanderbilt.edu,+1-615-555-2020,Networking,IDWeek Faculty Target,Academic Medicine,Warm
L003,J,Villaverde,Boston Children Hospital PID,villaverde@bch.harvard.edu,+1-617-555-3030,Networking,IDWeek Faculty Target,Academic Medicine,Warm
L004,E,Nsanzabana,UW Global Health,nsanzabana@uw.edu,+1-206-555-4040,Networking,IDWeek Faculty Target,Academic Medicine,Warm
L005,P,Ochieng,Baylor Global Pediatric Program,ochieng@bcm.edu,+1-713-555-5050,Networking,IDWeek Faculty Target,Academic Medicine,Hot
L006,K,Tanaka,Emory Rollins Global Health,tanaka@emory.edu,+1-404-555-6060,Networking,IDWeek Faculty Target Local,Academic Medicine,Warm
L007,L,Ferreira,JHU Bloomberg International Health,ferreira@jhu.edu,+1-410-555-7070,Networking,IDWeek Faculty Target,Academic Medicine,Warm
L1caadf,PI0,Lastname0,UChicago PID,faculty-0@example.edu,+1-800-555-0001,Networking,Reference,Academic Medicine,Cold
Lc3fdbe,PI1,Lastname1,UMD PID,faculty-1@example.edu,+1-800-555-0002,Networking,Reference,Academic Medicine,Cold
L89e030,PI2,Lastname2,UNM PID,faculty-2@example.edu,+1-800-555-0003,Networking,Reference,Academic Medicine,Cold
L8cc23b,PI3,Lastname3,UAB PID,faculty-3@example.edu,+1-800-555-0004,Networking,Reference,Academic Medicine,Cold
La45dcb,PI4,Lastname4,U Iowa PID,faculty-4@example.edu,+1-800-555-0005,Networking,Reference,Academic Medicine,Cold
Lcebb46,PI5,Lastname5,OHSU Global Health,faculty-5@example.edu,+1-800-555-0006,Networking,Reference,Academic Medicine,Cold
Ld5690b,PI6,Lastname6,BU Global Health,faculty-6@example.edu,+1-800-555-0007,Networking,Reference,Academic Medicine,Cold
Lf0fa8b,PI7,Lastname7,UCLA Global Peds,faculty-7@example.edu,+1-800-555-0008,Networking,Reference,Academic Medicine,Cold
Ldbd50b,PI8,Lastname8,Yale PID,faculty-8@example.edu,+1-800-555-0009,Networking,Reference,Academic Medicine,Cold
Leb127e,PI9,Lastname9,Case Western PID,faculty-9@example.edu,+1-800-555-0010,Networking,Reference,Academic Medicine,Cold
L03de65,PI10,Lastname10,Rush University Global Peds,faculty-10@example.edu,+1-800-555-0011,Networking,Reference,Academic Medicine,Cold
