host_id,name,superhost,joined_year,response_rate,languages
host-0001,Teresa Rios,false,2015,91,English
host-0002,Beatriz Whitfield,false,2020,85,"English,Spanish,French"
host-0003,Harper Vargas,false,2020,90,Spanish
host-0004,Beatriz Gutierrez,true,2018,92,Spanish
host-0005,Gabriel Contreras,false,2023,92,"English,Spanish,French"
host-0006,Signal Ortega,true,2014,87,Spanish
host-0007,Lucia Cisneros,true,2023,88,Spanish
host-0008,Lucia Flores,false,2017,92,"English,Spanish,French"
host-0009,Guillermo Aguilar,false,2014,94,English
host-0010,Diego Cisneros,true,2018,88,"English,Spanish,French"
host-0011,Emilio Rojas,false,2019,85,"English,Spanish"
host-0012,Signal Okafor,false,2021,96,"English,Spanish,French"
host-0013,Grace Delgado,false,2021,85,Spanish
host-0014,Alejandro Cohen,false,2015,85,English
host-0015,Javier Fuentes,true,2024,85,"English,Spanish,French"
host-0016,Teresa Herrera,false,2024,96,"English,Spanish"
host-0017,Isabel Ortega,true,2013,98,"English,Spanish"
host-0018,Kevin Rios,true,2015,100,Spanish
host-0019,Paola Serrano,true,2014,98,"English,Spanish,French"
host-0020,Rachel Serrano,true,2015,88,"English,Spanish"
host-0021,Adriana Fuentes,true,2024,85,"English,Spanish,French"
host-0022,Priya Beltran,true,2023,100,English
host-0023,Sergio Salazar,false,2018,97,Spanish
host-0024,Cecilia Aguilar,true,2022,86,"English,Spanish,French"
host-0025,Fernando Mendoza,true,2015,98,"English,Spanish,French"
host-0026,Grace Escobar,true,2018,90,"English,Spanish"
host-0027,Ines Okafor,true,2019,91,"English,Spanish"
host-0028,Signal Contreras,false,2014,98,English
host-0029,Camila Peralta,true,2023,94,English
host-0030,Grace Marchetti,true,2013,100,English
host-0031,Ines Cortes,true,2013,87,"English,Spanish"
host-0032,Emilio Peralta,true,2021,88,Spanish
host-0033,Mariana Okafor,true,2015,88,"English,Spanish"
host-0034,Ricardo Cortes,true,2017,93,English
host-0035,Rafael Jimenez,true,2016,96,"English,Spanish,French"
host-0036,Ines Nair,false,2013,88,English
host-0037,Valentina Cardenas,true,2023,95,"English,Spanish,French"
host-0038,Gabriel Ortega,false,2013,99,Spanish
host-0039,Cecilia Villalobos,false,2015,98,Spanish
host-0040,Marcus Jimenez,false,2019,97,Spanish
host-0041,Javier Navarro,false,2015,90,English
host-0042,Marcus Whitfield,false,2018,95,"English,Spanish"
host-0043,Javier Morales,false,2017,99,English
host-0044,Ines Cohen,false,2015,100,English
host-0045,Rosa Jimenez,false,2018,97,Spanish
host-0046,Jordan Peralta,false,2021,100,Spanish
host-0047,Teresa Cho,false,2023,99,English
host-0048,Grace Gutierrez,true,2015,99,Spanish
host-0049,Renata Beltran,false,2020,86,"English,Spanish"
host-0050,Mariana Bautista,false,2020,89,"English,Spanish"
host-0051,Ricardo Salazar,false,2014,93,English
host-0052,Hana Flores,false,2024,100,Spanish
host-0053,Hector Zamora,false,2016,98,"English,Spanish,French"
host-0054,Wei Cohen,true,2023,96,Spanish
host-0055,Tomas Cardenas,false,2013,95,English
