Service Date	Member Name	Role	Duty Assignment	Service Time	Notes
October 5, 2025	Joanne Lawton	President	Altar setup and linens, Eucharist preparation	8:00 AM	Full setup for Feast of St. Francis. Extra care with fall florals.
October 5, 2025	Marion Reed	Member	Candle maintenance and vesting sacristy	8:00 AM
October 5, 2025	Alice Summers	Member	Altar flowers (seasonal arrangement)	8:30 AM	Donated dahlias from her garden.
October 12, 2025	Clara Jensen	Member	Altar setup and linens	8:00 AM
October 12, 2025	Margaret Norris	Member	Communion vessels	8:00 AM
October 19, 2025	Joanne Lawton	President	Altar setup, special Eucharist for homebound	8:00 AM	Brought reserved sacrament to Dot Henderson and two others after service.
October 19, 2025	Ruth Ann Barnes	Member	Vesting sacristy	8:30 AM
October 26, 2025	Marion Reed	Member	Post-Harvest Fair cleanup setup	8:00 AM	Fair was the day before; set up quietly for Sunday.
October 26, 2025	Elise Tanner	Member	Altar flowers	8:30 AM	White chrysanthemums for All Saints season.
November 2, 2025	Joanne Lawton	President	All Saints Sunday setup	7:30 AM	Full setup including Book of Remembrance for names of the departed. Harry's name included.
November 2, 2025	Alice Summers	Member	Candle maintenance	8:00 AM
November 2, 2025	Margaret Norris	Member	Communion vessels, extra preparation for large attendance	8:00 AM
November 9, 2025	Clara Jensen	Member	Altar setup and linens	8:00 AM
November 9, 2025	Marion Reed	Member	Vesting sacristy	8:30 AM
November 16, 2025	Ruth Ann Barnes	Member	Altar setup	8:00 AM
November 16, 2025	Elise Tanner	Member	Altar flowers (fall arrangement)	8:30 AM
November 23, 2025	Joanne Lawton	President	Thanksgiving Sunday setup	7:30 AM	Coordinated harvest basket display at the altar. Donations to food pantry.
November 23, 2025	Marion Reed	Member	Altar flowers (harvest arrangement)	8:00 AM	Pumpkins, dried leaves, late chrysanthemums.
November 23, 2025	Alice Summers	Member	Communion vessels	8:00 AM
November 30, 2025	Clara Jensen	Member	First Advent Sunday setup	7:30 AM	Advent wreath installed. First candle lit.
November 30, 2025	Margaret Norris	Member	Vesting sacristy	8:00 AM
December 7, 2025	Joanne Lawton	President	Second Advent setup	7:30 AM
December 7, 2025	Ruth Ann Barnes	Member	Altar flowers (white and blue Advent)	8:00 AM
December 14, 2025	Marion Reed	Member	Third Advent setup	7:30 AM	Pink Gaudete candle lit.
December 14, 2025	Elise Tanner	Member	Communion vessels and extra linen	8:00 AM	Large attendance expected.
December 21, 2025	Joanne Lawton	President	Fourth Advent and Christmas Eve preparation	7:30 AM	Full Christmas setup: poinsettias, white linen, creche scene installation.
December 21, 2025	Alice Summers	Member	Altar flowers (poinsettias and white roses donated)	8:00 AM
December 21, 2025	Margaret Norris	Member	Vesting sacristy, Christmas vestments	8:00 AM
December 24, 2025	Joanne Lawton	President	Christmas Eve service setup (evening)	4:00 PM	Candlelight service. Extra Communion vessels for large attendance.
December 24, 2025	Marion Reed	Member	Candle maintenance, Christmas Eve	4:30 PM
December 24, 2025	Clara Jensen	Member	Vesting sacristy	4:30 PM
December 28, 2025	Ruth Ann Barnes	Member	Post-Christmas cleanup, January linens	8:00 AM	Christmas decorations down after Epiphany.
January 4, 2026	Joanne Lawton	President	Epiphany and new year setup	7:30 AM	January plain season begins.
January 4, 2026	Elise Tanner	Member	Altar flowers (white for Epiphany)	8:00 AM
January 11, 2026	Alice Summers	Member	Altar setup and linens	8:00 AM
January 11, 2026	Margaret Norris	Member	Communion vessels	8:00 AM
January 18, 2026	Joanne Lawton	President	Week of Prayer for Christian Unity setup	7:30 AM	Ecumenical prayer booklets distributed after service.
January 18, 2026	Marion Reed	Member	Altar flowers	8:00 AM
January 25, 2026	Clara Jensen	Member	Altar setup	8:00 AM
January 25, 2026	Ruth Ann Barnes	Member	Vesting sacristy	8:30 AM
February 1, 2026	Joanne Lawton	President	Candlemas and Presentation of the Lord setup	7:30 AM	Candles blessed at this service. Joanne coordinated candle inventory.
February 1, 2026	Elise Tanner	Member	Altar flowers (white for feast day)	8:00 AM
February 8, 2026	Marion Reed	Member	Ordinary time setup	8:00 AM
February 8, 2026	Alice Summers	Member	Communion vessels	8:00 AM
February 15, 2026	Joanne Lawton	President	Setup and preparation	7:30 AM	Reminded team about upcoming Lent preparations.
February 15, 2026	Margaret Norris	Member	Vesting sacristy	8:00 AM
February 22, 2026	Clara Jensen	Member	Altar setup	8:00 AM
February 22, 2026	Ruth Ann Barnes	Member	Altar flowers (last before Lent)	8:00 AM	Purple flowers chosen in anticipation of Ash Wednesday.
