movement_id,value_date,entity_code,account_iban,counterparty_name,counterparty_iban,direction,amount_sek,currency,type,linked_ref,diversion_ref
BNK-000001,2022-01-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Ericsson AB,SE-vendor-acct,debit,3570428.67,SEK,vendor_payment,INV-000001,
BNK-000002,2022-02-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Ericsson AB,SE-vendor-acct,debit,3570418.67,SEK,vendor_payment,INV-000002,
BNK-000003,2022-03-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Ericsson AB,SE-vendor-acct,debit,3562957.67,SEK,vendor_payment,INV-000003,
BNK-000004,2022-04-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Ericsson AB,SE-vendor-acct,debit,3569201.67,SEK,vendor_payment,INV-000004,
BNK-000005,2022-05-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Ericsson AB,SE-vendor-acct,debit,3568709.67,SEK,vendor_payment,INV-000005,
BNK-000006,2022-06-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Ericsson AB,SE-vendor-acct,debit,3564941.67,SEK,vendor_payment,INV-000006,
BNK-000007,2022-07-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Ericsson AB,SE-vendor-acct,debit,3563998.67,SEK,vendor_payment,INV-000007,
BNK-000008,2022-08-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Ericsson AB,SE-vendor-acct,debit,3568574.67,SEK,vendor_payment,INV-000008,
BNK-000009,2022-09-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Ericsson AB,SE-vendor-acct,debit,3563048.67,SEK,vendor_payment,INV-000009,
BNK-000010,2022-10-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Ericsson AB,SE-vendor-acct,debit,3566906.67,SEK,vendor_payment,INV-000010,
BNK-000011,2022-11-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Ericsson AB,SE-vendor-acct,debit,3569589.67,SEK,vendor_payment,INV-000011,
BNK-000012,2022-12-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Ericsson AB,SE-vendor-acct,debit,3563763.67,SEK,vendor_payment,INV-000012,
BNK-000013,2023-01-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Ericsson AB,SE-vendor-acct,debit,3565888.67,SEK,vendor_payment,INV-000013,
BNK-000014,2023-02-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Ericsson AB,SE-vendor-acct,debit,3566849.67,SEK,vendor_payment,INV-000014,
BNK-000015,2023-03-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Ericsson AB,SE-vendor-acct,debit,3568983.67,SEK,vendor_payment,INV-000015,
BNK-000016,2023-04-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Ericsson AB,SE-vendor-acct,debit,3566986.67,SEK,vendor_payment,INV-000016,
BNK-000017,2023-05-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Ericsson AB,SE-vendor-acct,debit,3563530.67,SEK,vendor_payment,INV-000017,
BNK-000018,2023-06-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Ericsson AB,SE-vendor-acct,debit,3563918.67,SEK,vendor_payment,INV-000018,
BNK-000019,2023-07-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Ericsson AB,SE-vendor-acct,debit,3565992.67,SEK,vendor_payment,INV-000019,
BNK-000020,2023-08-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Ericsson AB,SE-vendor-acct,debit,3563885.67,SEK,vendor_payment,INV-000020,
BNK-000021,2023-09-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Ericsson AB,SE-vendor-acct,debit,3563311.67,SEK,vendor_payment,INV-000021,
BNK-000022,2023-10-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Ericsson AB,SE-vendor-acct,debit,3565329.67,SEK,vendor_payment,INV-000022,
BNK-000023,2023-11-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Ericsson AB,SE-vendor-acct,debit,3563642.67,SEK,vendor_payment,INV-000023,
BNK-000024,2023-12-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Ericsson AB,SE-vendor-acct,debit,3570313.67,SEK,vendor_payment,INV-000024,
BNK-000025,2024-01-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Ericsson AB,SE-vendor-acct,debit,3568825.67,SEK,vendor_payment,INV-000025,
BNK-000026,2024-02-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Ericsson AB,SE-vendor-acct,debit,3568325.67,SEK,vendor_payment,INV-000026,
BNK-000027,2024-03-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Ericsson AB,SE-vendor-acct,debit,3567544.67,SEK,vendor_payment,INV-000027,
BNK-000028,2024-04-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Ericsson AB,SE-vendor-acct,debit,3564853.67,SEK,vendor_payment,INV-000028,
BNK-000029,2024-05-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Ericsson AB,SE-vendor-acct,debit,3565547.67,SEK,vendor_payment,INV-000029,
BNK-000030,2024-06-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Ericsson AB,SE-vendor-acct,debit,3563174.67,SEK,vendor_payment,INV-000030,
BNK-000031,2024-07-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Ericsson AB,SE-vendor-acct,debit,3564177.67,SEK,vendor_payment,INV-000031,
BNK-000032,2024-08-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Ericsson AB,SE-vendor-acct,debit,3570493.67,SEK,vendor_payment,INV-000032,
BNK-000033,2024-09-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Ericsson AB,SE-vendor-acct,debit,3568157.67,SEK,vendor_payment,INV-000033,
BNK-000034,2024-10-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Ericsson AB,SE-vendor-acct,debit,3569656.67,SEK,vendor_payment,INV-000034,
BNK-000035,2024-11-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Ericsson AB,SE-vendor-acct,debit,3567776.67,SEK,vendor_payment,INV-000035,
BNK-000036,2024-12-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Ericsson AB,SE-vendor-acct,debit,3569993.67,SEK,vendor_payment,INV-000036,
BNK-000037,2025-01-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Ericsson AB,SE-vendor-acct,debit,3564694.67,SEK,vendor_payment,INV-000037,
BNK-000038,2025-02-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Ericsson AB,SE-vendor-acct,debit,3563173.67,SEK,vendor_payment,INV-000038,
BNK-000039,2025-03-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Ericsson AB,SE-vendor-acct,debit,3568899.67,SEK,vendor_payment,INV-000039,
BNK-000040,2025-04-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Ericsson AB,SE-vendor-acct,debit,3563345.67,SEK,vendor_payment,INV-000040,
BNK-000041,2025-05-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Ericsson AB,SE-vendor-acct,debit,3570564.67,SEK,vendor_payment,INV-000041,
BNK-000042,2025-06-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Ericsson AB,SE-vendor-acct,debit,3569635.67,SEK,vendor_payment,INV-000042,
BNK-000043,2025-07-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Ericsson AB,SE-vendor-acct,debit,3570523.67,SEK,vendor_payment,INV-000043,
BNK-000044,2025-08-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Ericsson AB,SE-vendor-acct,debit,3569099.67,SEK,vendor_payment,INV-000044,
BNK-000045,2025-09-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Ericsson AB,SE-vendor-acct,debit,3567041.67,SEK,vendor_payment,INV-000045,
BNK-000046,2025-10-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Ericsson AB,SE-vendor-acct,debit,3567185.67,SEK,vendor_payment,INV-000046,
BNK-000047,2025-11-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Ericsson AB,SE-vendor-acct,debit,3567715.67,SEK,vendor_payment,INV-000047,
BNK-000048,2025-12-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Ericsson AB,SE-vendor-acct,debit,3569296.67,SEK,vendor_payment,INV-000048,
BNK-000049,2022-01-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Tele2 Sverige AB,SE-vendor-acct,debit,2599376.0,SEK,vendor_payment,INV-000049,
BNK-000050,2022-02-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Tele2 Sverige AB,SE-vendor-acct,debit,2596680.0,SEK,vendor_payment,INV-000050,
