id,name,type,distance,moving_time,elapsed_time,total_elevation_gain,average_speed,start_date,kudos_count,segment_id
7000,Turkey Mountain loop,Hike,6725.0,2737,5011,275.4,2.76,2026-09-10T12:00:00-05:00,0,
7001,River trail run,Hike,5633.4,2248,4948,67.2,2.9,2026-09-23T12:00:00-05:00,2,
7002,Turkey Mountain loop,Hike,2414.8,4375,3844,55.0,2.48,2026-09-17T12:00:00-05:00,0,
7003,Morning hike,Hike,8603.2,4730,3496,251.2,2.88,2026-09-25T12:00:00-05:00,6,
7004,Turkey Mountain loop,Run,5209.8,2726,4665,285.5,1.89,2026-09-09T12:00:00-05:00,10,
7005,Turkey Mountain loop,Run,3046.6,4477,2569,260.5,1.47,2026-09-01T12:00:00-05:00,1,
7006,Turkey Mountain loop,Run,7777.2,4983,1851,21.0,2.44,2026-09-24T12:00:00-05:00,11,
7007,Morning hike,Hike,6462.5,4889,1307,296.0,2.12,2026-09-10T12:00:00-05:00,4,
7008,Morning hike,Hike,5387.2,2238,2617,88.4,1.32,2026-09-23T12:00:00-05:00,7,
7009,Morning hike,Run,5902.0,2584,3525,31.8,3.27,2026-09-05T12:00:00-05:00,11,
7010,Morning hike,Hike,5910.7,1820,5456,107.3,2.11,2026-09-05T12:00:00-05:00,1,
7011,Morning hike,Hike,2979.9,2418,5577,196.8,1.8,2026-09-03T12:00:00-05:00,4,
7012,Morning hike,Hike,3022.4,4695,4942,225.0,2.31,2026-09-15T12:00:00-05:00,5,
7013,River trail run,Hike,4339.1,2204,2423,126.8,2.0,2026-09-13T12:00:00-05:00,2,
7014,Turkey Mountain loop,Run,8056.1,2143,2215,196.4,3.15,2026-09-24T12:00:00-05:00,8,
7015,River trail run,Hike,3104.3,4992,4927,265.8,2.59,2026-09-11T12:00:00-05:00,0,
7016,Turkey Mountain loop,Hike,4738.9,2783,3508,46.2,2.62,2026-09-16T12:00:00-05:00,9,
7017,Morning hike,Hike,8337.0,2069,4968,132.3,1.35,2026-09-20T12:00:00-05:00,8,
7018,River trail run,Hike,2508.8,1369,4799,54.9,1.92,2026-09-19T12:00:00-05:00,10,
7019,Turkey Mountain loop,Hike,3379.8,1807,3608,85.3,2.5,2026-09-11T12:00:00-05:00,8,
900020,Hike session 20,Hike,4014,1338,1638,165,2.93,2026-08-07T21:22:00Z,2,1939
900021,Yoga session 21,Yoga,13972,4657,4957,209,3.34,2026-08-01T07:48:00Z,24,4606
900022,Walk session 22,Walk,7202,2400,2700,214,3.23,2026-02-06T20:51:00Z,27,4863
900023,Ride session 23,Ride,19887,6629,6929,35,2.59,2026-07-20T20:00:00Z,1,9502
900024,Yoga session 24,Yoga,17010,5670,5970,154,4.53,2026-01-04T13:26:00Z,18,3024
900025,Hike session 25,Hike,6294,2098,2398,57,4.17,2026-05-09T01:42:00Z,23,3575
900026,Hike session 26,Hike,5190,1730,2030,292,4.23,2026-07-05T18:30:00Z,16,2038
900027,Walk session 27,Walk,11761,3920,4220,216,3.39,2026-01-22T20:03:00Z,3,6774
900028,Ride session 28,Ride,5929,1976,2276,43,3.70,2026-02-27T17:48:00Z,20,4495
900029,Hike session 29,Hike,13964,4654,4954,10,4.40,2026-04-15T01:59:00Z,25,8582
900030,Walk session 30,Walk,4105,1368,1668,160,3.77,2026-03-09T03:27:00Z,13,7145
900031,Walk session 31,Walk,2801,933,1233,94,3.25,2026-06-01T19:05:00Z,2,7856
900032,Run session 32,Run,11377,3792,4092,150,3.86,2026-08-07T01:51:00Z,12,8734
900033,Hike session 33,Hike,6269,2089,2389,290,2.75,2026-03-27T01:22:00Z,12,9747
900034,Ride session 34,Ride,19484,6494,6794,109,3.34,2026-05-09T03:29:00Z,2,2610
900035,Yoga session 35,Yoga,16325,5441,5741,255,4.42,2026-05-23T23:26:00Z,27,4819
900036,Hike session 36,Hike,14070,4690,4990,213,3.61,2026-01-27T18:47:00Z,27,6851
900037,Ride session 37,Ride,5966,1988,2288,73,3.52,2026-04-25T04:49:00Z,4,5501
900038,Walk session 38,Walk,11297,3765,4065,48,4.72,2026-04-06T15:10:00Z,14,5248
900039,Walk session 39,Walk,2194,731,1031,287,3.63,2026-07-23T06:03:00Z,0,7387
900040,Ride session 40,Ride,18379,6126,6426,233,4.28,2026-03-03T20:19:00Z,28,4807
900041,Walk session 41,Walk,7191,2397,2697,263,4.94,2026-09-13T01:08:00Z,8,8311
900042,Walk session 42,Walk,19626,6542,6842,286,2.82,2026-08-19T04:38:00Z,5,5412
900043,Hike session 43,Hike,16287,5429,5729,134,1.85,2026-09-06T04:30:00Z,8,8384
900044,Hike session 44,Hike,14507,4835,5135,58,4.20,2026-07-28T07:33:00Z,4,1167
900045,Hike session 45,Hike,2696,898,1198,27,2.54,2026-02-05T06:00:00Z,23,5796
900046,Ride session 46,Ride,8523,2841,3141,219,3.94,2026-07-02T14:07:00Z,6,1890
900047,Walk session 47,Walk,17506,5835,6135,285,4.07,2026-08-23T18:32:00Z,7,8756
900048,Run session 48,Run,7650,2550,2850,190,2.06,2026-03-24T20:05:00Z,20,2708
900049,Walk session 49,Walk,12604,4201,4501,274,3.71,2026-04-18T15:55:00Z,0,3823
900050,Ride session 50,Ride,14497,4832,5132,264,3.13,2026-08-27T01:18:00Z,14,9430
900051,Run session 51,Run,3724,1241,1541,11,4.85,2026-03-12T06:31:00Z,17,7227
900052,Walk session 52,Walk,16970,5656,5956,19,2.92,2026-01-27T19:09:00Z,24,5540
900053,Run session 53,Run,4910,1636,1936,133,3.94,2026-07-28T14:15:00Z,15,6952
900054,Walk session 54,Walk,2021,673,973,187,3.59,2026-01-12T04:57:00Z,22,3902
900055,Yoga session 55,Yoga,1468,489,789,131,4.32,2026-05-02T01:10:00Z,5,5590
900056,Ride session 56,Ride,12093,4031,4331,94,3.64,2026-07-12T04:00:00Z,15,7152
900057,Hike session 57,Hike,19909,6636,6936,135,4.79,2026-07-22T00:19:00Z,26,3994
900058,Hike session 58,Hike,16298,5432,5732,133,4.24,2026-01-17T12:32:00Z,2,7501
900059,Walk session 59,Walk,1707,569,869,278,2.09,2026-02-06T09:53:00Z,4,2660
900060,Yoga session 60,Yoga,4754,1584,1884,223,2.54,2026-02-08T17:33:00Z,24,4296
900061,Yoga session 61,Yoga,16784,5594,5894,226,4.99,2026-03-21T00:23:00Z,8,2459
900062,Ride session 62,Ride,5719,1906,2206,207,3.46,2026-03-17T00:04:00Z,15,5220
900063,Walk session 63,Walk,13793,4597,4897,207,3.75,2026-04-16T12:26:00Z,22,9739
900064,Walk session 64,Walk,10224,3408,3708,9,4.26,2026-07-15T00:44:00Z,20,6105
900065,Walk session 65,Walk,11826,3942,4242,48,1.94,2026-01-08T03:58:00Z,13,5132
900066,Ride session 66,Ride,7292,2430,2730,161,4.14,2026-07-22T18:11:00Z,22,9184
900067,Walk session 67,Walk,17784,5928,6228,196,1.91,2026-01-01T14:01:00Z,6,7155
900068,Yoga session 68,Yoga,12504,4168,4468,184,2.31,2026-04-12T12:43:00Z,13,8919
900069,Ride session 69,Ride,9234,3078,3378,274,4.90,2026-09-23T23:42:00Z,24,8483
900070,Ride session 70,Ride,11450,3816,4116,158,3.44,2026-03-28T10:01:00Z,13,7956
900071,Hike session 71,Hike,16479,5493,5793,28,2.20,2026-08-12T23:20:00Z,15,9895
900072,Yoga session 72,Yoga,10345,3448,3748,223,2.37,2026-06-20T14:05:00Z,28,8946
900073,Walk session 73,Walk,14991,4997,5297,242,4.45,2026-06-04T02:39:00Z,13,5982
900074,Walk session 74,Walk,12960,4320,4620,146,3.31,2026-08-03T08:51:00Z,24,6417
900075,Walk session 75,Walk,18665,6221,6521,271,4.17,2026-05-13T15:01:00Z,13,3965
900076,Hike session 76,Hike,15080,5026,5326,10,2.28,2026-07-08T00:26:00Z,17,6194
900077,Yoga session 77,Yoga,6119,2039,2339,37,2.55,2026-09-15T13:34:00Z,28,8597
900078,Yoga session 78,Yoga,6675,2225,2525,245,4.31,2026-07-17T02:55:00Z,19,9953
900079,Hike session 79,Hike,7106,2368,2668,123,1.77,2026-06-01T10:46:00Z,28,3559
900080,Hike session 80,Hike,18887,6295,6595,3,3.10,2026-05-23T08:18:00Z,6,3837
900081,Run session 81,Run,11312,3770,4070,68,1.71,2026-01-23T08:14:00Z,6,2904
900082,Run session 82,Run,14282,4760,5060,267,4.23,2026-03-10T11:07:00Z,11,5319
900083,Ride session 83,Ride,10659,3553,3853,27,4.97,2026-05-03T21:40:00Z,25,6336
900084,Walk session 84,Walk,7818,2606,2906,39,4.49,2026-08-26T06:17:00Z,12,2031
900085,Yoga session 85,Yoga,14076,4692,4992,20,4.16,2026-08-15T17:01:00Z,26,9784
900086,Hike session 86,Hike,19527,6509,6809,206,3.75,2026-09-01T22:38:00Z,5,7054
900087,Walk session 87,Walk,16013,5337,5637,246,3.11,2026-08-02T10:24:00Z,20,1311
900088,Hike session 88,Hike,8855,2951,3251,72,2.77,2026-08-03T01:29:00Z,8,6629
900089,Hike session 89,Hike,4801,1600,1900,177,3.24,2026-05-11T10:23:00Z,4,7709
900090,Run session 90,Run,5309,1769,2069,216,4.82,2026-09-20T12:21:00Z,15,9100
900091,Yoga session 91,Yoga,10360,3453,3753,289,3.39,2026-09-07T21:35:00Z,0,6073
900092,Ride session 92,Ride,4751,1583,1883,105,4.80,2026-07-24T16:36:00Z,3,9065
900093,Ride session 93,Ride,1521,507,807,250,4.29,2026-02-22T10:52:00Z,28,8904
900094,Yoga session 94,Yoga,16537,5512,5812,137,3.57,2026-07-28T13:12:00Z,22,9830
900095,Walk session 95,Walk,18933,6311,6611,209,2.06,2026-05-18T23:18:00Z,6,9186
