wa_id,profile_name,phone_number,opted_in,last_seen
wa_jiyoung,Ji-young Lee,+82255550134,True,2026-11-12T03:11:00-05:00
wa_david,David Lee,+16175550112,True,2026-11-14T22:52:00-05:00
wa_junghee,Umma,+16175550123,True,2026-11-14T19:40:00-05:00
wa_christine,Christine Oh,+16175550145,True,2026-11-13T08:12:00-05:00
wa_hyejin,Hye-jin Kim,+16175550189,True,2026-11-15T21:14:00-05:00
wa_sullivan,Coach Sullivan,+16175550190,True,2026-11-12T18:47:00-05:00
wa_wellesley_amanda,Amanda Chen (Wellesley '10),+16175553381,True,2026-11-10T14:20:00-05:00
wa_wellesley_priya,Priya Ramaswamy (Wellesley '10),+16175553402,True,2026-11-09T20:04:00-05:00
wa_wellesley_meera,Meera Patel (Wellesley '10),+16175553388,True,2026-11-11T21:03:00-05:00
wa_res_leah,Leah Fitzgerald (Res Cohort),+16175558220,True,2026-11-10T16:00:00-05:00
wa_res_marcus,Marcus Odiakosa (Res Cohort),+16175558231,True,2026-11-07T22:10:00-05:00
wa_res_yuki,Yuki Watanabe (Res Cohort),+16175558244,True,2026-11-12T10:04:00-05:00
wa_res_nadia,Nadia Habib (Res Cohort),+16175558288,True,2026-10-30T19:20:00-05:00
wa_daniel,Daniel Lee,+13015550201,True,2026-11-12T19:00:00-05:00
wa_minjun_school,Minjun Class Parents Group,+16175559001,True,2026-11-10T15:00:00-05:00
