conversation_id,wa_id,started_at,last_message_at,origin,within_24h_window
conv_jiyoung,wa_jiyoung,2024-06-01T10:00:00-05:00,2026-11-12T03:11:00-05:00,user_initiated,True
conv_david,wa_david,2023-03-15T10:00:00-05:00,2026-11-14T22:52:00-05:00,business_initiated,True
conv_junghee,wa_junghee,2023-03-15T10:00:00-05:00,2026-11-14T19:40:00-05:00,business_initiated,True
conv_christine,wa_christine,2023-10-01T10:00:00-05:00,2026-11-13T08:12:00-05:00,user_initiated,True
conv_hyejin,wa_hyejin,2024-01-10T10:00:00-05:00,2026-11-15T21:14:00-05:00,user_initiated,True
conv_sullivan,wa_sullivan,2025-09-01T10:00:00-05:00,2026-11-12T18:47:00-05:00,user_initiated,True
conv_wellesley_amanda,wa_wellesley_amanda,2020-04-01T10:00:00-05:00,2026-11-10T14:20:00-05:00,user_initiated,False
conv_wellesley_priya,wa_wellesley_priya,2020-04-01T10:00:00-05:00,2026-11-09T20:04:00-05:00,user_initiated,False
conv_wellesley_meera,wa_wellesley_meera,2020-04-01T10:00:00-05:00,2026-11-11T21:03:00-05:00,user_initiated,True
conv_res_leah,wa_res_leah,2018-07-01T10:00:00-05:00,2026-11-10T16:00:00-05:00,user_initiated,True
conv_res_marcus,wa_res_marcus,2018-07-01T10:00:00-05:00,2026-11-07T22:10:00-05:00,user_initiated,False
conv_res_yuki,wa_res_yuki,2018-07-01T10:00:00-05:00,2026-11-12T10:04:00-05:00,user_initiated,True
conv_res_nadia,wa_res_nadia,2018-07-01T10:00:00-05:00,2026-10-30T19:20:00-05:00,user_initiated,False
conv_daniel,wa_daniel,2018-11-20T10:00:00-05:00,2026-11-12T19:00:00-05:00,user_initiated,True
conv_minjun_school,wa_minjun_school,2024-09-01T10:00:00-05:00,2026-11-10T15:00:00-05:00,business_initiated,False
