id,username,name,description,verified,protected,location,profile_image_url,created_at,followers_count,following_count,tweet_count
5101,helen_newton_bm,Helen Newton,Midwife in Gothenburg. Rarely here.,false,true,Gothenburg Sweden,https://pbs.example.com/helen_newton.png,2016-09-04T09:00:00.000Z,38,52,3
5102,emma_olofsson_2,Emma Olofsson,Journalism and public health.,false,false,Stockholm,https://pbs.example.com/user_2.png,2021-08-12T00:00:00+00:00,5999,77,13088
5103,oskar_isaksson_3,Oskar Isaksson,Journalism and public health.,false,false,Gothenburg,https://pbs.example.com/user_3.png,2022-03-06T00:00:00+00:00,22912,410,10408
5104,maja_jonsson_4,Maja Jonsson,Runner. Reader.,false,false,Bristol,https://pbs.example.com/user_4.png,2020-10-04T00:00:00+00:00,25557,1328,5580
5105,bo_lindqvist_5,Bo Lindqvist,Nordic photography.,false,false,Gothenburg,https://pbs.example.com/user_5.png,2017-11-09T00:00:00+00:00,25834,1313,5055
5106,anders_isaksson_6,Anders Isaksson,Coffee and books.,false,false,Stockholm,https://pbs.example.com/user_6.png,2019-07-15T00:00:00+00:00,23698,1358,12575
5107,isabella_lundberg_7,Isabella Lundberg,News junkie.,false,false,London,https://pbs.example.com/user_7.png,2016-10-03T00:00:00+00:00,16557,271,7589
5108,viktor_sundberg_8,Viktor Sundberg,Nordic photography.,false,false,Bristol,https://pbs.example.com/user_8.png,2017-01-08T00:00:00+00:00,17495,1456,5577
5109,viktor_sjoberg_9,Viktor Sjoberg,Journalism and public health.,false,false,Stockholm,https://pbs.example.com/user_9.png,2023-03-29T00:00:00+00:00,27940,747,15101
5110,camilla_wik_10,Camilla Wik,Coffee and books.,false,false,London,https://pbs.example.com/user_10.png,2018-07-29T00:00:00+00:00,24215,149,9029
5111,camilla_sjoberg_11,Camilla Sjoberg,Nordic photography.,false,false,Stockholm,https://pbs.example.com/user_11.png,2015-06-14T00:00:00+00:00,22113,220,2942
5112,isabella_ohlsson_12,Isabella Ohlsson,Nordic photography.,false,false,Bristol,https://pbs.example.com/user_12.png,2020-02-29T00:00:00+00:00,6725,116,19255
5113,anna_ekstrom_13,Anna Ekstrom,Journalism and public health.,false,false,Gothenburg,https://pbs.example.com/user_13.png,2016-02-23T00:00:00+00:00,9101,1610,4807
5114,rebecka_bengtsson_14,Rebecka Bengtsson,News junkie.,false,false,Malmo,https://pbs.example.com/user_14.png,2015-11-13T00:00:00+00:00,4275,60,18517
5115,per_sandberg_15,Per Sandberg,Nordic photography.,false,false,Malmo,https://pbs.example.com/user_15.png,2017-07-29T00:00:00+00:00,14280,479,19669
5116,sara_winberg_16,Sara Winberg,Nordic photography.,false,false,London,https://pbs.example.com/user_16.png,2020-08-29T00:00:00+00:00,23273,490,16880
5117,elsa_wik_17,Elsa Wik,News junkie.,false,false,Stockholm,https://pbs.example.com/user_17.png,2016-05-15T00:00:00+00:00,1228,684,15179
5118,oskar_dahl_18,Oskar Dahl,Nordic photography.,false,false,London,https://pbs.example.com/user_18.png,2023-10-17T00:00:00+00:00,13395,135,441
5119,mikael_sjoberg_19,Mikael Sjoberg,News junkie.,false,false,Malmo,https://pbs.example.com/user_19.png,2023-07-19T00:00:00+00:00,8086,1415,10658
5120,alba_sundberg_20,Alba Sundberg,Journalism and public health.,false,false,Bristol,https://pbs.example.com/user_20.png,2015-11-30T00:00:00+00:00,29261,1350,3702
5121,david_andersson_21,David Andersson,Runner. Reader.,false,false,Bristol,https://pbs.example.com/user_21.png,2016-08-21T00:00:00+00:00,23745,1581,11786
5122,johan_bjork_22,Johan Bjork,Runner. Reader.,false,false,Gothenburg,https://pbs.example.com/user_22.png,2016-11-03T00:00:00+00:00,7179,224,17633
5123,elsa_gustafsson_23,Elsa Gustafsson,News junkie.,false,false,Gothenburg,https://pbs.example.com/user_23.png,2023-02-11T00:00:00+00:00,18469,1976,4101
5124,daniel_sjoberg_24,Daniel Sjoberg,Nordic photography.,false,false,Bristol,https://pbs.example.com/user_24.png,2018-06-04T00:00:00+00:00,22543,1340,12904
5125,ulrika_ekstrom_25,Ulrika Ekstrom,Runner. Reader.,false,false,London,https://pbs.example.com/user_25.png,2017-08-18T00:00:00+00:00,14225,1713,3745
5126,sven_olofsson_26,Sven Olofsson,Runner. Reader.,false,false,Stockholm,https://pbs.example.com/user_26.png,2016-02-03T00:00:00+00:00,16031,707,13179
5127,lars_fransson_27,Lars Fransson,Runner. Reader.,false,false,London,https://pbs.example.com/user_27.png,2016-03-29T00:00:00+00:00,16345,754,4019
5128,astrid_ohlsson_28,Astrid Ohlsson,Journalism and public health.,false,false,Malmo,https://pbs.example.com/user_28.png,2019-08-04T00:00:00+00:00,10156,506,16158
5129,hedvig_wik_29,Hedvig Wik,Journalism and public health.,false,false,Gothenburg,https://pbs.example.com/user_29.png,2015-08-08T00:00:00+00:00,7097,1244,19963
5130,sara_palm_30,Sara Palm,Coffee and books.,false,false,Bristol,https://pbs.example.com/user_30.png,2020-07-06T00:00:00+00:00,22291,205,5300
