id,firstName,lastName,workEmail,department,jobTitle,location,hireDate,status,supervisorId
E-PRIN,Andrew,Pham,andrew.pham@Finthesiss.ai,Administration,Principal,LSA,2018-08-06,Active,E-SUPT
A-3001,Kevin,Park,kevin.park@coisd.org,Administration,Assistant Principal,LSA,2020-07-27,Active,E-PRIN
A-3002,Jamal,Washington,jamal.washington@coisd.org,Administration,Assistant Principal,LSA,2021-07-26,Active,E-PRIN
E-1001,Marisela,Alarcon,marisela.alarcon@coisd.org,Math,Teacher - Math 6,LSA-Rm 210,2019-08-05,Active,E-PRIN
E-1002,Jerome,Ballard,jerome.ballard@coisd.org,Math,Teacher - Math 7,LSA-Rm 211,2020-08-03,Active,E-PRIN
E-1016,Elliot,Voss,elliot.voss@coisd.org,ELA,Teacher - ELA 7,LSA-Rm 108,2018-08-06,Leave,E-PRIN
E-1024,Osvaldo,Marino,osvaldo.marino@coisd.org,Science,Teacher - Life Science 7,LSA-Rm 305,2020-08-03,Leave,E-PRIN
E-1035,Priscilla,Nkomo,priscilla.nkomo@coisd.org,Social Studies,Teacher - World Cultures,LSA-Rm 402,2019-08-05,Active,E-PRIN
E-1040,Yuki,Tanaka,yuki.tanaka@coisd.org,Elective,Teacher - Art,LSA-Rm 502,2021-08-02,Active,E-PRIN
E-1045,Rosalinda,Camacho,rosalinda.camacho@coisd.org,Bilingual,Teacher - Bilingual Spanish 6,LSA-Rm 214,2019-08-05,Active,E-PRIN
E-1050,Franco,Isabella,franco.isabella@coisd.org,Special Ed,Teacher - SPED Inclusion,LSA-Rm 106,2018-08-06,Leave,E-PRIN
E-1055,Anh,Le,anh.le@coisd.org,Bilingual,Teacher - Bilingual Vietnamese 7,LSA-Rm 217,2022-08-01,Active,E-PRIN
E-1060,Wesley,Ackerman,wesley.ackerman@coisd.org,Elective,Teacher - PE 8,LSA-Gym,2021-08-02,Active,E-PRIN
E-1061,Quentin,Lasseter,quentin.lasseter@coisd.org,Bilingual,Teacher - Bilingual Spanish 8,LSA-Rm 215,2019-08-05,Separated,E-PRIN
E-1062,Renata,Salvatori,renata.salvatori@coisd.org,Science,Teacher - Physical Science 8,LSA-Rm 307,2020-08-03,Separated,E-PRIN
C-2001,Alicia,Trejo,alicia.trejo@coisd.org,Counseling,Counselor - grade 6,LSA-Off 12,2019-08-05,Active,E-PRIN
C-2002,Robert,Hess,robert.hess@coisd.org,Counseling,Counselor - grade 7,LSA-Off 13,2020-08-03,Active,E-PRIN
F-4001,Yolanda,Prieto,yolanda.prieto@coisd.org,Front Office,Front Office Manager,LSA-Off 01,2018-08-06,Active,A-3001
F-4002,Marcelo,Reyes,marcelo.reyes@coisd.org,Front Office,Attendance Clerk,LSA-Off 02,2019-08-05,Active,F-4001
F-4003,Danika,Sun,danika.sun@coisd.org,Front Office,Receptionist (PT),LSA-Off 01,2024-08-05,Active,F-4001
