id,name,company,from_name,from_email,subject,member_count,unsubscribe_count,date_created
lst_mc_personal,Midori personal newsletter,Midori Kelley Photography,Midori Kelley,midori.kelley@voissync.ai,Midori - personal updates,83,2,2025-05-04T08:00:00Z
lst_mc_auto_001,Trail ride crew,Midori Kelley,Midori Kelley,midori.kelley@voissync.ai,Meetup coordination,40,0,2025-04-28T08:00:00.000Z
lst_mc_auto_002,Photography print buyers,Midori Kelley Photography,Midori Kelley Photography,midori.kelley@voissync.ai,Print drops and sales,67,5,2025-01-11T08:00:00.000Z
lst_mc_auto_003,Trail ride crew,Midori Kelley,Midori Kelley,midori.kelley@voissync.ai,Meetup coordination,112,5,2025-05-26T08:00:00.000Z
lst_mc_auto_004,Trail ride crew,Midori Kelley,Midori Kelley,midori.kelley@voissync.ai,Meetup coordination,61,0,2025-08-15T08:00:00.000Z
lst_mc_auto_005,Trail ride crew,Midori Kelley,Midori Kelley,midori.kelley@voissync.ai,Meetup coordination,118,1,2025-04-13T08:00:00.000Z
lst_mc_auto_006,Photography print buyers,Midori Kelley Photography,Midori Kelley Photography,midori.kelley@voissync.ai,Print drops and sales,30,4,2025-10-31T08:00:00.000Z
lst_mc_auto_007,Barrel clinic interest,Midori Kelley,Midori Kelley,midori.kelley@voissync.ai,Clinic announcements,118,0,2025-12-06T08:00:00.000Z
lst_mc_auto_008,Barrel clinic interest,Midori Kelley,Midori Kelley,midori.kelley@voissync.ai,Clinic announcements,91,0,2025-07-22T08:00:00.000Z
lst_mc_auto_009,Trail ride crew,Midori Kelley,Midori Kelley,midori.kelley@voissync.ai,Meetup coordination,72,0,2025-01-28T08:00:00.000Z
lst_mc_auto_010,Photography print buyers,Midori Kelley Photography,Midori Kelley Photography,midori.kelley@voissync.ai,Print drops and sales,109,3,2025-05-25T08:00:00.000Z
lst_mc_auto_011,Trail ride crew,Midori Kelley,Midori Kelley,midori.kelley@voissync.ai,Meetup coordination,96,1,2025-09-29T08:00:00.000Z
