request_id,product_id,status,rider_id,driver_name,vehicle,license_plate,start_latitude,start_longitude,start_address,end_latitude,end_longitude,end_address,distance_miles,duration_minutes,fare,surge_multiplier,requested_at,completed_at
uber_001,,completed,,Driver 1,,,,,Browning Medical,,,VFW,,,19.38,1.0,2027-03-02,2027-03-02
uber_002,,completed,,Driver 2,,,,,Town Hall,,,Ranch,,,24.03,1.0,2027-03-07,2027-03-07
uber_003,,cancelled,,Driver 3,,,,,VFW,,,Town Hall,,,10.47,1.0,2027-03-05,2027-03-05
uber_004,,completed,,Driver 4,,,,,Browning Medical,,,Browning Medical,,,21.59,1.0,2027-03-12,2027-03-12
uber_005,,completed,,Driver 5,,,,,Safeway,,,Browning Medical,,,17.18,1.0,2027-03-11,2027-03-11
uber_006,,completed,,Driver 6,,,,,Ranch,,,Ranch,,,34.32,1.0,2027-03-10,2027-03-10
uber_007,,cancelled,,Driver 7,,,,,Browning Medical,,,VFW,,,17.04,1.0,2027-03-07,2027-03-07
uber_008,,cancelled,,Driver 8,,,,,Ranch,,,Ranch,,,32.82,1.0,2027-03-14,2027-03-14
uber_009,,completed,,Driver 9,,,,,VFW,,,VFW,,,27.95,1.0,2027-03-03,2027-03-03
uber_010,,cancelled,,Driver 10,,,,,Ranch,,,VFW,,,26.04,1.0,2027-03-16,2027-03-16
uber_011,,completed,,Driver 11,,,,,VFW,,,Browning Medical,,,8.13,1.0,2027-03-10,2027-03-10
uber_012,,completed,,Driver 12,,,,,Town Hall,,,Safeway,,,27.22,1.0,2027-03-01,2027-03-01
uber_013,,completed,,Driver 13,,,,,Safeway,,,Ranch,,,31.80,1.0,2027-03-11,2027-03-11
uber_014,,cancelled,,Driver 14,,,,,Browning Medical,,,Browning Medical,,,11.58,1.0,2027-03-01,2027-03-01
uber_015,,completed,,Driver 15,,,,,Browning Medical,,,Town Hall,,,15.67,1.0,2027-03-06,2027-03-06
