conversation_id,wa_id,started_at,last_message_at,origin,within_24h_window
conv_rosa,19155550192,2024-02-10T09:00:00Z,2026-11-30T21:30:00Z,marketing,true
conv_pastor,19155550208,2024-01-20T10:00:00Z,2026-11-29T14:00:00Z,service,true
conv_sofia,19155550138,2024-01-15T10:00:00Z,2026-11-30T20:00:00Z,service,true
conv_carlos,15125550145,2024-01-15T10:15:00Z,2026-11-29T20:15:00Z,service,true
conv_lupe,15755550173,2024-01-15T10:30:00Z,2026-11-30T18:05:00Z,service,true
conv_elena,9155550401,2026-09-01T10:00:00Z,2026-11-27T15:00:00Z,marketing,false
conv_epr,9155550403,2026-09-15T11:00:00Z,2026-11-26T14:00:00Z,marketing,false
conv_audio_ex,9155550404,2026-09-20T13:00:00Z,2026-11-24T10:00:00Z,marketing,false
conv_vol_group,group_holiday_vol,2026-10-01T08:00:00Z,2026-11-30T19:00:00Z,service,true
conv_diego,19155550152,2026-01-01T08:00:00Z,2026-11-28T10:00:00Z,service,false
conv_jamie,15125550164,2026-02-02T09:00:00Z,2026-11-27T11:00:00Z,service,true
conv_carmen,15755550186,2026-03-03T10:00:00Z,2026-11-26T12:00:00Z,service,true
conv_frank,9155550301,2026-04-04T11:00:00Z,2026-11-25T13:00:00Z,service,false
conv_deacon_maria,9155550302,2026-05-05T12:00:00Z,2026-11-24T14:00:00Z,service,true
conv_deacon_ruth,9155550303,2026-06-06T13:00:00Z,2026-11-23T15:00:00Z,service,true
conv_casa_flores,9155550402,2026-07-07T14:00:00Z,2026-11-22T16:00:00Z,marketing,false
conv_los_hermanos,9155550405,2026-08-08T15:00:00Z,2026-11-21T17:00:00Z,marketing,true
conv_quick_print,9155550406,2026-09-09T16:00:00Z,2026-11-20T10:00:00Z,marketing,true
conv_isabel,9155550501,2026-10-10T17:00:00Z,2026-11-19T11:00:00Z,service,false
conv_consuelo,9155550502,2026-11-11T18:00:00Z,2026-11-28T12:00:00Z,service,true
conv_maria_delgado,9155550503,2026-12-12T19:00:00Z,2026-11-27T13:00:00Z,service,true
conv_dolores,9155550504,2026-01-13T20:00:00Z,2026-11-26T14:00:00Z,service,false
conv_yolanda,9155550505,2026-02-14T21:00:00Z,2026-11-25T15:00:00Z,service,true
conv_dr_ramirez,19155550214,2026-03-15T22:00:00Z,2026-11-24T16:00:00Z,service,true
conv_dr_ortega,9155550227,2026-04-16T23:00:00Z,2026-11-23T17:00:00Z,service,false
conv_desert_eye,9155550228,2026-05-17T24:00:00Z,2026-11-22T10:00:00Z,service,true
conv_borderland_dental,9155550229,2026-06-18T25:00:00Z,2026-11-21T11:00:00Z,service,true
conv_cvs,9155550230,2026-07-19T26:00:00Z,2026-11-20T12:00:00Z,marketing,false
conv_lorena,19155550233,2026-08-20T27:00:00Z,2026-11-19T13:00:00Z,service,true
conv_neighbor_alicia,9155550601,2026-09-21T08:00:00Z,2026-11-28T14:00:00Z,service,true
conv_neighbor_ramon,9155550602,2026-10-22T09:00:00Z,2026-11-27T15:00:00Z,service,false
conv_church_office,9155550620,2026-11-23T10:00:00Z,2026-11-26T16:00:00Z,service,true
conv_choir_group,group_choir,2026-12-24T11:00:00Z,2026-11-25T17:00:00Z,service,true
conv_prayer_chain,group_prayer,2026-01-25T12:00:00Z,2026-11-24T10:00:00Z,service,false
