Player	Number	Position	Phone	SmsReminder	ParentGuardian
Darnell Robinson	7	First Base	(313) 555-3347	Yes	
Raymond Okafor	12	Catcher	(313) 555-5529	Yes	
Pete Lawson	3	Shortstop	(313) 555-4419	Yes	
Carlos Mendez	21	Center Field	(313) 555-9921	Yes	
Andre Whitfield	9	Third Base	(313) 555-6602	Yes	
Marcus Dawson	24	Left Field	(313) 555-9104	Yes	Shawn Dawson
Tommy Bishop	5	Second Base	(313) 555-7745	No, landline only	
Greg Sanders	18	Right Field	(313) 555-3380	Yes	
Will Carter	33	Pitcher	(313) 555-2280	Yes	
Eddie Brooks	2	Utility	(313) 555-1190	Yes	
