Category	Item	Type	MonthlyAmountUSD	Account
Income	Irongate net pay (avg)	Income	4225.00	Lakeside Checking ****4471
Income	Denise net pay	Income	3650.00	Lakeside Checking ****4471
Housing	Mortgage (PITI)	Fixed	1450.00	Lakeside Loan 0098341
Transport	Ford F-150 loan	Fixed	485.00	Ford Credit 60044820915
Utilities	DTE Energy	Variable	210.00	Debit
Utilities	Water and trash	Variable	78.00	Debit
Utilities	Phone and internet	Fixed	165.00	Debit
Giving	Tithe to Greater Hope	Fixed	440.00	Cash and debit
Family	Marcus college support	Fixed	400.00	PayPal and debit
Family	Ruth supplemental	Fixed	300.00	Debit
Food	Groceries (Meijer and local)	Variable	650.00	Debit
Savings	Emergency reserve transfer	Fixed	100.00	Lakeside Savings ****7708
Insurance	Auto and home	Fixed	225.00	Debit
Health	Pharmacy and copays	Variable	45.00	Debit
Discretionary	Workshop, BBQ, dominoes	Variable	160.00	Cash and debit
