id,email,first_name,last_name,phone,status,created_timestamp,updated_timestamp
101,priya.shah@tangerinemag.com,PRIYA,SHAH,+12125550456,1,2024-08-01T00:00:00-05:00,2025-01-28T00:00:00-05:00
102,sophie.l@oatly.com,Sophie,Lindqvist,+19295550567,1,2024-09-03T00:00:00-05:00,2025-03-02T00:00:00-05:00
103,rebecca.a@saltandpress.com,Rebecca,Allenford,+12125550511,1,2024-10-06T00:00:00-05:00,2025-04-04T00:00:00-05:00
104,devon.marsh@praxafresh.com,Devon,Marsh,+14155550623,1,2024-11-08T00:00:00-05:00,2025-05-07T00:00:00-05:00
105,m.chen@edgewaterfoodjournal.com,Marcus,Chen,+19175550408,1,2024-12-11T00:00:00-05:00,2025-06-09T00:00:00-05:00
106,tomas@gmail.com,Tomas,Herrera,+12125550178,1,2025-01-13T00:00:00-05:00,2025-07-12T00:00:00-05:00
107,ana.moreira@gmail.com,Ana,Moreira,+17185550189,1,2025-02-15T00:00:00-05:00,2025-08-14T00:00:00-05:00
108,elena.ruiz@tangerinemag.com,Elena,Ruiz,+12125550457,1,2025-02-17T00:00:00-05:00,2025-05-18T00:00:00-05:00
109,lena.wright@saltandpress.com,Lena,Wright,+12125550614,1,2025-02-26T00:00:00-05:00,2025-05-27T00:00:00-05:00
110,talia.cross@edgewaterfoodjournal.com,Talia,Cross,+19175550724,1,2025-03-07T00:00:00-05:00,2025-06-05T00:00:00-05:00
111,maya.cole@cobblehillkitchen.com,Maya,Cole,+17185550298,1,2025-04-21T00:00:00-05:00,2025-07-20T00:00:00-05:00
112,aiden.cho@brooklyngrange.com,Aiden,Cho,+17185550312,1,2025-04-30T00:00:00-05:00,2025-07-29T00:00:00-05:00
113,jin.park@praxafresh.com,Jin,Park,+14155550634,1,2025-03-16T00:00:00-05:00,2025-06-14T00:00:00-05:00
114,ben.tucker@herreracreative.com,Ben,Tucker,+12125550179,1,2025-05-09T00:00:00-05:00,2025-08-07T00:00:00-05:00
115,carl.henriksen@oatly.com,Carl,Henriksen,+19295550568,1,2025-05-18T00:00:00-05:00,2025-08-16T00:00:00-05:00
