order_id,store_id,customer_name,status,subtotal,delivery_fee,service_fee,tip,total,placed_at,dasher_name
dd_0,st_1,Jason Porter,delivered,15.53,3.99,2.5,4.0,44.46,2026-09-09T12:00:00-05:00,Dasher
dd_1,st_1,Jason Porter,delivered,16.98,3.99,2.5,4.0,31.88,2026-09-26T12:00:00-05:00,Dasher
dd_2,st_1,Jason Porter,delivered,22.48,3.99,2.5,4.0,31.45,2026-09-05T12:00:00-05:00,Dasher
dd_3,st_1,Jason Porter,delivered,28.94,3.99,2.5,4.0,22.01,2026-09-15T12:00:00-05:00,Dasher
dd_4,st_1,Jason Porter,delivered,30.81,3.99,2.5,4.0,41.03,2026-09-18T12:00:00-05:00,Dasher
dd_5,st_1,Jason Porter,delivered,31.2,3.99,2.5,4.0,35.99,2026-09-05T12:00:00-05:00,Dasher
dd_6,st_1,Jason Porter,delivered,23.47,3.99,2.5,4.0,39.66,2026-09-12T12:00:00-05:00,Dasher
dd_7,st_1,Jason Porter,delivered,17.56,3.99,2.5,4.0,44.52,2026-09-09T12:00:00-05:00,Dasher
dd_2008,st_4,Jason Porter,delivered,29.00,3.99,2.50,7.00,39.00,2026-04-22T22:55:00-05:00,Ivy Doss
dd_2009,st_17,Jason Porter,delivered,31.00,3.99,2.50,3.00,41.00,2026-08-22T15:52:00-05:00,Pia Quill
dd_2010,st_16,Jason Porter,delivered,33.00,3.99,2.50,4.00,43.00,2026-04-28T19:41:00-05:00,Cyrus Carr
dd_2011,st_14,Jason Porter,delivered,22.00,3.99,2.50,5.00,32.00,2026-05-22T18:12:00-05:00,Dean Hale
dd_2012,st_9,Jason Porter,delivered,31.00,3.99,2.50,8.00,41.00,2026-06-17T03:59:00-05:00,Ella York
dd_2013,st_16,Jason Porter,delivered,16.00,3.99,2.50,8.00,26.00,2026-03-11T07:41:00-05:00,Xander Meyer
dd_2014,st_5,Jason Porter,delivered,21.00,3.99,2.50,4.00,31.00,2026-09-28T04:05:00-05:00,Jack Ford
dd_2015,st_20,Jason Porter,delivered,14.00,3.99,2.50,6.00,24.00,2026-08-06T15:33:00-05:00,Mia Salt
dd_2016,st_18,Jason Porter,delivered,36.00,3.99,2.50,8.00,46.00,2026-04-22T20:44:00-05:00,Ben Meyer
dd_2017,st_13,Jason Porter,delivered,18.00,3.99,2.50,7.00,28.00,2026-01-05T06:19:00-05:00,Dan Irwin
dd_2018,st_16,Jason Porter,delivered,13.00,3.99,2.50,8.00,23.00,2026-06-08T07:00:00-05:00,Lena Adams
dd_2019,st_18,Jason Porter,delivered,36.00,3.99,2.50,6.00,46.00,2026-03-20T05:38:00-05:00,Cara Nash
dd_2020,st_5,Jason Porter,delivered,41.00,3.99,2.50,7.00,51.00,2026-06-01T08:36:00-05:00,Uma Salt
dd_2021,st_18,Jason Porter,delivered,27.00,3.99,2.50,5.00,37.00,2026-07-12T07:29:00-05:00,Tara Irwin
dd_2022,st_17,Jason Porter,delivered,26.00,3.99,2.50,7.00,36.00,2026-02-08T05:50:00-05:00,Ivy Quill
dd_2023,st_6,Jason Porter,delivered,30.00,3.99,2.50,3.00,40.00,2026-01-27T10:15:00-05:00,Quinn Booth
dd_2024,st_8,Jason Porter,delivered,40.00,3.99,2.50,4.00,50.00,2026-07-11T12:27:00-05:00,Cyrus Boone
dd_2025,st_19,Jason Porter,delivered,16.00,3.99,2.50,8.00,26.00,2026-08-12T05:26:00-05:00,Dean Quill
dd_2026,st_1,Jason Porter,delivered,14.00,3.99,2.50,3.00,24.00,2026-01-26T12:15:00-05:00,Isla Gray
dd_2027,st_8,Jason Porter,delivered,32.00,3.99,2.50,7.00,42.00,2026-01-19T23:34:00-05:00,Willa Doss
dd_2028,st_20,Jason Porter,delivered,19.00,3.99,2.50,7.00,29.00,2026-01-08T21:53:00-05:00,Kate Salt
dd_2029,st_9,Jason Porter,delivered,14.00,3.99,2.50,7.00,24.00,2026-05-12T00:16:00-05:00,Lena Irwin
dd_2030,st_18,Jason Porter,delivered,19.00,3.99,2.50,3.00,29.00,2026-09-25T23:49:00-05:00,Pia Meyer
dd_2031,st_7,Jason Porter,delivered,37.00,3.99,2.50,7.00,47.00,2026-07-09T12:49:00-05:00,Uma Adams
dd_2032,st_9,Jason Porter,delivered,22.00,3.99,2.50,4.00,32.00,2026-04-01T05:49:00-05:00,Uma Kerr
dd_2033,st_8,Jason Porter,delivered,21.00,3.99,2.50,7.00,31.00,2026-09-08T21:09:00-05:00,Nadia Doss
dd_2034,st_12,Jason Porter,delivered,24.00,3.99,2.50,4.00,34.00,2026-03-06T09:50:00-05:00,Uma Booth
dd_2035,st_4,Jason Porter,delivered,26.00,3.99,2.50,7.00,36.00,2026-02-08T18:05:00-05:00,Willa Cann
dd_2036,st_15,Jason Porter,delivered,21.00,3.99,2.50,5.00,31.00,2026-08-13T02:26:00-05:00,Tara Kerr
dd_2037,st_11,Jason Porter,delivered,13.00,3.99,2.50,3.00,23.00,2026-09-02T17:39:00-05:00,Pia Frost
dd_2038,st_5,Jason Porter,delivered,38.00,3.99,2.50,6.00,48.00,2026-06-02T19:55:00-05:00,Ned Doss
dd_2039,st_4,Jason Porter,delivered,37.00,3.99,2.50,6.00,47.00,2026-09-23T07:53:00-05:00,Uma Ober
dd_2040,st_16,Jason Porter,delivered,38.00,3.99,2.50,4.00,48.00,2026-08-17T20:52:00-05:00,Ivy Hart
dd_2041,st_15,Jason Porter,delivered,25.00,3.99,2.50,5.00,35.00,2026-07-08T04:12:00-05:00,Lena Irwin
dd_2042,st_17,Jason Porter,delivered,40.00,3.99,2.50,7.00,50.00,2026-04-22T21:39:00-05:00,Quinn Doss
dd_2043,st_8,Jason Porter,delivered,21.00,3.99,2.50,8.00,31.00,2026-09-19T21:11:00-05:00,Jack Ford
dd_2044,st_5,Jason Porter,delivered,21.00,3.99,2.50,3.00,31.00,2026-02-27T18:51:00-05:00,Milo Webb
dd_2045,st_5,Jason Porter,delivered,20.00,3.99,2.50,7.00,30.00,2026-05-03T13:26:00-05:00,Opal Webb
dd_2046,st_7,Jason Porter,delivered,21.00,3.99,2.50,5.00,31.00,2026-03-17T03:43:00-05:00,Ella Hale
dd_2047,st_9,Jason Porter,delivered,24.00,3.99,2.50,6.00,34.00,2026-08-27T20:09:00-05:00,Ruth Frost
dd_2048,st_20,Jason Porter,delivered,17.00,3.99,2.50,3.00,27.00,2026-02-24T19:34:00-05:00,Opal Quill
dd_2049,st_3,Jason Porter,delivered,30.00,3.99,2.50,6.00,40.00,2026-03-02T13:01:00-05:00,Mia Doss
dd_2050,st_14,Jason Porter,delivered,26.00,3.99,2.50,5.00,36.00,2026-03-28T03:50:00-05:00,Xander Webb
dd_2051,st_3,Jason Porter,delivered,41.00,3.99,2.50,4.00,51.00,2026-01-20T11:56:00-05:00,Ivy Tate
