review_id,listing_id,guest_name,rating,comment,created_at
rev-c-001,lst_42091776,Marguerite S.,5,Perfect for our choir trip. Four beds were exactly as listed and we walked to the Symphony in twenty minutes. Rosalind was responsive and the kitchen was well stocked for a group breakfast.,2025-11-18
rev-c-002,lst_42091776,Daniel P.,5,"Great Cabbagetown find. Quiet street, fast WiFi, plenty of parking for two cars.",2026-02-12
rev-c-003,lst_42091776,Yvette H.,5,Eight of us fit comfortably for a family reunion. Beds were comfortable and the bathrooms had everything we needed.,2026-05-20
rev-c-004,lst_42091776,Tomas R.,4,"Loved the neighborhood, only ding was the porch light was out when we arrived. Rosalind fixed it the next morning.",2026-07-09
rev-c-005,lst_42091776,Kenya A.,5,We have stayed at lots of places in Atlanta and this is the one we keep coming back to.,2026-08-22
rev-f-00-00,lst_42091800,Gisela B.,5,Host was responsive,2026-06-28
rev-f-00-01,lst_42091800,Forrest N.,5,Recommend,2026-08-13
rev-f-00-02,lst_42091800,Gisela P.,5,Will book again,2026-06-22
rev-f-00-03,lst_42091800,Elspeth N.,4,Clean and quiet,2026-06-26
rev-f-00-04,lst_42091800,Carmela F.,4,Host was responsive,2026-07-23
rev-f-01-00,lst_42091815,Hollis B.,5,Host was responsive,2026-08-02
rev-f-01-01,lst_42091815,Inara F.,5,Walking distance to BeltLine,2026-08-20
rev-f-01-02,lst_42091815,Adriana I.,5,"Comfortable beds, easy check-in",2026-09-28
rev-f-02-00,lst_42091830,Inara C.,5,Great place,2026-07-10
rev-f-02-01,lst_42091830,Davian J.,5,Clean and quiet,2026-06-07
rev-f-02-02,lst_42091830,Elspeth F.,5,Clean and quiet,2026-04-28
rev-f-02-03,lst_42091830,Bennett C.,5,Great place,2026-08-19
rev-f-02-04,lst_42091830,Adriana F.,5,Great place,2026-03-24
rev-f-02-05,lst_42091830,Hollis D.,5,Clean and quiet,2026-05-07
rev-f-03-00,lst_42091844,Davian I.,5,Loved the location,2026-07-11
rev-f-03-01,lst_42091844,Elspeth L.,4,"Comfortable beds, easy check-in",2026-04-22
rev-f-03-02,lst_42091844,Inara C.,4,Walking distance to BeltLine,2026-05-20
rev-f-03-03,lst_42091844,Elspeth O.,4,Walking distance to BeltLine,2026-05-02
rev-f-04-00,lst_42091858,Bennett I.,5,Will book again,2026-08-19
rev-f-04-01,lst_42091858,Davian H.,5,Loved the location,2026-06-22
rev-f-04-02,lst_42091858,Carmela I.,4,Will book again,2026-09-17
rev-f-04-03,lst_42091858,Jovan H.,5,Host was responsive,2026-06-27
rev-f-05-00,lst_42091872,Adriana E.,4,Will book again,2026-04-08
rev-f-05-01,lst_42091872,Adriana N.,5,Loved the location,2026-04-27
rev-f-05-02,lst_42091872,Adriana C.,5,Great place,2026-09-28
rev-f-06-00,lst_42091886,Hollis I.,5,Clean and quiet,2026-09-24
rev-f-06-01,lst_42091886,Gisela I.,4,Clean and quiet,2026-08-19
rev-f-06-02,lst_42091886,Jovan O.,4,Great place,2026-07-09
rev-f-06-03,lst_42091886,Forrest A.,4,Will book again,2026-08-19
rev-f-06-04,lst_42091886,Davian G.,5,Great place,2026-09-23
