id,summary,description,time_zone,access_role,primary,color_id
greg-primary,Greg Howard,Primary,America/New_York,owner,True,1
greg-work,Kestrel Work,Work,America/New_York,owner,False,2
greg-family,Family,Family,America/New_York,owner,False,3
cal-0,Calendar 0,Shared,America/New_York,reader,False,1
cal-1,Calendar 1,Shared,America/New_York,reader,False,2
cal-2,Calendar 2,Shared,America/New_York,reader,False,3
cal-3,Calendar 3,Shared,America/New_York,reader,False,4
cal-4,Calendar 4,Shared,America/New_York,reader,False,5
cal-5,Calendar 5,Shared,America/New_York,reader,False,6
cal-6,Calendar 6,Shared,America/New_York,reader,False,7
cal-7,Calendar 7,Shared,America/New_York,reader,False,8
cal-8,Calendar 8,Shared,America/New_York,reader,False,9
cal-9,Calendar 9,Shared,America/New_York,reader,False,10
cal-10,Calendar 10,Shared,America/New_York,reader,False,11
cal-11,Calendar 11,Shared,America/New_York,reader,False,1
cal-12,Calendar 12,Shared,America/New_York,reader,False,2
cal-13,Calendar 13,Shared,America/New_York,reader,False,3
cal-14,Calendar 14,Shared,America/New_York,reader,False,4
cal-15,Calendar 15,Shared,America/New_York,reader,False,5
cal-16,Calendar 16,Shared,America/New_York,reader,False,6
cal-17,Calendar 17,Shared,America/New_York,reader,False,7
cal-18,Calendar 18,Shared,America/New_York,reader,False,8
cal-19,Calendar 19,Shared,America/New_York,reader,False,9
cal-20,Calendar 20,Shared,America/New_York,reader,False,10
cal-21,Calendar 21,Shared,America/New_York,reader,False,11
cal-22,Calendar 22,Shared,America/New_York,reader,False,1
cal-23,Calendar 23,Shared,America/New_York,reader,False,2
cal-24,Calendar 24,Shared,America/New_York,reader,False,3
cal-25,Calendar 25,Shared,America/New_York,reader,False,4
cal-26,Calendar 26,Shared,America/New_York,reader,False,5
cal-27,Calendar 27,Shared,America/New_York,reader,False,6
cal-28,Calendar 28,Shared,America/New_York,reader,False,7
cal-29,Calendar 29,Shared,America/New_York,reader,False,8
cal-30,Calendar 30,Shared,America/New_York,reader,False,9
cal-31,Calendar 31,Shared,America/New_York,reader,False,10
cal-32,Calendar 32,Shared,America/New_York,reader,False,11
cal-33,Calendar 33,Shared,America/New_York,reader,False,1
cal-34,Calendar 34,Shared,America/New_York,reader,False,2
cal-35,Calendar 35,Shared,America/New_York,reader,False,3
cal-36,Calendar 36,Shared,America/New_York,reader,False,4
cal-37,Calendar 37,Shared,America/New_York,reader,False,5
cal-38,Calendar 38,Shared,America/New_York,reader,False,6
cal-39,Calendar 39,Shared,America/New_York,reader,False,7
cal-40,Calendar 40,Shared,America/New_York,reader,False,8
cal-41,Calendar 41,Shared,America/New_York,reader,False,9
cal-42,Calendar 42,Shared,America/New_York,reader,False,10
cal-43,Calendar 43,Shared,America/New_York,reader,False,11
cal-44,Calendar 44,Shared,America/New_York,reader,False,1
cal-45,Calendar 45,Shared,America/New_York,reader,False,2
cal-46,Calendar 46,Shared,America/New_York,reader,False,3
cal-47,Calendar 47,Shared,America/New_York,reader,False,4
cal-48,Calendar 48,Shared,America/New_York,reader,False,5
cal-49,Calendar 49,Shared,America/New_York,reader,False,6
cal-50,Calendar 50,Shared,America/New_York,reader,False,7
cal-51,Calendar 51,Shared,America/New_York,reader,False,8
cal-52,Calendar 52,Shared,America/New_York,reader,False,9
cal-53,Calendar 53,Shared,America/New_York,reader,False,10
cal-54,Calendar 54,Shared,America/New_York,reader,False,11
cal-55,Calendar 55,Shared,America/New_York,reader,False,1
cal-56,Calendar 56,Shared,America/New_York,reader,False,2
cal-57,Calendar 57,Shared,America/New_York,reader,False,3
cal-58,Calendar 58,Shared,America/New_York,reader,False,4
cal-59,Calendar 59,Shared,America/New_York,reader,False,5
cal-60,Calendar 60,Shared,America/New_York,reader,False,6
cal-61,Calendar 61,Shared,America/New_York,reader,False,7
cal-62,Calendar 62,Shared,America/New_York,reader,False,8
cal-63,Calendar 63,Shared,America/New_York,reader,False,9
cal-64,Calendar 64,Shared,America/New_York,reader,False,10
cal-65,Calendar 65,Shared,America/New_York,reader,False,11
cal-66,Calendar 66,Shared,America/New_York,reader,False,1
cal-67,Calendar 67,Shared,America/New_York,reader,False,2
cal-68,Calendar 68,Shared,America/New_York,reader,False,3
cal-69,Calendar 69,Shared,America/New_York,reader,False,4
cal-70,Calendar 70,Shared,America/New_York,reader,False,5
cal-71,Calendar 71,Shared,America/New_York,reader,False,6
cal-72,Calendar 72,Shared,America/New_York,reader,False,7
cal-73,Calendar 73,Shared,America/New_York,reader,False,8
cal-74,Calendar 74,Shared,America/New_York,reader,False,9
cal-75,Calendar 75,Shared,America/New_York,reader,False,10
cal-76,Calendar 76,Shared,America/New_York,reader,False,11
cal-77,Calendar 77,Shared,America/New_York,reader,False,1
cal-78,Calendar 78,Shared,America/New_York,reader,False,2
cal-79,Calendar 79,Shared,America/New_York,reader,False,3
cal-80,Calendar 80,Shared,America/New_York,reader,False,4
cal-81,Calendar 81,Shared,America/New_York,reader,False,5
cal-82,Calendar 82,Shared,America/New_York,reader,False,6
cal-83,Calendar 83,Shared,America/New_York,reader,False,7
cal-84,Calendar 84,Shared,America/New_York,reader,False,8
cal-85,Calendar 85,Shared,America/New_York,reader,False,9
cal-86,Calendar 86,Shared,America/New_York,reader,False,10
cal-87,Calendar 87,Shared,America/New_York,reader,False,11
cal-88,Calendar 88,Shared,America/New_York,reader,False,1
cal-89,Calendar 89,Shared,America/New_York,reader,False,2
cal-90,Calendar 90,Shared,America/New_York,reader,False,3
cal-91,Calendar 91,Shared,America/New_York,reader,False,4
cal-92,Calendar 92,Shared,America/New_York,reader,False,5
cal-93,Calendar 93,Shared,America/New_York,reader,False,6
cal-94,Calendar 94,Shared,America/New_York,reader,False,7
cal-95,Calendar 95,Shared,America/New_York,reader,False,8
cal-96,Calendar 96,Shared,America/New_York,reader,False,9
cal-97,Calendar 97,Shared,America/New_York,reader,False,10
cal-98,Calendar 98,Shared,America/New_York,reader,False,11
cal-99,Calendar 99,Shared,America/New_York,reader,False,1
cal-100,Calendar 100,Shared,America/New_York,reader,False,2
cal-101,Calendar 101,Shared,America/New_York,reader,False,3
cal-102,Calendar 102,Shared,America/New_York,reader,False,4
cal-103,Calendar 103,Shared,America/New_York,reader,False,5
cal-104,Calendar 104,Shared,America/New_York,reader,False,6
cal-105,Calendar 105,Shared,America/New_York,reader,False,7
cal-106,Calendar 106,Shared,America/New_York,reader,False,8
