invoice_id,invoice_number,type,contact_id,contact_name,date,due_date,status,line_amount_types,sub_total,total_tax,total,amount_due,amount_paid,currency_code,reference
i0000001-0000-0000-0000-000000000000,INV-2025000,ACCREC,c0000001-0000-0000-0000-000000000000,Ambervale Properties,2025-01-01,2025-01-16,AUTHORISED,Exclusive,368.0,32.0,400.0,400.0,0,USD,Cuisine du Nord Ambervale Properties
i0000002-0000-0000-0000-000000000000,INV-2025001,ACCREC,c0000002-0000-0000-0000-000000000000,Northeast Aviation,2025-04-06,2025-04-21,PAID,Exclusive,411.24,35.76,447.0,0,447.0,USD,Cuisine du Nord Northeast Aviation
i0000003-0000-0000-0000-000000000000,INV-2025002,ACCREC,c0000003-0000-0000-0000-000000000000,Meredith Alcorn,2025-07-11,2025-07-26,PAID,Exclusive,454.48,39.52,494.0,0,494.0,USD,Cuisine du Nord Meredith Alcorn
i0000004-0000-0000-0000-000000000000,INV-2025003,ACCREC,c0000004-0000-0000-0000-000000000000,Cascade Public Library,2025-10-16,2025-10-31,AUTHORISED,Exclusive,497.72,43.28,541.0,541.0,0,USD,Cuisine du Nord Cascade Public Library
i0000005-0000-0000-0000-000000000000,INV-2025004,ACCREC,c0000005-0000-0000-0000-000000000000,Portland Preservation Society,2025-01-21,2025-01-36,PAID,Exclusive,540.96,47.04,588.0,0,588.0,USD,Cuisine du Nord Portland Preservation Society
i0000006-0000-0000-0000-000000000000,INV-2025005,ACCREC,c0000006-0000-0000-0000-000000000000,Corridor Studios,2025-04-26,2025-04-41,PAID,Exclusive,584.2,50.8,635.0,0,635.0,USD,Cuisine du Nord Corridor Studios
i0000007-0000-0000-0000-000000000000,INV-2025006,ACCREC,c0000007-0000-0000-0000-000000000000,Marlow-Sato,2025-07-04,2025-07-19,AUTHORISED,Exclusive,627.44,54.56,682.0,682.0,0,USD,Cuisine du Nord Marlow-Sato
i0000008-0000-0000-0000-000000000000,INV-2025007,ACCREC,c0000008-0000-0000-0000-000000000000,Lansdowne,2025-10-09,2025-10-24,PAID,Exclusive,670.68,58.32,729.0,0,729.0,USD,Cuisine du Nord Lansdowne
i0000009-0000-0000-0000-000000000000,INV-2025008,ACCREC,c0000009-0000-0000-0000-000000000000,Ferreira family,2025-01-14,2025-01-29,PAID,Exclusive,713.92,62.08,776.0,0,776.0,USD,Cuisine du Nord Ferreira family
i0000010-0000-0000-0000-000000000000,INV-2025009,ACCREC,c0000010-0000-0000-0000-000000000000,Casey-Nolan,2025-04-19,2025-04-34,AUTHORISED,Exclusive,757.16,65.84,823.0,823.0,0,USD,Cuisine du Nord Casey-Nolan
i0000011-0000-0000-0000-000000000000,INV-2025010,ACCREC,c0000011-0000-0000-0000-000000000000,Hu-Wallace,2025-07-24,2025-07-39,PAID,Exclusive,800.4,69.6,870.0,0,870.0,USD,Cuisine du Nord Hu-Wallace
i0000012-0000-0000-0000-000000000000,INV-2025011,ACCREC,c0000012-0000-0000-0000-000000000000,Wong-Ferreira,2025-10-02,2025-10-17,PAID,Exclusive,843.64,73.36,917.0,0,917.0,USD,Cuisine du Nord Wong-Ferreira
i0000013-0000-0000-0000-000000000000,INV-2025012,ACCREC,c0000013-0000-0000-0000-000000000000,Vasquez,2025-01-07,2025-01-22,AUTHORISED,Exclusive,886.88,77.12,964.0,964.0,0,USD,Cuisine du Nord Vasquez
i0000014-0000-0000-0000-000000000000,INV-2025013,ACCREC,c0000014-0000-0000-0000-000000000000,Overland Homeowners,2025-04-12,2025-04-27,PAID,Exclusive,930.12,80.88,1011.0,0,1011.0,USD,Cuisine du Nord Overland Homeowners
i0000015-0000-0000-0000-000000000000,INV-2025014,ACCREC,c0000015-0000-0000-0000-000000000000,Cascade Legal,2025-07-17,2025-07-32,PAID,Exclusive,973.36,84.64,1058.0,0,1058.0,USD,Cuisine du Nord Cascade Legal
i0000016-0000-0000-0000-000000000000,INV-2025015,ACCREC,c0000016-0000-0000-0000-000000000000,Beaverton Tech Coop,2025-10-22,2025-10-37,AUTHORISED,Exclusive,1016.6,88.4,1105.0,1105.0,0,USD,Cuisine du Nord Beaverton Tech Coop
i0000017-0000-0000-0000-000000000000,INV-2025016,ACCREC,c0000017-0000-0000-0000-000000000000,St. Johns Parish,2025-01-27,2025-01-15,PAID,Exclusive,1059.84,92.16,1152.0,0,1152.0,USD,Cuisine du Nord St. Johns Parish
i0000018-0000-0000-0000-000000000000,INV-2025017,ACCREC,c0000018-0000-0000-0000-000000000000,Wu-Silva,2025-04-05,2025-04-20,PAID,Exclusive,1103.08,95.92,1199.0,0,1199.0,USD,Cuisine du Nord Wu-Silva
i0000019-0000-0000-0000-000000000000,INV-2025018,ACCREC,c0000019-0000-0000-0000-000000000000,Kim-Alvarez,2025-07-10,2025-07-25,AUTHORISED,Exclusive,1146.32,99.68,1246.0,1246.0,0,USD,Cuisine du Nord Kim-Alvarez
i0000020-0000-0000-0000-000000000000,INV-2025019,ACCREC,c0000020-0000-0000-0000-000000000000,Klein private,2025-10-15,2025-10-30,PAID,Exclusive,1189.56,103.44,1293.0,0,1293.0,USD,Cuisine du Nord Klein private
i0000021-0000-0000-0000-000000000000,INV-2025020,ACCREC,c0000021-0000-0000-0000-000000000000,Le Sirop Nordique,2025-01-20,2025-01-35,PAID,Exclusive,1232.8,107.2,1340.0,0,1340.0,USD,Cuisine du Nord Le Sirop Nordique
i0000022-0000-0000-0000-000000000000,INV-2025021,ACCREC,c0000022-0000-0000-0000-000000000000,Pearl District Design,2025-04-25,2025-04-40,AUTHORISED,Exclusive,1276.04,110.96,1387.0,1387.0,0,USD,Cuisine du Nord Pearl District Design
i0000023-0000-0000-0000-000000000000,INV-2025022,ACCREC,c0000023-0000-0000-0000-000000000000,Cedar Ridge social,2025-07-03,2025-07-18,PAID,Exclusive,1319.28,114.72,1434.0,0,1434.0,USD,Cuisine du Nord Cedar Ridge social
i0000024-0000-0000-0000-000000000000,INV-2025023,ACCREC,c0000024-0000-0000-0000-000000000000,Doyle family,2025-10-08,2025-10-23,PAID,Exclusive,1362.52,118.48,1481.0,0,1481.0,USD,Cuisine du Nord Doyle family
i0000025-0000-0000-0000-000000000000,INV-2025024,ACCREC,c0000025-0000-0000-0000-000000000000,Reeves,2025-01-13,2025-01-28,AUTHORISED,Exclusive,1405.76,122.24,1528.0,1528.0,0,USD,Cuisine du Nord Reeves
i0000026-0000-0000-0000-000000000000,INV-2025025,ACCREC,c0000026-0000-0000-0000-000000000000,Marston-Kim,2025-04-18,2025-04-33,PAID,Exclusive,1449.0,126.0,1575.0,0,1575.0,USD,Cuisine du Nord Marston-Kim
