response_id,submitted_at,client_name,phone,email,address,project_type,budget_range_band,timeline_pref,scope_notes
TF-9201,2026-11-02 09:18,Sullivan,401-555-0312,m.sullivan@gmail.com,93 Brook St,Kitchen + bath,40-50k,Q1 2027,Mother-in-law referral; serious about full remodel both rooms
TF-9202,2026-11-04 14:30,Lin,401-555-0418,amy.lin99@gmail.com,4 Tobey St,Kitchen,28-32k,Q1 2027,Want soft-close drawers; would love a quote
TF-9203,2026-11-05 19:45,Velasquez,401-555-0227,m.velasquez@gmail.com,28 Holland St,Bath,18-22k,Q2 2027,Master bath; spa shower if budget allows
TF-9204,2026-11-06 11:22,Bergstrom,401-555-0509,a.bergstrom@gmail.com,89 Angell St,Kitchen,32-38k,Q1 2027,Open concept with island; need quote
TF-9205,2026-11-08 08:55,Akhtar,401-555-0716,salim.akhtar@gmail.com,12 Brook St,Kitchen,40-45k,Feb 2027,Want February if possible
TF-9206,2026-11-08 16:30,Pak,401-555-0833,junho.pak@gmail.com,72 Wickenden St,Kitchen,15-20k,Q2 2027,Update existing layout
TF-9207,2026-10-30 12:00,Saunders,401-555-0921,j.saunders@gmail.com,89 Power St,Kitchen + bath,42-50k,Q1 2027,College Hill referral; both rooms
TF-9208,2026-10-28 17:45,Lutowski,401-555-0145,t.lutowski@gmail.com,151 Hope St,Kitchen,32-38k,Q2 2027,Flexible spring or summer
TF-9209,2026-11-07 10:15,Pirelli,401-555-0337,g.pirelli@gmail.com,67 Brook St,Kitchen,30-36k,Feb 2027,Want to align with the season opening
TF-9210,2026-11-06 13:40,Galanis,401-555-0428,g.galanis@gmail.com,4 Hope St,Kitchen,38-44k,Q2 2027,Big College Hill house; multiple bids underway
TF-9211,2026-11-04 09:20,Kapoor,401-555-0539,s.kapoor@gmail.com,32 Brook St,Kitchen,32-38k,Q2 2027,Firm on spring 2027
TF-9212,2026-11-07 08:50,Berkowitz,401-555-0644,d.berkowitz@gmail.com,201 Olney St,Bath,28-34k,Q2 2027,Adding a second bath; flexible
TF-9213,2026-11-05 15:30,O'Sullivan,401-555-0755,k.osullivan@gmail.com,29 Doyle Ave,Bath,18-22k,Q1 2027,Master bath update
TF-9214,2026-11-04 11:10,Hwang,401-555-0866,sunhee.hwang@gmail.com,12 Methyl St,Bath,10-12k,Q2 2027,Simple replacement; spring fine
TF-9215,2026-11-05 14:20,Russo,401-555-0977,lisa.russo@gmail.com,5 Brook St,Bath,18-22k,Q2 2027,Master bath update
TF-9216,2026-10-15 10:30,DiMaio,401-555-0188,r.dimaio@gmail.com,156 Cypress St,Kitchen,18-22k,Q2 2027,Update existing layout; no response to follow-up
TF-9217,2026-10-15 16:45,Voccola,401-555-0299,a.voccola@gmail.com,4 Olney St,Bath,18-22k,Q1 2027,No response to follow-up
TF-9218,2026-08-30 11:00,Marsh,401-555-0399,d.marsh@gmail.com,144 Camp St,Bath,16-20k,Q2 2027,Stale; cold since summer
TF-9219,2026-11-07 09:05,Kohli,401-555-0166,pri.kohli@gmail.com,77 Olney St,Bath,15-18k,Q2 2027,Flexible timing; happy to be batched with other Olney St job
TF-9220,2026-11-07 14:22,Wessel,401-555-0212,helena.wessel@gmail.com,4 Cedar St,Kitchen + bath,45-55k,Q1 2027,Serious budget; multiple rooms; East Side referral
TF-9221,2026-11-08 08:40,Park-Bath,401-555-0313,karen.park@gmail.com,201 Hope St,Bath addition,30-35k,Q2 2027,Add second bath to existing house; repeat client
TF-9222,2026-11-08 17:10,Rodrigues,401-555-0414,m.rodrigues@gmail.com,28 Wickenden St,Kitchen,4-6k,Q1 2027,Small pipe repair with sink swap
TF-9223,2026-11-06 12:50,Tan,401-555-0515,tan.k@gmail.com,71 Wickenden St,Kitchen,4-6k,Q2 2027,Small kitchen pipe replacement; no urgency
TF-9224,2026-11-04 10:35,Zimmerman,401-555-0616,zimmerman.j@gmail.com,18 Larch St,Kitchen,3-5k,Q2 2027,Kitchen pipe plus dishwasher line
TF-9225,2026-11-03 15:00,Vargas,401-555-0717,vargas.a@gmail.com,84 Atwells Ave,Bath,10-13k,Q2 2027,Repeat client from 2023; price-sensitive
TF-9226,2026-11-08 11:30,Owen-Maxwell,owen@volpicelligroup.com,,176 Doyle Ave,Commercial buildout phase 2,60-75k,Q1 2027,Owen submitted formal intake through Typeform to trigger the follow-up; deal HUB-3009
TF-9227,2026-11-08 13:15,Bergstrom-Follow,401-555-0509,a.bergstrom@gmail.com,89 Angell St,Kitchen,32-38k,Q1 2027,Follow-up submission after phone call; wants floor plan review with Coastline Design
Notes intake channel,Typeform primary intake,,,,Website form only; all leads route to HubSpot as Lead stage,,,Typeform runs the intake form embedded on murrayplumbing.com; new submissions push to HubSpot within 5 min via Zapier
