year,employee,bonus_amount,hours_worked,calc_basis,notes
2025,Paulie DeStefano,4200,1780,3% of gross weighted by hours; per-head floor $700 applied,Lead crew premium
2025,Danny Oliveira,3800,1620,3% of gross weighted by hours,
2025,Mike Russo,3200,1480,3% of gross weighted by hours; per-head floor $700 applied,Partial year (started May 2025)
2024,Paulie DeStefano,3800,1810,3% of gross weighted by hours; per-head floor $650 applied,
2024,Danny Oliveira,3400,1640,3% of gross weighted by hours,
2024,Mike Russo,0,0,Not yet hired,
2023,Paulie DeStefano,3500,1820,3% of gross weighted by hours; per-head floor $600 applied,
2023,Danny Oliveira,3200,1680,3% of gross weighted by hours,
2023,Mike Russo,0,0,Not yet hired,
2022,Paulie DeStefano,3300,1790,3% of gross weighted by hours; per-head floor $550 applied,
2022,Danny Oliveira,2950,1610,3% of gross weighted by hours,
2022,Mike Russo,0,0,Not yet hired,
2021,Paulie DeStefano,3100,1770,3% of gross weighted by hours; per-head floor $500 applied,
2021,Danny Oliveira,2800,1580,3% of gross weighted by hours,
2020,Paulie DeStefano,2600,1620,3% of gross weighted by hours; per-head floor $450 applied,COVID year; reduced season
2020,Danny Oliveira,2400,1520,3% of gross weighted by hours,COVID year
2025,Frank Desmond,0,0,Sub not eligible; 1099 track,
2024,Frank Desmond,0,0,Sub not eligible; 1099 track,
2023,Frank Desmond,0,0,Sub not eligible; 1099 track,
2025 Formula reference,3% of gross weighted by hours,,,Formula: (hours_worked / total_crew_hours) * 0.03 * gross_revenue,Per-head floor 2025 was $700; floor scaling +$50/yr from 2020 baseline of $450
2025 Per-head floor value,700,,,Applied to any recipient whose weighted share is below the floor,Prevents partial-year hires from getting a token bonus
2026 Per-head floor projection,750,,,Projected floor for 2026 closeout based on the same scaling,Confirm at year-end before running the closeout
2026 Bonus pool projection,12562,,,3% of 2026 forecast gross rev 418742,Bonus pool amount to distribute across Paulie Danny Mike
2026 Weighted split projection - Paulie,4620,1820,Paulie share (1820 / 4980 total) * 12562,Approximate; recompute at year-end with final Airtable hours
2026 Weighted split projection - Danny,4160,1640,Danny share (1640 / 4980 total) * 12562,Approximate; recompute at year-end
2026 Weighted split projection - Mike,3860,1520,Mike share; floor 750 tops up if below,Floor applies only if weighted result falls below 750
Notes on carry-forward,,,,,Any late-arriving 1099 for Frank does not affect the crew bonus split; keep separate
Prior year year-end memo reference,See marks_yearend_notes.md,,,Mark's handwritten notes cover 2024 and 2025 rationale,Cross-check the 2026 numbers against Mark's notes before finalizing
