invoice_id,job_id,client_name,invoice_date,amount,due_date,status,days_outstanding,notes
INV-2026-0142,J-2026-001,Henderson,2026-10-15,9250,2026-11-14,Open,25,Progress invoice 1 of 2
INV-2026-0143,J-2026-002,Coletti,2026-10-22,16250,2026-11-21,Open,18,Progress invoice for basement work
INV-2026-0144,J-2026-003,Westminster,2026-10-28,11000,2026-11-27,Open,12,Progress invoice for bath remodel
INV-2026-0145,J-2026-004,Brennan,2026-09-12,7500,2026-10-12,Paid,0,Closed
INV-2026-0146,J-2026-005,Marquez,2026-10-04,9800,2026-11-03,Paid,0,Closed
INV-2026-0147,J-2026-006,Owen,2026-09-30,5200,2026-10-30,Paid,0,Closed
INV-2026-0148,J-2026-007,Hayashi,2026-10-15,11400,2026-11-14,Open,25,Progress invoice 1 of 3 for Camp St
INV-2026-0149,J-2026-008,Cohen,2026-10-22,5250,2026-11-21,Open,18,Sheldon St bath
INV-2026-0150,J-2026-009,Brassard,2026-09-22,3200,2026-10-22,Paid,0,Closed
INV-2026-0151,J-2026-010,Volpicelli Restaurant,2026-10-12,4800,2026-11-11,Paid,0,Closed
INV-2026-0152,J-2026-011,DiCenzo,2026-10-25,3800,2026-11-24,Paid,0,Closed
INV-2026-0153,J-2026-012,Park,2026-11-02,8250,2026-12-02,Open,7,Hope St bath progress
INV-2026-0154,J-2026-014,Tannenbaum,2026-11-02,13250,2026-12-02,Open,7,Knight St bath addition framing
INV-2026-0155,J-2026-016,Kowalczyk,2026-10-25,11500,2026-11-24,Paid,0,Closed
INV-2026-0156,J-2026-018,Park,2026-10-09,1500,2026-11-08,Paid,0,Closed
INV-2026-0157,J-2026-019,Riccelli,2026-10-20,2400,2026-11-19,Paid,0,Closed
INV-2026-0158,J-2026-020,Adler,2026-11-05,12250,2026-12-05,Open,4,Benefit St bath rough
INV-2026-0159,J-2026-024,Trotta,2026-10-30,4800,2026-11-29,Open,10,Emergency callout 50% net 15
INV-2026-0160,J-2026-025,Greco,2026-10-30,14000,2026-11-29,Open,10,Hope St kitchen + addition
INV-2026-0161,J-2026-028,Brennan-2nd,2026-10-02,9800,2026-11-01,Paid,0,Closed
INV-2026-0162,J-2026-030,Brassard-Annex,2026-10-30,6000,2026-11-29,Open,10,Friendship St annex
INV-2026-0163,J-2026-001,Henderson,2026-11-08,5500,2026-12-08,Open,1,Progress invoice 2 of 2; final balance pending change order
INV-2026-0164,J-2026-007,Hayashi,2026-11-12,12500,2026-12-12,Open,-3,Hayashi second progress invoice (not yet due)
INV-2026-0165,J-2026-025,Greco,2026-11-12,14500,2026-12-12,Open,-3,Greco second progress invoice
