envelope_id,subject,status,sender,recipient,sent_date,completed_date,job_id,notes
ENV-2026-0042,Brennan Kitchen Pipe Replacement - Contract,Completed,mark.murray.pvd@gmail.com,b.brennan@gmail.com,2026-08-04,2026-08-06,J-2026-004,Counter-signed
ENV-2026-0043,Marquez Bath Replacement - Contract,Completed,mark.murray.pvd@gmail.com,marquez.r@gmail.com,2026-08-22,2026-08-24,J-2026-005,Counter-signed
ENV-2026-0044,Owen Commercial Prep Sink - Contract,Completed,mark.murray.pvd@gmail.com,owen@volpicelligroup.com,2026-09-08,2026-09-09,J-2026-006,Counter-signed
ENV-2026-0045,Henderson Kitchen Remodel - Contract,Completed,mark.murray.pvd@gmail.com,jay.henderson@gmail.com,2026-08-14,2026-08-15,J-2026-001,Counter-signed
ENV-2026-0046,Westminster Bath Remodel - Contract,Completed,mark.murray.pvd@gmail.com,westminster.b@gmail.com,2026-09-18,2026-09-22,J-2026-003,Counter-signed
ENV-2026-0047,Hayashi Kitchen Full - Contract,Completed,mark.murray.pvd@gmail.com,hayashi.k@gmail.com,2026-10-12,2026-10-14,J-2026-007,Counter-signed
ENV-2026-0048,Tannenbaum Bath Addition - Contract,Completed,mark.murray.pvd@gmail.com,t.tannenbaum@gmail.com,2026-09-26,2026-09-28,J-2026-014,Counter-signed
ENV-2026-0049,Greco Kitchen + Addition - Contract,Completed,mark.murray.pvd@gmail.com,gretchen.greco@gmail.com,2026-10-08,2026-10-14,J-2026-025,Counter-signed
ENV-2026-0050,Adler Bath Full - Contract,Completed,mark.murray.pvd@gmail.com,adler.b@gmail.com,2026-11-02,2026-11-04,J-2026-020,Counter-signed
ENV-2026-0051,Patel Bath Remodel - Contract + Deposit,Completed,mark.murray.pvd@gmail.com,a.patel@gmail.com,2026-10-08,2026-10-11,HUB-3008,Counter-signed; deposit collected
ENV-2026-0052,Coletti Basement Finish - Contract,Sent,mark.murray.pvd@gmail.com,coletti.j@gmail.com,2026-09-02,,J-2026-002,Sent but NOT counter-signed; Coletti has not returned envelope; project started anyway because Mark and Coletti are family friends
ENV-2026-0053,Volpicelli Group Commercial Phase 1 - Contract,Sent,mark.murray.pvd@gmail.com,owen@volpicelligroup.com,2026-11-04,,HUB-3007,Sent; awaiting counter-signature
ENV-2026-0054,Tannenbaum Bath Addition - Change Order #1,Completed,mark.murray.pvd@gmail.com,t.tannenbaum@gmail.com,2026-10-15,2026-10-18,J-2026-014,Change order for expanded scope
ENV-2026-0031,Trotta Boiler Emergency - Contract,Completed,mark.murray.pvd@gmail.com,trotta.f@gmail.com,2026-10-14,2026-10-15,J-2026-024,Counter-signed same day; emergency boiler
ENV-2026-0032,DiCenzo Basement Pump - Contract,Completed,mark.murray.pvd@gmail.com,dicenzo.f@gmail.com,2026-10-14,2026-10-15,J-2026-011,Counter-signed
ENV-2026-0033,Park Bath Remodel - Contract,Completed,mark.murray.pvd@gmail.com,park.k@gmail.com,2026-10-24,2026-10-26,J-2026-012,Counter-signed
ENV-2026-0034,Cohen Bath Remodel - Contract,Completed,mark.murray.pvd@gmail.com,cohen.a@gmail.com,2026-10-20,2026-10-22,J-2026-008,Counter-signed
ENV-2026-0035,Brassard Bath Secondary - Contract,Completed,mark.murray.pvd@gmail.com,brassard.p@gmail.com,2026-10-29,2026-10-31,J-2026-030,Counter-signed
ENV-2026-0055,Adler Bath - Change Order #1,Sent,mark.murray.pvd@gmail.com,adler.b@gmail.com,2026-11-06,,J-2026-020,Client asked for tile upgrade; awaiting counter-signature
ENV-2026-0056,Henderson Kitchen - Change Order #1,Draft,mark.murray.pvd@gmail.com,jay.henderson@gmail.com,,,J-2026-001,Change order draft prepared for Baxter's variance; not yet sent because owner review pending
ENV-2026-0057,Volpicelli Group - Contract Phase 1 Rev B,Sent,mark.murray.pvd@gmail.com,owen@volpicelligroup.com,2026-11-05,,HUB-3007,Rev B replacing ENV-2026-0053 after Owen requested a phasing tweak; awaiting counter-signature
ENV-2026-0058,Owen-Maxwell Commercial Phase 2 - Contract,Sent,mark.murray.pvd@gmail.com,owen@volpicelligroup.com,2026-11-07,,HUB-3009,Phase 2 sent; expected turn late Nov
ENV-2026-0059,Hayashi Kitchen - Change Order #1,Draft,mark.murray.pvd@gmail.com,hayashi.k@gmail.com,,,J-2026-007,Draft for cabinet re-scope; waiting on client photo confirmation before sending
Notes,Signature policy,,,,,,,Signatures must originate from mark.murray.pvd@gmail.com; Jessica does not click Sign as Sender on client-side; Coastline Design owns their own DocuSign account and sends architect envelopes directly to the client
Notes,Envelope conventions,,,,,,,ENV numbers are assigned by DocuSign sequentially; do not renumber a Sent envelope
Notes,Delivery preference,,,,,,,Email delivery only; hard-copy addendum only when a client asks for paper
Notes,Reconciliation with HubSpot,,,,,,,DocuSign is the source of record for envelope status; if HubSpot deal stage disagrees the envelope status wins
